# ZTF DR2 lightcurve of ZTF18aahvndq
# --------------- #
# mjd_max_init:   58994.23253 (phot: fclump)
# baseline_range: 58894.23253 => 59785.92041
# baseline_corr (applied): 
# field rcid filter  flux_offset err_scale n_obs
#  626   34   ztfg      509.63     1.37     291
#  626   34   ztfr      -22.66     1.36     189
#  626   34   ztfi       85.76     1.77      25
#  1671  09   ztfg     1578.36     1.00      11
#  1671  09   ztfr     -603.59     1.28      14
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  mag_lim  field_id  rcid  flux_offset  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  chi2dof  filename  
 58224.23598        ztfr  3081.74584  1256.07642    30.00000           0    99.00000    99.00000    20.50503         626          34   -22.65673     1.36254           1  1214.37992   341.45452    26.27500     0.00002     0.02652     1.00149 ztf_20180416235961_000626_zr_c09_o_q3_sciimg.fits
 58224.26056        ztfr  4256.52474  1943.61932    30.00000           0    99.00000    99.00000    20.03105         626          34   -22.65673     1.36254           0  1216.46973   342.30043    26.27500     0.00002     0.02846     1.00327 ztf_20180416260532_000626_zr_c09_o_q3_sciimg.fits
 58224.26713        ztfr  4751.80058  1642.96307    30.00000           0    99.00000    99.00000    20.21351         626          34   -22.65673     1.36254           0  1218.60076   347.18270    26.27500     0.00002     0.02729     1.00147 ztf_20180416267118_000626_zr_c09_o_q3_sciimg.fits
 58224.34127        ztfr   827.47397  7859.11520    30.00000          52    99.00000    99.00000    18.51414         626          34   -22.65673     1.36254           0  1225.70096   342.07188    26.27500     0.00011     0.05144     1.00098 ztf_20180416341238_000626_zr_c09_o_q3_sciimg.fits
 58224.34222        ztfr  4380.07883  7750.01428    30.00000          52    99.00000    99.00000    18.52932         626          34   -22.65673     1.36254           0  1225.76285   341.90986    26.27500     0.00012     0.05494     1.00115 ztf_20180416342199_000626_zr_c09_o_q3_sciimg.fits
 58226.24175        ztfr  1875.37938  1040.03864    30.00000           0    99.00000    99.00000    20.70995         626          34   -22.65673     1.36254           1  1210.49852   318.41020    26.27500     0.00001     0.02482     1.00134 ztf_20180418241725_000626_zr_c09_o_q3_sciimg.fits
 58227.27272        ztfr  2289.67814  2567.15282    30.00000           0    99.00000    99.00000    19.72895         626          34   -22.65673     1.36254           1  1221.05785   287.54852    26.27500     0.00003     0.03627     1.00115 ztf_20180419272639_000626_zr_c09_o_q3_sciimg.fits
 58227.27363        ztfr  5075.17161  2522.48881    30.00000           0    99.00000    99.00000    19.74800         626          34   -22.65673     1.36254           0  1220.72822   287.59254    26.27500     0.00003     0.03585     1.00159 ztf_20180419273623_000626_zr_c09_o_q3_sciimg.fits
 58227.29553        ztfg -1288.88066   994.47948    30.00000           0    99.00000    99.00000    20.75859         626          34   509.62506     1.37206           1  1224.94670   289.93564    26.28395     0.00002     0.03265     1.00163 ztf_20180419295532_000626_zg_c09_o_q3_sciimg.fits
 58227.29653        ztfg  2216.70959  1196.43843    30.00000          32    99.00000    99.00000    20.55785         626          34   509.62506     1.37206           1  1224.53891   289.96184    26.28006     0.00002     0.03421     1.00126 ztf_20180419296482_000626_zg_c09_o_q3_sciimg.fits
