name,ra,dec,redshift
2020itj,218.701639922,8.16956133833,0.03295304
2020jfo,185.460333,4.481681,0.005224
2020jgl,142.243442219,-14.8055223401,0.006758
2020jhf,198.722667,27.008639,0.01543852
2020kjt,280.818572284,71.6768336908,0.0372
2020kku,263.14051208,15.7358797031,0.083562
2020kyx,243.439625,22.920661,0.0319161
2020lao,256.7275,30.2715,0.030814
2020nny,344.642616645,15.1708536937,0.03084318
2020rlj,345.290059561,23.4872227538,0.039761
