index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
113,646,3,0,ZTF_r,1322377780815,0,1.5328,220.089,6.03966,26.144,3.0467e-06,0.0197171,0.0871507,4.39032e-06,1046,30.0,0.056351,0.056719,20.5286,26.144,3,2459076.8777894,646120208,177.483309991093,35.90363398558305,8.48365408025708,2.38022536183462,177.843122260999,45.1236303810878,3.96778593410015,1.03285390538943,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,155.0626984756561,20.66773165624825,0.25138589616552576,False,20.508728969384517,20.66773165624825,0.25138589616552576
114,646,3,0,ZTF_r,1323300370815,0,1.5093,191.801,6.45466,25.993,6.0283e-06,0.027639,0.089871,8.75162e-06,1040,30.0,0.059284,0.053944,20.2954,25.993,3,2459077.8003704,646120208,184.885917815272,33.441068520135296,8.71206174397633,2.00671137042395,208.986622510587,46.8639101533436,4.48947086892218,1.0298473340301,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,162.4653062998351,20.466098415808112,0.22347520784102165,False,20.4348746248842,20.466098415808112,0.22347520784102165
115,646,3,0,ZTF_r,1323301300815,0,1.3778,216.873,6.49235,26.1241,9.8549e-06,0.0353617,0.0848454,1.43382e-05,1041,30.0,0.062532,0.075293,20.4148,26.1241,1,2459077.8013079,646120208,229.464368838267,43.9661354218844,10.2542044450782,3.1196107799225,150.379151890611,49.5836197015158,3.0532656760841,1.0270893267677,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,207.04375732283012,20.333944648971617,0.23055045872796479,False,20.268879256013097,20.333944648971617,0.23055045872796479
119,646,3,0,ZTF_r,1324305210815,0,1.6662,238.458,6.3567,26.2398,2.6588e-06,0.0184079,0.0900027,3.85261e-06,1044,30.0,0.054929,0.057486,20.4771,26.2398,1,2459078.8052199,646120208,357.639138938919,34.04284478039148,15.2664397978759,1.70658350941528,392.390333648379,48.6937778387229,8.11259924070831,1.03440260421296,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,335.2185274234821,19.92647996514454,0.11025738005041413,False,20.662310377608314,19.92647996514454,0.11025738005041413
120,646,3,0,ZTF_r,1324345150815,0,1.5473,241.801,6.4505,26.2461,3.1986e-06,0.0201311,0.0880356,4.59193e-06,1047,30.0,0.054071,0.058672,20.4882,26.2461,3,2459078.8451505,646120208,360.47559052614,32.94460752251101,15.7871708368534,1.68234850748318,395.02712371694,48.2630645830377,8.24000004058574,1.03150823298175,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,338.0549790107031,19.923631658039156,0.1058051577641688,False,20.704214144025585,19.923631658039156,0.1058051577641688
124,646,3,0,ZTF_r,1325372260815,0,1.4761,236.828,5.83548,26.2236,2.9379e-06,0.0192357,0.086076,4.22964e-06,1038,30.0,0.059221,0.067074,20.6231,26.2236,1,2459079.8722685,646120208,439.067433879054,37.47866182751782,19.6382554117365,2.27092036880383,385.137603994241,45.4478878782154,8.53134317165597,1.03447334891417,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,416.6468223636171,19.674179815138295,0.09766205083552637,False,20.541714799048822,19.674179815138295,0.09766205083552637
125,646,3,0,ZTF_r,1325378770815,0,1.4287,237.393,5.75518,26.2245,3.2058e-06,0.0201011,0.0884339,4.6124e-06,1041,30.0,0.063961,0.072234,20.6536,26.2245,3,2459079.8787731,646120208,449.350174533305,38.01028142125682,20.5005734518836,2.43027129641341,388.076576698743,44.3717453092514,8.80493413202076,1.03443942465858,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,426.9295630178681,19.648609427870703,0.09666175902026108,False,20.52732227652772,19.648609427870703,0.09666175902026108
126,646,3,0,ZTF_r,1326326050815,0,1.5849,228.026,6.80371,26.1831,2.9542e-06,0.0193237,0.086196,4.2779e-06,1042,30.0,0.059245,0.060505,20.3823,26.1831,1,2459080.8260532,646120208,518.057696226441,34.76317119683834,21.2613378652358,1.64495525926895,508.660857615778,49.8037165109285,10.282098478438,1.03307745661238,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,495.63708471100404,19.445190515411017,0.07614921508630496,False,20.582876521209432,19.445190515411017,0.07614921508630496
127,646,3,0,ZTF_r,1326369890815,0,1.5024,228.04,5.6611,26.1796,3.3213e-06,0.0205569,0.0928826,4.79227e-06,1047,30.0,0.061178,0.063737,20.6517,26.1796,3,2459080.8698958,646120208,525.107488509547,43.036681686098476,22.9364061771422,2.85576371985188,500.97031040173,45.8682987730107,10.9954889925485,1.0345202079452,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,502.6868769941101,19.42635613049175,0.09295035825481593,False,20.34757804423425,19.42635613049175,0.09295035825481593
128,646,3,0,ZTF_r,1326370830815,0,1.4822,228.675,5.67737,26.1741,3.8543e-06,0.0221303,0.0921007,5.56961e-06,1046,30.0,0.059005,0.069459,20.657,26.1741,1,2459080.8708333,646120208,495.542416967139,37.550114622061294,21.7912622248122,2.20351512569818,462.146687794618,46.0876566020118,10.0950950130576,1.03326408490568,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,473.1218054517021,19.486667588824275,0.08616842211753376,False,20.490146821584933,19.486667588824275,0.08616842211753376
