#JD,Flux,Err,Zp
2458901.0015741,31.0698974971831,31.2322968768132,25.2847
2458905.012581,-12.9725095969825,31.2177559454563,26.0273
2458909.00382525,-45.23776829001365,53.85263099541992,24.672
2458911.97868055,5.09172481379845,53.098320988168304,26.013199999999998
2458913.9812269,14.006778978117,25.0626165992537,25.7295
2458915.00532405,19.0000133362335,36.38614613538839,26.0227
2458936.9474363504,17.87764617834694,33.60806017607892,26.00255
2458939.9046412,-73.8760021085165,57.463101582369795,24.2932
2458940.9161227,71.0216509794246,42.6421409607024,24.3471
2458941.9019329,23.1048134522641,34.0150934523667,26.0012
2458944.8955556,-27.7739151480881,55.9948947902609,25.9943
2458954.94931135,-8.8941084628115,61.41428422136873,25.9912
2458956.8563079,-25.8806347624122,28.3690810589064,25.3542
2458961.90434025,162.7300635617845,57.521162409515924,25.969549999999998
2458964.78129625,96.07650993603345,38.70655658022528,25.979300000000002
2458965.8280556,118.130001298314,24.5424918415272,26.0007
2458967.84538195,202.082051283366,39.13012397763572,25.994149999999998
2458969.8099306,59.8742512453447,39.0850069898975,24.5437
2458970.8598726504,321.0140919273345,38.5786514690492,26.0541
2458973.80462965,495.902783218166,74.10475030913629,26.04065
2458976.80376735,590.702714918738,161.25722996014562,26.018
2458979.7977951504,697.806080517836,65.49006065604264,25.9959
2458985.7818865497,717.5667526849566,38.20037869048014,26.01795
2458991.7710069,583.799797644284,29.3925877613197,26.0358
2458994.7737153,458.620861473141,27.0736304999021,26.0057
2458995.7545718,456.504631253123,24.0436651910098,26.0367
2458998.7677546497,360.91993066147097,39.003883366861146,26.01775
2459001.7318981,359.365483849367,49.8945363979923,25.9906
2459004.7507523,527.426408678024,85.6962201137509,26.0566
2459009.70601275,205.4504348997435,55.13335298776554,26.0794
2459012.7319965,235.2256596467515,38.618607063364436,26.07765
2459015.713588,261.184749937861,28.1406302851443,26.0187
2459016.7375,208.42497662878,34.4380638366588,25.9688
2459019.7132407,220.397885309012,25.6745863558416,26.0548
2459021.7357755,162.515889467803,26.2336585278575,26.0349
2459022.7200231,202.406564609288,22.4088047999164,26.0756
2459024.7136921,164.485223281043,27.1160870419564,25.8184
2459025.6889815,200.864268111506,24.8191520289411,25.8571
2459027.7549421,157.238940591665,37.1947190198924,25.9236
2459028.714537,172.069012712197,38.5222792064251,25.9764
2459031.7115625,168.610303624606,56.0298042796475,25.9635
2459033.6728241,187.082947281236,66.7700864857354,26.07
2459034.8134838,163.507671064983,78.2641827752556,25.95
2459036.7782523,194.225676647518,60.922550236567,26.0249
2459037.6912616,118.599103833468,37.3298607954174,26.032
2459039.7289352,167.655933749232,26.174592630604,26.0598
2459040.6985301,166.891749908173,28.2597895033158,26.058
2459042.7125694,116.27675109433,28.5889115415859,25.988
2459043.7343634,111.929513317078,32.7505237555019,25.9638
2459044.7137037,107.159570061528,31.4464237162876,26.0433
2459045.6929861,80.0320066892862,25.2218955300825,26.0556
2459046.6907118,106.2082460833398,45.56898547790838,26.0642
2459048.6861458,174.313233372162,33.500542348063,26.0645
2459049.66883685,105.859643670347,64.61205212717168,26.05375
2459050.7569213,129.3053273739568,63.51423450337124,25.99525
2459051.69301505,60.58377886348825,40.19934182803979,26.03895
2459052.74318865,105.38892919119866,44.18025980143873,26.021
2459053.68644675,138.64085722820099,36.49717129347253,26.06145
2459055.69345485,93.05797983276895,53.80339570699336,26.0111
2459056.6879051,97.0348328322439,39.164436408024,26.0247
2459060.6926272996,44.0759882466274,68.38428295068142,26.02885
2459062.72931135,117.3847767527822,83.14894778404307,25.95505
2459063.66873265,55.533264027936355,69.18421644069642,26.04245
2459065.65694445,11.707561705945508,108.21507086685772,26.0455
2459066.711794,41.5208815809622,57.5290671253021,25.9877
2459067.6670949,64.3905780553057,35.0751170093678,26.048
2459069.6913773,46.699302144088385,44.58424332943696,26.12825
2459073.6703588,70.7060927090511,42.6113062064046,26.0246
2459074.6750926,67.6913660750489,40.4760901593502,25.813
2459075.7267477,24.0374626158178,47.7804235930712,25.7038
2459077.6646759,82.2855882893503,48.036939589126,25.4205
2459078.6705556,103.886547296184,33.3617445793395,25.9051
2459096.6309896,73.509177558262,99.75359736453791,25.90995
2459098.6333159497,-15.764765719062549,76.13852346589132,25.92565
