 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 478 15 1 ZTF_g 1154526435715 33554432 2.4123 68.9798 6.0551 25.392 0.000284149 0.118142 -0.0565443 0.000621757 274 30. 0.076335 0.064394 19.4954 25.392 1 2458909.0264352 478120157 null null null null null null null null null null null null null 2458202.855613 2458348.652222 56,57
 10 530 4 2 ZTF_g 1154526881415 0 2.4024 62.244 5.50793 25.683 0.000628633 0.179 -0.0888873 0.0011292 315 30. 0.070661 0.064263 19.8208 25.683 1 2458909.0268866 530120114 -30.6903909034102 25.0841715042003 -1.36099791449593 1.00289138125108 -46.9049436713844 43.6601729870991 -1.08155437633369 1.03923975270157 0.352300300200036 19.2009999275208 0.090999998152256 5.86600017547607 0.514999985694885 2458167.004965 2458315.670671 0
 11 529 1 3 ZTF_g 1154527810315 0 2.4236 13.5997 5.52311 24.2477 0.000966305 0.141918 -0.0223643 0.00273472 149 30. 0.089122 0.076841 18.4047 24.2477 1 2458909.0278125 529120103 -13.8545635567894 28.2942219642425 -0.544690617181277 0.942545086916913 -80.9505973553885 48.0387994322666 -1.69645797249719 1.04770996808772 0.30880444540716 19.2250000953674 0.0860000029206276 6.22800016403198 0.40599998831749 2458167.041771 2458311.731308 0
 12 529 1 3 ZTF_g 1157431680315 0 2.904 75.9917 4.80408 26.0845 1.87709e-05 0.032938 -0.0498254 3.38909e-05 341 30. 0.080051 0.070718 20.2183 26.0845 1 2458911.9316898 529120103 11.7730405472739 29.0232158152583 0.451229941444532 0.929266653926473 13.9451406051175 44.1516344449648 0.317973776189988 1.07920604271972 0.30880444540716 19.2250000953674 0.0860000029206276 6.22800016403198 0.40599998831749 2458167.041771 2458311.731308 0
 13 478 15 0 ZTF_g 1157435765615 0 2.8087 152.537 4.99405 26.2971 2.41548e-05 0.0375951 -0.0717986 4.26275e-05 351 30. 0.089261 0.066764 20.278 26.2971 1 2458911.9357639 478120156 null null null null null null null null 0.37672683949187 19.1730000495911 0.0860000029206276 6.125 0.361999988555908 2458202.855613 2458348.652222 61
 14 530 4 2 ZTF_r 1157478221415 0 2.8314 147.157 6.1449 26.0228 1.37584e-05 0.0280653 0.0978575 2.31631e-05 348 30. 0.075428 0.070046 19.9535 26.0228 1 2458911.9782292 530120214 34.3236776849934 38.0796466692045 1.00266465567676 0.879598950754827 38.2627592650038 58.0247370515722 0.663862743847699 1.08867616309613 0.461679663070118 18.918000125885 0.111000001430511 6.49700021743774 0.736000001430511 2458186.919514 2458279.734722 0
 15 529 1 3 ZTF_r 1157479130315 0 2.9949 148.47 5.8879 26.0036 1.62059e-05 0.0312033 0.0983052 2.70536e-05 363 30. 0.082062 0.073824 19.8978 26.0036 1 2458911.9791319 529120203 -24.1402280573965 37.005029405624 -0.725663728820836 1.02035027197611 -4.5077089917423 54.8336847521481 -0.0827606003803078 1.10000098884811 0.322233914824088 18.7959999084473 0.108000002801418 6.91099977493286 0.735000014305115 2458186.858426 2458279.736134 0
 16 478 15 0 ZTF_r 1157479585615 0 2.7424 176.84 6.11574 26.201 1.22819e-05 0.0268466 0.0934903 2.13418e-05 354 30. 0.077348 0.069898 20.1417 26.201 1 2458911.9795833 478120256 null null null null null null null null 0.202824033159813 18.8530000686645 0.0920000001788139 5.78599977493286 0.662999987602234 2458186.958530 2458246.752350 61
 17 530 4 2 ZTF_g 1157524941415 0 2.9927 88.0399 5.31399 26.1234 2.45927e-05 0.0362133 -0.066532 4.37001e-05 323 30. 0.082002 0.067192 20.1409 26.1234 1 2458912.0249421 530120114 -21.7549923805525 32.0498262543971 -0.755071463281279 0.998067632891708 -16.9005752449939 48.2512702746864 -0.352620801375421 1.07281071344669 0.352300300200036 19.2009999275208 0.090999998152256 5.86600017547607 0.514999985694885 2458167.004965 2458315.670671 0
 18 529 1 3 ZTF_r 1159481220315 0 1.759 114.746 6.10596 25.7295 1.12251e-05 0.0260929 0.0937503 1.88473e-05 363 30. 0.06022 0.056608 20.0472 25.7295 1 2458913.9812269 529120203 14.006778978117 25.0626165992537 0.621679671323793 1.20022416259976 54.4739555392491 48.4548265668074 1.13179314940583 1.04414263081797 0.322233914824088 18.7959999084473 0.108000002801418 6.91099977493286 0.735000014305115 2458186.858426 2458279.736134 0
