JD,Flux,Err,filter,zp
2458904.0232292,11.1195710246728,28.888201278513,ZTF_g,26.1954
2458904.9441667,32.8624972069505,36.0537775909066,ZTF_g,26.0899
2458909.0273495503,22.2724772300998,37.812414054301755,ZTF_g,24.96535
2458911.9783159504,16.7640164639132,43.23815929472601,ZTF_g,26.103949999999998
2458914.9787037,13.764825106166,36.8853481270323,ZTF_g,25.7129
2458936.96373265,28.032620896921948,31.12820299759832,ZTF_g,26.08995
2458939.9573206,19.10703917685685,42.72957917186421,ZTF_g,24.724899999999998
2458940.8786921,9.51691318398171,26.0151278959353,ZTF_g,25.7212
2458941.9790046,11.5553794036488,24.9121969227096,ZTF_g,26.0722
2458943.9150868,9.75936808504308,59.00905861058259,ZTF_g,26.097299999999997
2458954.878044,23.6907870683942,29.4731114286257,ZTF_g,26.0981
2458955.8326389,2.69531271594983,23.272555225101,ZTF_g,26.1041
2458963.8288714997,91.09923489543445,32.31927902886575,ZTF_g,26.10455
2458964.83997105,24.235631257224952,34.12487747350545,ZTF_g,26.1231
2458967.7738020997,76.02899580325895,34.55053098512322,ZTF_g,26.081
2458970.793831,237.29658109734402,45.72055658571519,ZTF_g,26.15195
2458973.7516724505,367.57254895040296,81.81735014554263,ZTF_g,26.11315
2458976.7051678495,568.178065605431,174.64357518481697,ZTF_g,26.08285
2458979.75881945,620.9924377057185,56.17020225194227,ZTF_g,26.03395
2458985.7939931,478.575081261047,25.5627815448195,ZTF_g,26.1263
2458991.79554975,298.4358162365005,36.260027411280134,ZTF_g,26.134050000000002
2458994.7514815,234.003373178933,23.3083455580689,ZTF_g,26.1259
2458995.8008333,214.047942010799,27.1608101644292,ZTF_g,26.1405
2458997.7104514,163.23728406938,28.4000652531631,ZTF_g,26.1139
2458998.8377894,160.11390135544,22.4124337085635,ZTF_g,26.1086
2459000.7571296,195.290881970696,36.4324862657752,ZTF_g,26.119
2459001.8713542,196.17303266899,48.901068525218,ZTF_g,26.01
2459004.6884375,140.029330277791,86.4090516500105,ZTF_g,26.1464
2459009.7543403,94.2607855236603,38.6199029979643,ZTF_g,26.1763
2459012.6943808002,109.4197120831735,33.088133699392344,ZTF_g,26.210050000000003
2459016.699294,112.59513635301,24.5447492005268,ZTF_g,26.23
2459018.7013079,100.876635640224,21.3443528673857,ZTF_g,26.1626
2459019.7556597,92.8614226355715,22.4509328203091,ZTF_g,26.1443
2459022.7012963,100.714535893801,22.4504941696309,ZTF_g,26.204
2459024.7015856,81.5524915550559,23.6056970591923,ZTF_g,26.1474
2459025.7284722,99.3517897091347,20.4213155855075,ZTF_g,25.9096
2459027.6934144,84.2285300184118,34.6449354988381,ZTF_g,26.049
2459028.7030093,86.9999269313242,32.7145761118025,ZTF_g,26.0822
2459030.8222917,96.2171022956877,100.200704486017,ZTF_g,25.8982
2459031.6884144,99.3291940854404,65.9183080203663,ZTF_g,26.0757
2459033.6923148,94.2783920515965,88.0626226991828,ZTF_g,26.1593
2459034.6964699,178.872631239307,59.7883987813971,ZTF_g,26.1443
2459036.7295139,111.205586268032,61.2920309373808,ZTF_g,26.1288
2459037.7312963,28.3086415338452,58.0912101163972,ZTF_g,26.1056
2459039.6973843,30.3587326687243,23.64306612021,ZTF_g,26.1618
2459042.6957176,78.1166539206696,22.2885095514597,ZTF_g,26.0521
2459043.7113079,61.663410090924,25.1891283403958,ZTF_g,26.1038
2459045.7334028,75.2952874408736,27.1602508176163,ZTF_g,26.1082
2459046.7106366,69.92420673081705,39.39875585022625,ZTF_g,26.172
2459048.7641840503,47.8066855814982,39.42724271866896,ZTF_g,26.0493
2459049.69006945,65.5569888334914,35.76063639407682,ZTF_g,26.162149999999997
2459050.7084491,47.5655010644617,30.0698880402388,ZTF_g,26.1206
2459051.6732639,77.5260055635678,33.068480876621,ZTF_g,26.132
2459053.6941204,59.165197979031,21.66663900755,ZTF_g,26.1159
2459054.7706944,62.4819222344367,32.9977435789256,ZTF_g,25.946
2459055.6779166497,52.3191477377662,42.62570182329211,ZTF_g,26.09085
2459056.75765625,29.03851383931725,61.13623799101862,ZTF_g,25.9452
2459057.6907176003,52.344536248137146,57.23737429395765,ZTF_g,26.086199999999998
2459060.727581,47.20578576930685,83.3252027339014,ZTF_g,26.0402
2459062.6936979,19.1089199671244,75.48109697191335,ZTF_g,26.081699999999998
2459065.6937037,128.767527349015,75.3579627114019,ZTF_g,26.0471
2459067.7266667,37.0839138334479,63.7548693894516,ZTF_g,26.016
2459073.7167708,42.0686220997215,36.0968750750063,ZTF_g,25.9529
2459074.7079514,13.4842233031592,30.618408315704,ZTF_g,25.8407
2459075.6724653,52.5439327530759,32.7017939468097,ZTF_g,25.2244
2459077.7278472,12.3543656952246,38.605076682768,ZTF_g,25.322
2458901.0015741,31.0698974971831,31.2322968768132,ZTF_r,25.2847
2458905.012581,-12.9725095969825,31.2177559454563,ZTF_r,26.0273
2458909.00382525,-45.23776829001365,53.85263099541992,ZTF_r,24.672
2458911.97868055,5.09172481379845,53.098320988168304,ZTF_r,26.013199999999998
2458913.9812269,14.006778978117,25.0626165992537,ZTF_r,25.7295
2458915.00532405,19.0000133362335,36.38614613538839,ZTF_r,26.0227
2458936.9474363504,17.87764617834694,33.60806017607892,ZTF_r,26.00255
2458939.9046412,-73.8760021085165,57.463101582369795,ZTF_r,24.2932
2458940.9161227,71.0216509794246,42.6421409607024,ZTF_r,24.3471
2458941.9019329,23.1048134522641,34.0150934523667,ZTF_r,26.0012
2458944.8955556,-27.7739151480881,55.9948947902609,ZTF_r,25.9943
2458954.94931135,-8.8941084628115,61.41428422136873,ZTF_r,25.9912
2458956.8563079,-25.8806347624122,28.3690810589064,ZTF_r,25.3542
2458961.90434025,162.7300635617845,57.521162409515924,ZTF_r,25.969549999999998
2458964.78129625,96.07650993603345,38.70655658022528,ZTF_r,25.979300000000002
2458965.8280556,118.130001298314,24.5424918415272,ZTF_r,26.0007
2458967.84538195,202.082051283366,39.13012397763572,ZTF_r,25.994149999999998
2458969.8099306,59.8742512453447,39.0850069898975,ZTF_r,24.5437
2458970.8598726504,321.0140919273345,38.5786514690492,ZTF_r,26.0541
2458973.80462965,495.902783218166,74.10475030913629,ZTF_r,26.04065
2458976.80376735,590.702714918738,161.25722996014562,ZTF_r,26.018
2458979.7977951504,697.806080517836,65.49006065604264,ZTF_r,25.9959
2458985.7818865497,717.5667526849566,38.20037869048014,ZTF_r,26.01795
2458991.7710069,583.799797644284,29.3925877613197,ZTF_r,26.0358
2458994.7737153,458.620861473141,27.0736304999021,ZTF_r,26.0057
2458995.7545718,456.504631253123,24.0436651910098,ZTF_r,26.0367
2458998.7677546497,360.91993066147097,39.003883366861146,ZTF_r,26.01775
2459001.7318981,359.365483849367,49.8945363979923,ZTF_r,25.9906
2459004.7507523,527.426408678024,85.6962201137509,ZTF_r,26.0566
2459009.70601275,205.4504348997435,55.13335298776554,ZTF_r,26.0794
2459012.7319965,235.2256596467515,38.618607063364436,ZTF_r,26.07765
2459015.713588,261.184749937861,28.1406302851443,ZTF_r,26.0187
