#Object:               SN2008bd
#FITS_file:            SN08bd_b01_CLA_MA_19mar08.fits
#Redshift:             0.03010 
#JDate_of_max:         2454535.50
#JDate_of_observation: 2454544.62
#Epoch:                8.85    
#
 1942.5219 -3.22927e-17
 1943.4927 -1.69663e-17
 1944.4635 3.31774e-17
 1945.4342 1.44149e-17
 1946.4050 4.06014e-18
 1947.3758 3.38964e-17
 1948.3466 3.25000e-17
 1949.3173 3.19802e-17
 1950.2881 4.81679e-18
 1951.2589 4.28170e-18
 1952.2297 4.44481e-17
 1953.2005 4.52565e-17
 1954.1712 2.60525e-17
 1955.1420 2.04428e-17
 1956.1128 1.43278e-17
 1957.0836 2.97772e-17
 1958.0543 2.90097e-17
 1959.0251 3.24232e-17
 1959.9959 1.56748e-17
 1960.9667 -2.45827e-18
 1961.9374 -1.19099e-17
 1962.9082 -1.71416e-17
 1963.8790 -3.63004e-17
 1964.8498 -3.54048e-17
 1965.8205 -9.75268e-18
 1966.7913 -3.54946e-18
 1967.7621 -1.40220e-18
 1968.7329 8.40040e-18
 1969.7036 -1.50170e-17
 1970.6744 -2.74319e-17
 1971.6452 -1.35054e-17
 1972.6160 -1.46945e-17
 1973.5867 1.03949e-17
 1974.5575 2.50149e-17
 1975.5283 1.90352e-17
 1976.4991 -2.29792e-17
 1977.4698 -2.19359e-17
 1978.4406 2.25938e-17
 1979.4114 4.67737e-17
 1980.3822 3.78761e-17
 1981.3529 8.62422e-18
 1982.3237 1.69020e-18
 1983.2945 1.62999e-17
 1984.2653 5.05845e-18
 1985.2360 4.33114e-17
 1986.2068 4.24497e-17
 1987.1776 2.52419e-17
 1988.1484 2.03686e-17
 1989.1191 3.16791e-17
 1990.0899 4.41743e-17
 1991.0607 6.17365e-17
 1992.0315 6.64531e-17
 1993.0023 2.22417e-17
 1993.9730 -1.44577e-17
 1994.9438 1.78650e-20
 1995.9146 -6.69897e-18
 1996.8854 7.58061e-18
 1997.8561 1.14755e-17
 1998.8269 1.14432e-17
 1999.7977 2.03544e-17
 2000.7685 3.08061e-17
 2001.7392 6.83833e-17
 2002.7100 6.59382e-17
 2003.6808 3.21482e-17
 2004.6516 3.05841e-17
 2005.6223 3.79912e-17
 2006.5931 3.04238e-17
 2007.5639 2.71513e-17
 2008.5347 2.44030e-17
 2009.5054 1.19040e-17
 2010.4762 -4.50980e-18
 2011.4470 -2.34870e-18
 2012.4178 2.27021e-17
 2013.3885 2.30135e-17
 2014.3593 2.85735e-17
 2015.3301 4.83536e-17
 2016.3009 3.43707e-17
 2017.2716 1.04397e-17
 2018.2424 -1.43030e-18
 2019.2132 -1.83830e-17
 2020.1840 -4.13552e-18
 2021.1547 2.94727e-17
 2022.1255 5.22406e-17
 2023.0963 5.50602e-17
 2024.0671 4.81640e-17
 2025.0378 2.42710e-17
 2026.0086 3.56410e-17
 2026.9794 4.48849e-17
 2027.9502 2.55230e-17
 2028.9209 2.31510e-17
 2029.8917 2.87732e-17
 2030.8625 2.42200e-17
 2031.8333 4.20466e-17
 2032.8040 4.95897e-17
 2033.7748 1.55903e-17
 2034.7456 1.09874e-17
 2035.7164 1.92708e-17
 2036.6872 6.09646e-18
 2037.6579 3.79791e-17
 2038.6287 5.25475e-17
 2039.5995 3.23486e-17
 2040.5703 2.59129e-17
 2041.5410 3.69608e-17
 2042.5118 2.66140e-17
 2043.4826 1.49312e-17
 2044.4534 2.41847e-17
 2045.4241 1.91965e-17
 2046.3949 3.43646e-17
 2047.3657 5.17686e-17
 2048.3365 4.50878e-18
 2049.3072 -3.25617e-17
 2050.2780 1.28508e-17
 2051.2488 2.44065e-17
 2052.2196 1.88351e-17
 2053.1903 2.07415e-17
 2054.1611 2.98509e-17
 2055.1319 3.55768e-17
 2056.1027 2.63519e-17
 2057.0734 3.36992e-17
 2058.0442 5.25335e-17
 2059.0150 4.42920e-17
 2059.9858 3.05225e-17
 2060.9565 1.45857e-17
 2061.9273 5.49969e-18
 2062.8981 -6.85299e-18
 2063.8689 -5.87305e-18
 2064.8396 8.45832e-18
 2065.8104 1.06721e-17
 2066.7812 1.21654e-17
 2067.7520 9.71869e-18
 2068.7227 9.41271e-18
 2069.6935 1.36141e-17
 2070.6643 -1.33282e-17
 2071.6351 -1.31174e-17
 2072.6058 7.74609e-18
 2073.5766 -3.91193e-18
 2074.5474 1.74995e-17
 2075.5182 2.03799e-17
 2076.4889 1.36580e-17
 2077.4597 2.55343e-17
 2078.4305 4.83480e-17
 2079.4013 3.76686e-17
 2080.3721 7.03701e-18
 2081.3428 -7.63054e-18
 2082.3136 -1.60273e-17
 2083.2844 -1.11185e-17
 2084.2552 8.23603e-18
 2085.2259 3.29485e-17
 2086.1967 2.91996e-17
 2087.1675 1.70959e-19
 2088.1383 -1.46543e-17
 2089.1090 -2.49961e-18
 2090.0798 1.31214e-17
 2091.0506 1.71236e-17
 2092.0214 1.47290e-18
 2092.9921 3.11953e-18
 2093.9629 1.15086e-17
 2094.9337 -8.07278e-18
 2095.9045 -3.57059e-18
 2096.8752 1.49087e-17
 2097.8460 4.74090e-17
 2098.8168 5.62613e-17
 2099.7876 5.09659e-17
 2100.7583 3.78522e-17
 2101.7291 5.26373e-18
 2102.6999 -1.67347e-17
 2103.6707 -9.68381e-18
 2104.6414 1.36756e-17
 2105.6122 2.24708e-17
 2106.5830 1.21439e-17
 2107.5538 8.22863e-18
 2108.5245 1.37262e-17
 2109.4953 2.38158e-17
 2110.4661 3.29581e-17
 2111.4369 4.99771e-17
 2112.4076 2.88226e-17
 2113.3784 3.14374e-17
