# ZTF DR2 lightcurve of ZTF20abbhyxu
# --------------- #
# mjd_max_init:   59000.83072 (phot: fclump)
# baseline_range: 58900.83072 => 59656.89805
# baseline_corr (applied): 
# field rcid filter  flux_offset err_scale n_obs
#  632   02   ztfg      102.46     1.00      75
#  632   02   ztfr      159.96     1.00      94
#  632   02   ztfi     -996.81     1.00      41
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  mag_lim  field_id  rcid  flux_offset  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  chi2dof  filename  
 58254.36427        ztfr  -499.88668   830.90818    30.00000          32    99.00000    99.00000    20.95369         632           2   159.95683     1.00000           1  1455.40127  1269.84141    26.08200     0.00000     0.02476     1.00149 ztf_20180516364201_000632_zr_c01_o_q3_sciimg.fits
 58254.37995        ztfi  1272.07353  1354.00797    30.00000           0    99.00000    99.00000    20.42352         632           2  -996.80959     1.00000           1  1455.76288  1266.72959    25.40918     0.00000     0.01909     1.00138 ztf_20180516379942_000632_zi_c01_o_q3_sciimg.fits
 58254.40117        ztfg   450.20280   569.70719    30.00000           0    99.00000    99.00000    21.36345         632           2   102.46215     1.00000           1  1459.38899  1262.64493    26.18845     0.00000     0.02426     1.00305 ztf_20180516401146_000632_zg_c01_o_q3_sciimg.fits
 58257.29403        ztfr  -415.38825  1044.71448    30.00000          32    99.00000    99.00000    20.70508         632           2   159.95683     1.00000           1  1442.44926  1338.22266    26.06132     0.00000     0.02490     1.00133 ztf_20180519293877_000632_zr_c01_o_q3_sciimg.fits
 58257.37825        ztfr   682.64344  1101.35231    30.00000          32    99.00000    99.00000    20.64776         632           2   159.95683     1.00000           1  1458.17119  1341.97675    26.05625     0.00000     0.02300     1.00145 ztf_20180519378241_000632_zr_c01_o_q3_sciimg.fits
 58263.33708        ztfi  3414.60484  2382.38043    30.00000         160    99.00000    99.00000    19.81005         632           2  -996.80959     1.00000           0  1463.10156  1345.20636    25.41181     0.00000     0.03763     1.00198 ztf_20180525337072_000632_zi_c01_o_q3_sciimg.fits
 58267.24924        ztfi  1989.78962  2422.59154    30.00000         128    99.00000    99.00000    19.79187         632           2  -996.80959     1.00000           1  1446.49534  1349.72769    25.40112     0.00000     0.03056     1.00125 ztf_20180529249190_000632_zi_c01_o_q3_sciimg.fits
 58270.26914        ztfg  2208.46321  1604.58457    30.00000           0    99.00000    99.00000    20.23917         632           2   102.46215     1.00000           0  1449.57947  1384.73452    26.14162     0.00001     0.03750     1.00130 ztf_20180601269109_000632_zg_c01_o_q3_sciimg.fits
 58270.33887        ztfr -3175.44772  1407.73139    30.00000           0    99.00000    99.00000    20.38128         632           2   159.95683     1.00000           0  1461.67941  1388.01880    26.07549     0.00000     0.02254     0.99959 ztf_20180601338843_000632_zr_c01_o_q3_sciimg.fits
 58272.35935        ztfi -2420.13469  1613.51751    30.00000           0    99.00000    99.00000    20.23314         632           2  -996.80959     1.00000           0  1462.06657  1407.22209    25.38539     0.00000     0.02397     1.00152 ztf_20180603359340_000632_zi_c01_o_q3_sciimg.fits
 58273.29176        ztfg   -44.43256   622.17648    30.00000           0    99.00000    99.00000    21.26779         632           2   102.46215     1.00000           1  1453.53358  1396.33567    26.18569     0.00000     0.02428     1.00142 ztf_20180604291759_000632_zg_c01_o_q3_sciimg.fits
