mjd,m,em,f,ef,band,det,zp,f_counts,ef_counts
59097.33,19.841876774005247,0.32907050000000004,42.0,12.73,o,True,23.9,42.0,12.73
58198.42104170006,20.585753159288377,nan,5.168938046945198,4.233784337486529,ztfr,False,26.275,46.0682088349512,37.73364262640829
58198.45462960005,20.59260616134284,nan,2.4966340633627198,4.207145492264675,ztfr,False,26.275,22.251274511486898,37.496223668460516
58198.46516200015,20.654262661644285,nan,0.2584216637216344,3.9748883195253617,ztfr,False,26.275,2.3031855022599004,35.42622943753847
58198.494756899774,21.13728090747863,0.33304002956359763,12.737600892596523,3.907277312185367,ztfr,True,26.275,113.5239874509989,34.82364570033909
58198.4957059999,20.700383408706553,nan,-0.543783634575991,3.8095759134188834,ztfr,False,26.275,-4.8464767445763,33.952881067263014
58198.51873840019,20.602420167954957,nan,4.333432284269649,4.169288314483859,ztfr,False,26.275,38.62175588694386,37.15882121633803
58198.51968749985,20.60808598975323,nan,2.864160687737284,4.147587909053946,ztfr,False,26.275,25.52685899911649,36.965416149365105
58198.5280439998,20.5440244152787,nan,3.9581072847720122,4.399671280246167,ztfr,False,26.275,35.27666830787069,39.21211155999496
58203.399756900035,20.238086904132917,nan,-4.86790386928173,5.831700799322866,ztfg,False,26.1926,-40.2144370251666,48.17649872337904
58203.49702550005,20.529808610822933,nan,-2.225467957134266,4.457656006819286,ztfg,False,26.2538,-19.45097365264374,38.96068207283558
58204.4077198999,19.920414243102055,nan,-2.232870054821918,7.8138361185627385,ztfg,False,26.2326,-19.13830402640922,66.97370092211563
58204.42736109998,20.05801140313625,nan,-2.614407247287462,6.8837554671313566,ztfg,False,26.2422,-22.607536398935,59.525826531427356
58204.44708329998,20.110978952550777,nan,-1.939611167278931,6.555991995412256,ztfg,False,26.2591,-17.035491803953327,57.5808954850011
58204.46881939983,20.83452807314253,nan,0.15435706049053216,3.3668112246609536,ztfg,False,26.2645,1.3624685915995016,29.717944439130903
58204.474097200204,20.865415334158435,nan,0.9452704564798345,3.272380996922536,ztfg,False,26.2629,8.331363526114103,28.841899685342522
58204.485451399814,20.81239076044631,nan,-4.966639423148693,3.436162480732115,ztfg,False,26.2666,-43.924075711539004,30.388809837365255
58204.48640049994,20.74870274877491,nan,-3.459219707697019,3.643752718802697,ztfg,False,26.2684,-30.643484409055148,32.278169374624305
58204.51144680008,20.726902384329932,nan,-0.7068304247139334,3.7176546348459096,ztfg,False,26.2657,-6.245902995333498,32.851033865438254
58205.42972220015,18.63593762216003,nan,10.91938638915886,25.506739503199935,ztfg,False,25.3184,40.3235012128828,94.19220134156248
58205.44413190009,19.95616763175217,nan,-6.08661948583095,7.5607163101580355,ztfg,False,26.1542,-48.535124951039805,60.28967503014313
58205.46776620019,20.43714870765531,nan,-3.1351214964476197,4.85479071432538,ztfg,False,26.2162,-26.46880752423847,40.9874134490614
58205.491736100055,20.244448946453534,nan,-8.894585490098288,5.797628952027877,ztfg,False,26.24,-76.7583646923417,50.03229413512749
58205.51597219985,21.01613189753344,nan,-6.165316510071233,2.848244298179549,ztfg,False,26.2355,-52.9852974787502,24.478073621147118
58205.5245949002,20.81611112523739,nan,-1.9502592980673579,3.424408335928196,ztfg,False,26.2412,-16.848931207934122,29.5845893605567
58206.41089119995,20.045503764525257,nan,-3.2668601041012515,6.963514589781833,ztfg,False,26.325,-30.48811242254591,64.98729939576474
58206.424097199924,20.154319034992913,nan,-9.735226938505802,6.29944635149487,ztfg,False,26.325,-90.8544240959524,58.78985400172486
58206.45326389978,20.198500128322955,nan,-4.29894620639924,6.0482529277245645,ztfg,False,26.325,-40.1201003601699,56.44558057106928
58206.46621529991,20.2829053896443,nan,11.58378841465199,5.595872875233541,ztfg,False,26.325,108.10620357496299,52.223724275249126
58206.49484949978,20.39370768086591,nan,4.480091631284054,5.052972367963348,ztfg,False,26.325,41.8106478286044,47.157081942101385
58206.514317099936,20.245558710410144,nan,2.9214712949895443,5.791706046866049,ztfg,False,26.325,27.2647565070394,54.051345771896656
58207.40436339984,19.821478476232368,nan,-10.415119825580529,8.559307029671093,ztfg,False,26.325,-97.1995537053901,79.88010097282445
58207.426944400184,19.915724150601147,nan,-0.49560164294625936,7.847662827212341,ztfg,False,26.325,-4.625223647616501,73.23865084700573
58207.449583299924,19.93159123412032,nan,-8.328458968042142,7.733810065109658,ztfg,False,26.325,-77.72570150936579,72.17611504810627
58207.45052079996,19.946176655585255,nan,-2.0172441115607573,7.630611336595426,ztfg,False,26.325,-18.82601742871477,71.21300847587939
58207.47347219987,19.92304751845878,nan,11.654462853989557,7.794907901630341,ztfg,False,26.325,108.765775819645,72.74631323512946
58207.48921300005,19.884113996488274,nan,-1.3996530723593372,8.079498358856169,ztfg,False,26.325,-13.0623224940307,75.40226591684731
58207.51263889996,20.083827983669508,nan,-10.00216144055302,6.72200455149755,ztfg,False,26.325,-93.3456018166191,62.73339657662021
58207.51358800009,20.0783272567541,nan,7.226088826439771,6.756147040401631,ztfg,False,26.325,67.4377847521598,63.052032822716676
58208.410775499884,18.629286518325515,nan,-10.450382456587185,25.663470629521584,ztfg,False,26.325,-97.5286437258339,239.5054433837822
58208.444629599806,18.80195956029241,nan,-2.302149092668748,21.89002066442659,ztfg,False,26.325,-21.48490541808994,204.2895592961107
58208.46297449991,18.594409560657752,nan,10.22398312477578,26.501238549854797,ztfg,False,25.7421,55.7776385928704,144.57931787027118
58208.49008100014,19.10998843615044,nan,-15.380662289071683,16.482937854135614,ztfg,False,26.1048,-117.1912095009504,125.58987298145402
58208.510266200174,19.23330675514044,nan,5.451254300810138,14.713205255519915,ztfg,False,26.0842,40.75458192242441,109.99863441307765
58209.46891199984,19.371959802428428,nan,0.4449129845073787,12.949293508489413,ztfg,False,26.2617,3.9170136100186994,114.00557115464139
58209.49094909988,19.411216688208533,nan,-9.500716003893652,12.48945019222222,ztfg,False,26.2724,-84.4726923303428,111.04610252852031
58209.522060200106,19.35836412569006,nan,-8.485354638972291,13.112465102972712,ztfg,False,26.325,-79.1899371060857,122.37264451399712
58210.40424769977,19.645124068529217,nan,1.9489771213187743,10.068861527733844,ztfg,False,26.325,18.188912806256802,93.96808324886948
58210.42740740022,19.5978078713335,nan,10.574212457801051,10.517362601843349,ztfg,False,26.2308,90.483216818062,89.99675431664882
58210.46502309991,19.77419616883385,nan,2.502336386725168,8.940288388353805,ztfg,False,26.325,23.353161949520597,83.43562588796567
58210.46648149984,19.66275239123183,nan,3.541025336381233,9.906700627710944,ztfg,False,26.2564,31.0233744075012,86.79386717706757
58210.48812500015,19.77220882563258,nan,-16.63541081902485,8.956667774095296,ztfg,False,26.325,-155.250686923797,83.58848720984226
58210.48907409981,19.66512479811074,nan,-7.278691582006167,9.885077450933792,ztfg,False,26.2658,-64.3240406218776,87.35747576888234
58210.52175930003,19.679294763888944,nan,-6.349627416067067,9.756905307570307,ztfg,False,26.325,-59.2581709450306,91.05673840758953
58211.40151620004,19.36164780715336,nan,-14.822514843141494,13.072867903079736,ztfg,False,26.325,-138.33175725989,122.00310194300074
58211.42482639989,19.169480569742152,nan,3.304901719080299,15.604065612050194,ztfg,False,26.325,30.843137430430502,145.6256134236424
58211.448888900224,19.235274364705727,nan,11.071114619272526,14.686565610324577,ztfg,False,26.325,103.32165333052501,137.0630051977256
58211.46842590021,18.97768258704601,nan,22.38183081578176,18.61902610521797,ztfg,False,26.325,208.879398685389,173.76286189346072
58211.49453700008,19.455010651101706,nan,4.30331743832059,11.995703846351923,ztfg,False,26.325,40.16089507007371,111.9504220569491
58211.50462959986,19.11972618063473,nan,6.442826899958222,16.33576673834766,ztfg,False,26.325,60.1279591367654,152.4542456537935
58216.37114580022,20.16279026397976,nan,-1.8532299220836956,6.250487486751456,ztfr,False,26.0638,-13.597194304088099,45.85998307056935
58216.37739579985,19.958096459722114,nan,-7.725617191551059,7.547296498842649,ztfr,False,26.0626,-56.620432810515595,55.31353466246045
58216.385868099984,19.91169082954444,nan,2.6677137139813896,7.8768697446550995,ztfr,False,26.0651,19.5965320161059,57.86202969562963
58216.40130789997,19.76798690467691,nan,14.730798090518684,8.991563874778603,ztfr,False,26.0732,109.0200248899729,66.54497002841133
58216.42193289986,19.812665146964484,nan,7.496307188341353,8.629068903785535,ztfr,False,26.0729,55.463513149385705,63.84456567580443
58217.40813660016,20.501349431445597,nan,-0.4748454950232648,4.5760443309837,ztfr,False,26.1194,-3.6670119235322005,35.338671842105214
58217.423449099995,20.5878820607484,nan,4.972704831963835,4.225490906003012,ztfr,False,26.1286,38.72867877273663,32.90918835636627
58217.4457291998,20.343885211241926,nan,4.0099087440725585,5.290246532036802,ztfr,False,26.1337,31.37722191205917,41.39576484142966
58217.47262729984,20.390160334961017,nan,2.482313156714312,5.069508571328223,ztfr,False,26.1397,19.5315436763507,39.88833069297028
58217.50270830002,20.18829799500574,nan,13.549881831671396,6.105353261012168,ztfr,False,26.1213,104.8227400128835,47.23139769898249
58218.431863400154,20.223028471097408,nan,-8.030613102239782,5.913146068591669,ztfr,False,26.1206,-62.085288425121405,45.714987697015914
58219.38327550003,20.255304356690523,nan,1.9897403711415524,5.73995189870491,ztfr,False,26.1515,15.826920166615398,45.65709264314476
58219.40748840012,19.953246497884685,nan,10.066928044700157,7.581085532120708,ztfr,False,26.1088,76.9869233988801,57.9764202694387
58219.42768519977,19.78797774558447,nan,4.507680027655834,8.827523805824754,ztfr,False,26.0048,31.32370178072629,61.34213641151293
58219.44896990014,19.840066022193604,nan,11.42382038725317,8.414020906564225,ztfr,False,26.0944,86.2127237681419,63.49851762431396
58219.4499189998,19.858543171410382,nan,-8.4092398879852,8.272041929183503,ztfr,False,26.1192,-64.9287051009808,63.86938393448402
58219.464548599906,19.673188324336667,nan,2.209611408404181,9.81193507695701,ztfr,False,26.0987,16.7415592243758,74.34207280602456
58219.49157410022,19.547675068778872,nan,-7.978004149556109,11.014377779233845,ztfr,False,26.275,-71.104036827268,98.16574528701648
58219.5166782001,19.658519943795397,nan,-6.866268856069859,9.945394576888495,ztfr,False,26.1445,-54.265124617503204,78.59990446019374
58222.38306709984,20.35747895150172,nan,-1.7156849310366997,5.224423990502924,ztfr,False,26.275,-15.291058043283897,46.56272782744179
58222.40709490003,20.08265300695685,nan,-2.742778696198011,6.72928299906861,ztfr,False,26.275,-24.4450408607973,59.97479785887365
58222.42793980008,20.200791450303885,nan,-2.0587653429138117,6.035502241400491,ztfr,False,26.1265,-16.0032005856944,46.91518309116191
58222.428888900205,20.212476680257055,nan,-0.6576766723478942,5.970893480962767,ztfr,False,26.1166,-5.065851302108399,45.99168525668117
58222.447384300176,20.15666332463075,nan,8.50068318000539,6.285859445956259,ztfr,False,26.1193,65.6407947027446,48.538311649212766
58222.48501159996,20.07947259308641,nan,-10.065306666236134,6.749023780942475,ztfr,False,26.275,-89.707140088868,60.15073776251941
58222.507638900075,19.959137957401772,nan,4.476587437303817,7.540060189640877,ztfr,False,26.275,39.89762753134768,67.2008571760234
58224.4079167,15.95962609976943,nan,383.7442861808111,300.0402756325997,ztfr,False,22.2548,84.3260819316192,65.93250186885878
58224.43112270022,19.918163054157798,nan,-1.4213500897767137,7.830054303233896,ztfr,False,26.275,-12.6677960092998,69.78543243395383
58226.413935199846,20.24113489050086,nan,-3.6316604458893122,5.815352428514608,ztfr,False,26.1285,-28.281682078451603,45.2872593701769
58226.422627300024,20.21825682416747,nan,-3.6352614602128455,5.939190643142407,ztfr,False,26.275,-32.399301867761494,52.93309232455836
58226.44260419998,20.29004966954455,nan,3.419812392696735,5.5591722123536345,ztfr,False,26.275,30.47911003232375,49.54617449507228
58226.49822920002,20.179751577861357,nan,4.244748884309073,6.153601444705444,ztfr,False,26.1291,33.07440216452306,47.94787500733543
58226.49916670006,20.166447974653785,nan,0.2514321867104638,6.229465798899742,ztfr,False,26.275,2.2408917228272003,55.520172373414795
58226.509398099966,19.81035062635474,nan,-10.655875237411667,8.647483561705416,ztfr,False,26.275,-94.970588019793,77.07077836866098
58227.33733800007,20.33199851682432,nan,-3.787545638461112,5.3484826204959575,ztfg,False,26.325,-35.34743256558709,49.914944083158005
58227.3595718001,20.46398475542874,nan,0.5213960082496956,4.7362660880988505,ztfg,False,26.1968,4.324020078607401,39.27860846368249
58227.3943403,19.52331305445649,nan,-5.04461203162521,11.26431466597271,ztfi,False,25.4362,-20.7638446706116,46.364413869464144
58227.39984950004,19.64534608525512,nan,6.571441497946156,10.066802807468981,ztfr,False,26.275,58.5680339993554,89.72047446164157
58228.46277779993,20.379220303702823,nan,-0.2783638098781086,5.120847871941841,ztfg,False,26.325,-2.597842227549801,47.7905330021683
58228.49815970007,20.332619349527473,nan,0.17797925043642704,5.345425189288057,ztfg,False,26.325,1.6609990092241986,49.88641047491636
58229.40109949978,20.25040893393398,nan,-3.099724696238406,5.765890920125359,ztfr,False,26.275,-27.6263254347882,51.38855691738573
58229.4229629999,20.3206193198761,nan,-6.265560283117388,5.404832852723869,ztfr,False,26.275,-55.8418648026191,48.17062350446238
58229.42390049994,20.46497393005331,nan,0.4037567148394285,4.731953013989862,ztfr,False,26.275,3.5984855087843997,42.1735756292327
58229.44342589984,20.433048995189182,nan,15.125744383927138,4.873156934723021,ztfr,False,26.275,134.808338721463,43.43205689744861
58229.46734949993,20.691950496963322,nan,2.3204558075997324,3.839280091598586,ztfg,False,26.325,21.655753622518,35.83024657448637
58229.48400459997,20.715876075392927,nan,-5.897926735857954,3.755602033214877,ztfg,False,26.325,-55.0426549202498,35.04931749579699
58229.4849537001,20.72514705347009,nan,-3.5482094065499172,3.723669900659529,ztfg,False,26.325,-33.11381688791041,34.75130949538801
58230.37930560019,19.7593387449978,nan,-12.819014877162388,9.063469918361374,ztfg,False,26.325,-119.6340076609238,84.58522281454884
58230.402349499986,20.951578560512452,nan,4.387453587541948,3.0227245372620057,ztfg,False,26.325,40.946099301207,28.20970674524354
58230.42357640015,20.282985211521208,nan,-2.047675233132923,5.5954614892496295,ztfr,False,26.1073,-15.6379952716117,42.73226481207871
58230.461087999865,19.220013862285995,nan,27.84859795491409,14.89444930998016,ztfr,False,26.275,248.200890530267,132.74691920505342
58230.4838657002,20.851264719305057,nan,-1.7154527295119868,3.3153097278022448,ztfg,False,26.325,-16.00953637630995,30.940270619455386
58231.294733799994,20.182557798433628,nan,4.083137612618607,6.137717230853545,ztfr,False,26.275,36.39100227775517,54.702462399978785
58231.3353587999,19.994677006329248,nan,5.0866232762086865,7.297249460992271,ztfr,False,26.275,45.334577668539396,65.03680427905333
58231.380312500056,20.756393777765233,nan,7.247763865555503,3.618032673644305,ztfg,False,26.325,67.6400679869068,33.765445531025755
58231.39978010021,20.788506394554044,nan,4.520885788342348,3.5125898159295956,ztfg,False,26.325,42.19136105382481,32.78139552651998
58231.42163190013,20.66326370945999,nan,-0.3704776550169374,3.942071634105177,ztfg,False,26.325,-3.457498648937399,36.789553065784695
