mjd,m,em,f,ef,band,det,zp,f_counts,ef_counts
59199.21,20.015292433390314,nan,9.8,7.16,c,False,23.9,9.8,7.16
58246.45186,20.534270058357656,nan,-3.141185766277933,4.4393764342011925,ztfr,False,30,-865.1544,1222.7058
58246.48295,20.611690915169994,nan,-9.50101292179693,4.133839679399363,ztfg,False,30,-2616.79625,1138.55399
58256.48686,20.10729589314031,nan,0.8391483964998171,6.578269145928437,ztfr,False,30,231.12066,1811.80577
58259.4302,18.33493921983375,nan,21.22716041305504,33.655365216277254,ztfg,False,30,5846.44545,9269.45729
58259.46731,20.740197593880975,nan,-0.5312723660989082,3.6724082817599206,ztfr,False,30,-146.32456,1011.46523
58262.4715,21.182234413353374,nan,-1.504002697735078,2.4441971328818273,ztfg,False,30,-414.23674,673.18779
58267.46574,19.930486565825582,nan,-2.295176392700541,7.741682734682458,ztfg,False,30,-632.14407,2132.23648
58270.42262,19.866328137731287,nan,-8.712734374932399,8.212941711261585,ztfr,False,30,-2399.68631,2262.03198
58270.47362,20.080546714878807,nan,-4.362245185172191,6.742350254898171,ztfg,False,30,-1201.46209,1856.99746
58273.43191,20.708515667532666,nan,-0.8865663541449869,3.781148452696708,ztfr,False,30,-244.18065,1041.41476
58273.43282,20.551223415343934,nan,-3.741379169968936,4.370595653661654,ztfr,False,30,-1030.46139,1203.762
58273.47369,20.583629804256894,nan,4.7269851571223915,4.242072376138998,ztfg,False,30,1301.91982,1168.36375
58273.47461,20.601680748790145,nan,-7.2485558573269735,4.172128692897836,ztfg,False,30,-1996.41806,1149.09966
58274.44355,20.393169935299728,nan,-0.8576511446333454,5.055475633931176,ztfg,False,30,-236.21674,1392.39361
58274.46633,20.715285714908088,nan,-4.005982613799403,3.757644667436777,ztfr,False,30,-1103.33923,1034.94128
58275.43419,20.595576497531933,nan,-13.193680450703745,4.195651394524421,ztfr,False,30,-3633.84134,1155.57835
58275.4702,20.521224191875596,nan,2.6688833033693977,4.493040351006961,ztfg,False,30,735.0715,1237.48607
58276.40206,20.566325191323244,nan,6.356572995837509,4.310224777489145,ztfg,False,30,1750.74558,1187.13448
58276.403,20.65548030299801,nan,0.4751245233970409,3.9704330242241697,ztfg,False,30,130.86016,1093.54806
