time flux fluxerr zp band zpsys 
59025.70522 901.856832793198 25.131038604572154 8.9 standard::b bd17 
59027.339364 816.4221897376453 22.811986798937493 8.9 standard::b bd17 
59028.339516 805.351737527321 20.825551624534945 8.9 standard::b bd17 
59029.375086 816.5913966103661 22.89719028384445 8.9 standard::b bd17 
58976.726856 448.263729411888 13.704266197592128 8.9 standard::v bd17 
58977.455523 746.8703177931764 33.235549524864574 8.9 standard::v bd17 
58977.732401 795.3231061676161 17.836120990723817 8.9 standard::v bd17 
58978.754212 1329.994974649246 27.430767562877083 8.9 standard::v bd17 
58978.807368 1357.352977682398 38.31015716876229 8.9 standard::v bd17 
58979.419061 1759.3554878063944 57.46679787054307 8.9 standard::v bd17 
58979.444563 1377.2703561661053 472.14049261553487 8.9 standard::v bd17 
58979.836622 2016.2630902951896 38.20131248151766 8.9 standard::v bd17 
58980.715375 2664.2292989716743 41.222156723967394 8.9 standard::v bd17 
58980.80814 2779.500778407095 62.4720417337271 8.9 standard::v bd17 
58981.706254 3598.1693514829444 70.38682004085031 8.9 standard::v bd17 
58982.469822 4398.878837945813 162.42532195242907 8.9 standard::v bd17 
58982.700234 4506.518933157713 97.2706544515368 8.9 standard::v bd17 
58982.75436 4706.048514601107 112.89025181774304 8.9 standard::v bd17 
58982.75571 4725.889904690001 110.66318357100816 8.9 standard::v bd17 
58983.700017 5590.9910880397565 125.63218300829588 8.9 standard::v bd17 
58983.771553 5856.6490442052 186.61681303927801 8.9 standard::v bd17 
58983.772899 5800.972411003272 104.31998659386221 8.9 standard::v bd17 
58984.727672 6979.842132154153 186.9843589687255 8.9 standard::v bd17 
58985.351234 7375.7536013898025 337.1117174792057 8.9 standard::v bd17 
58985.427516 7596.4310454069555 121.37652331956387 8.9 standard::v bd17 
58985.699156 7966.530074759315 260.4426229542334 8.9 standard::v bd17 
58986.350882 8344.186453976163 336.9303489425983 8.9 standard::v bd17 
58986.760488 9197.589022197742 301.75591190927605 8.9 standard::v bd17 
58986.785921 9358.322339069044 289.54064775249776 8.9 standard::v bd17 
58988.421164 10270.43409310496 156.99798339250944 8.9 standard::v bd17 
58988.76839 11046.695934164918 1223.0930980418007 8.9 standard::v bd17 
58989.777837 11272.410608822925 241.48130752351548 8.9 standard::v bd17 
58989.803165 12101.47756504929 1320.3177927735724 8.9 standard::v bd17 
58990.406884 11251.820622809268 475.9453646829946 8.9 standard::v bd17 
58991.759265 12151.503043436061 256.22845536259825 8.9 standard::v bd17 
58993.447501 12344.252597200562 226.2071105279346 8.9 standard::v bd17 
58996.374969 12656.324461332437 787.0509532935838 8.9 standard::v bd17 
58998.364192 11759.606781076458 221.89465826791985 8.9 standard::v bd17 
58998.412979 11772.838868660987 229.73456721551105 8.9 standard::v bd17 
58999.377543 11767.3643333408 325.61033252576595 8.9 standard::v bd17 
59000.355818 11186.020219241143 283.5613596976433 8.9 standard::v bd17 
59001.731798 10611.725321766899 202.6686918128313 8.9 standard::v bd17 
59003.403056 9558.3119439511 163.02378036432626 8.9 standard::v bd17 
59004.346277 8816.796155268392 184.46685353712957 8.9 standard::v bd17 
59004.703339 8659.483718546488 213.04634410836786 8.9 standard::v bd17 
59005.370453 8903.295749476163 179.38021562353433 8.9 standard::v bd17 
59006.436158 7665.653772786497 149.80604039746245 8.9 standard::v bd17 
59007.43667 7302.863782674542 131.90723585931713 8.9 standard::v bd17 
59007.751566 7405.254692263005 141.81848237300548 8.9 standard::v bd17 
59012.356342 6117.573557534408 124.38707787792262 8.9 standard::v bd17 
59013.75276 5659.791075284791 209.53612955444194 8.9 standard::v bd17 
59014.694912 5332.946170021105 175.45038689723916 8.9 standard::v bd17 
59015.710741 5132.020706703127 102.23521641705743 8.9 standard::v bd17 
59016.69514 4932.201375770077 85.87567992938797 8.9 standard::v bd17 
59017.695564 4697.041528731683 113.44424130663464 8.9 standard::v bd17 
59018.71164 4369.792349611044 92.82631481730968 8.9 standard::v bd17 
59019.384533 4257.160265692937 78.73739028019624 8.9 standard::v bd17 
59019.695196 4075.825667958093 90.96630208436551 8.9 standard::v bd17 
59020.711689 3934.4460994257233 150.041732082622 8.9 standard::v bd17 
59022.695983 3372.630785880874 70.98223836547145 8.9 standard::v bd17 
59023.696477 3245.9632608941606 64.64205330860138 8.9 standard::v bd17 
59023.712055 3275.4667864331286 65.94458964421456 8.9 standard::v bd17 
59024.696475 3010.5677150441834 66.80314893524452 8.9 standard::v bd17 
59025.707922 2827.5559028357548 55.017918479208646 8.9 standard::v bd17 
59027.342061 2575.5524587534983 51.12741188904202 8.9 standard::v bd17 
59028.342276 2524.4385294008557 58.220349012197865 8.9 standard::v bd17 
59029.376618 2423.701881554522 42.00318125477746 8.9 standard::v bd17 
58976.72871 345.25152057690906 7.820288766588034 8.9 sdssg ab 
58977.457384 576.2434474518652 13.684595746172796 8.9 sdssg ab 
58978.809221 1233.3331363969849 23.787757188259945 8.9 sdssg ab 
58979.838493 1876.9141134450958 27.26508452746188 8.9 sdssg ab 
58980.810009 2657.87162057895 41.388170802629624 8.9 sdssg ab 
58982.471531 3887.4749182272294 146.47095975791515 8.9 sdssg ab 
58982.757222 4614.157344046549 85.18716015555303 8.9 sdssg ab 
58982.758947 4621.928257615858 115.02287661909655 8.9 sdssg ab 
58983.774412 5693.430191096533 90.60836310038358 8.9 sdssg ab 
58983.776135 5721.522366270821 77.56496222570095 8.9 sdssg ab 
58985.352921 6915.672204601318 324.3703263057142 8.9 sdssg ab 
58985.428688 7467.244987172785 141.57512422199704 8.9 sdssg ab 
58986.352562 7987.976894708913 383.2732615032981 8.9 sdssg ab 
58986.787091 9272.482022697124 206.8539172660075 8.9 sdssg ab 
58988.422343 10009.823044289313 176.38532605257055 8.9 sdssg ab 
58988.770009 10115.869078802281 859.4801266567655 8.9 sdssg ab 
58989.779004 10988.580649877915 179.33146162198926 8.9 sdssg ab 
58989.804782 10976.705185586829 1046.9124517555258 8.9 sdssg ab 
58990.408567 10662.837728907118 630.9789230959364 8.9 sdssg ab 
58991.760191 11632.54657339806 173.8234709128567 8.9 sdssg ab 
58993.448446 11442.307110206151 204.14620978875834 8.9 sdssg ab 
58996.375921 11618.23080991105 430.6317321226361 8.9 sdssg ab 
58998.365128 10011.36280045423 180.04545596341887 8.9 sdssg ab 
59001.732721 8875.564818313713 135.39751133055262 8.9 sdssg ab 
59004.704261 6953.265298512143 172.2536062760698 8.9 sdssg ab 
59007.752501 5441.216420468393 88.90982919468402 8.9 sdssg ab 
59013.753688 3319.9657241314853 186.75216479566163 8.9 sdssg ab 
59017.402942 2502.0846582660442 47.251573271903325 8.9 sdssg ab 
59019.69612 2025.5473505656971 34.91653317541609 8.9 sdssg ab 
59023.71323 1550.0339124667175 32.46725225044049 8.9 sdssg ab 
59029.377788 1258.480237471435 24.378257111169656 8.9 sdssg ab 
58976.731509 468.84447227802366 11.680777448096409 8.9 sdssr ab 
58977.460182 717.8775963397767 16.216338601098432 8.9 sdssr ab 
58978.812018 1392.0050152646438 37.572753674943904 8.9 sdssr ab 
58979.449216 3502.292386172133 2159.433023163648 8.9 sdssr ab 
58979.841282 2114.3223468785204 37.469208540717595 8.9 sdssr ab 
58980.812804 2993.791837782991 58.539266202596444 8.9 sdssr ab 
58982.474129 4811.321742549664 203.00202577779962 8.9 sdssr ab 
58982.760814 5070.644926436701 131.10288093104623 8.9 sdssr ab 
58982.762163 5038.6524133868 125.21726624036545 8.9 sdssr ab 
58983.778014 6268.632356050731 115.67455216385152 8.9 sdssr ab 
58983.779397 6238.997333266631 101.29628588311171 8.9 sdssr ab 
58985.355537 8058.978552904137 317.093196552988 8.9 sdssr ab 
58985.430214 8194.332834606383 156.27355422964618 8.9 sdssr ab 
58986.35517 9017.148043944168 342.3445381028125 8.9 sdssr ab 
58986.788598 9532.008040205583 253.1073299341125 8.9 sdssr ab 
58988.423862 10385.781942326797 179.71002946701967 8.9 sdssr ab 
58988.772547 11120.553402850586 767.1358891013964 8.9 sdssr ab 
58989.780521 11138.009910879686 217.29525542054742 8.9 sdssr ab 
58989.807318 11811.373418012476 892.0515094113345 8.9 sdssr ab 
58990.411172 11380.601068335973 342.69592346426765 8.9 sdssr ab 
58991.761375 12047.66269925105 231.77966927796854 8.9 sdssr ab 
58993.449616 12363.573072677298 225.76404716420578 8.9 sdssr ab 
58996.377092 13198.105633594227 725.0510807058606 8.9 sdssr ab 
58998.366301 11400.597156001772 227.89933649581542 8.9 sdssr ab 
59001.733903 9453.677873881812 162.04893798306122 8.9 sdssr ab 
59004.705442 7432.86765336653 216.4749660526076 8.9 sdssr ab 
59007.753671 6790.891630158567 130.55940408610434 8.9 sdssr ab 
59013.754865 6221.300800058184 320.4003458773384 8.9 sdssr ab 
59017.404101 5941.640894032993 101.40456335888528 8.9 sdssr ab 
59019.69729 5470.265432230277 100.31760435344508 8.9 sdssr ab 
59023.714747 4358.4854448611095 90.05710783292548 8.9 sdssr ab 
59029.37932 3111.6704814973236 65.91981775247515 8.9 sdssr ab 
58976.73337 290.8688407139949 14.596804993412986 8.9 sdssi ab 
58977.462064 436.8858712586769 15.14704472386458 8.9 sdssi ab 
58977.734555 518.0188936354261 17.79870169418782 8.9 sdssi ab 
58978.756356 887.2589727234615 30.612968630439994 8.9 sdssi ab 
58978.813875 909.2824314093864 33.9899660704439 8.9 sdssi ab 
58979.421206 1024.1180013919234 79.94211528877213 8.9 sdssi ab 
58979.451096 2610.05224122131 1954.4401241227677 8.9 sdssi ab 
58979.843144 1429.3072611037444 42.973888157174194 8.9 sdssi ab 
58980.717528 2017.7269744401353 48.734556281565254 8.9 sdssi ab 
58980.814744 2075.831031922291 72.50731412439023 8.9 sdssi ab 
58981.708398 2785.543853154833 80.71573442982586 8.9 sdssi ab 
58982.475816 3709.2866801231867 168.14735570411682 8.9 sdssi ab 
58982.70239 3620.1586208944286 111.74870622123679 8.9 sdssi ab 
58982.763681 3790.2233256061804 138.77472925975422 8.9 sdssi ab 
58982.765022 3778.021281824219 133.5677545496687 8.9 sdssi ab 
58983.70217 4570.077868751057 138.15006359090046 8.9 sdssi ab 
58983.780929 4692.362982140237 145.4035146652358 8.9 sdssi ab 
58983.782301 4659.618919846206 142.94686527176466 8.9 sdssi ab 
58984.729814 5611.5546913938715 215.00680749058088 8.9 sdssi ab 
58985.357223 6555.466464035451 286.2464272918773 8.9 sdssi ab 
58985.431388 6093.129381068648 185.3861325542342 8.9 sdssi ab 
58985.7013 6249.924916834173 240.16249648166317 8.9 sdssi ab 
58986.356863 7100.589403571689 281.09731664728594 8.9 sdssi ab 
58986.762648 7072.933909629883 311.49968037780843 8.9 sdssi ab 
58986.789769 7096.542368808289 284.538525645051 8.9 sdssi ab 
58988.425036 7435.743497691424 191.53403698669374 8.9 sdssi ab 
58988.774159 7753.703684631414 458.5723240316484 8.9 sdssi ab 
58989.781688 7395.283032793339 232.36094023125372 8.9 sdssi ab 
58989.808928 7807.910023840726 612.1925100283531 8.9 sdssi ab 
58990.412861 7400.0524852895005 242.4685351842163 8.9 sdssi ab 
58991.762308 7282.357580851536 202.25190016751444 8.9 sdssi ab 
58993.450553 7003.26886785666 171.01545170896023 8.9 sdssi ab 
58996.378032 7070.198385354386 564.1513695799097 8.9 sdssi ab 
58998.367237 6026.57825167971 156.12408036329322 8.9 sdssi ab 
58998.415148 6187.454238849116 177.51936307870167 8.9 sdssi ab 
58999.379691 5917.469116399845 201.77695159033496 8.9 sdssi ab 
59000.357985 5493.986652772069 210.39592309303015 8.9 sdssi ab 
59001.734834 4705.086369317657 123.87437508073779 8.9 sdssi ab 
59003.405615 4332.877392794983 103.95446215230527 8.9 sdssi ab 
59004.34843 4030.8960632131516 128.33689666284377 8.9 sdssi ab 
59004.706378 3985.187872248246 143.2483566529679 8.9 sdssi ab 
59005.372608 4131.506116067708 128.16869179783203 8.9 sdssi ab 
59006.43833 3771.978425082815 102.36496103565436 8.9 sdssi ab 
59007.438821 3967.3233650168327 100.88804041725459 8.9 sdssi ab 
59007.754613 3947.055199146038 108.72671131230952 8.9 sdssi ab 
59012.358483 4449.6433234512815 121.65313437507794 8.9 sdssi ab 
59013.755805 4741.03978753139 562.1505817459556 8.9 sdssi ab 
59014.697136 4578.06126249668 143.56088626421703 8.9 sdssi ab 
59015.712889 4699.343596565818 154.7394589814305 8.9 sdssi ab 
59016.697285 4829.853968738513 134.25007131914765 8.9 sdssi ab 
59017.40503 4922.888506617103 114.83636325350956 8.9 sdssi ab 
59017.697708 4787.411955364766 152.49803934941568 8.9 sdssi ab 
59018.713773 4894.98764526232 154.64885989059664 8.9 sdssi ab 
59019.386689 4962.622039973972 149.2850636621237 8.9 sdssi ab 
59019.698221 4902.2109984662175 150.65093294117594 8.9 sdssi ab 
59020.713901 4786.0187973935845 113.51703621040808 8.9 sdssi ab 
59022.698116 4347.888517670605 152.8297727027957 8.9 sdssi ab 
59023.698618 4041.561576341563 119.69055683708756 8.9 sdssi ab 
59023.715927 4113.364541597807 115.45223461400192 8.9 sdssi ab 
59024.69863 3829.227771709947 126.29293992062101 8.9 sdssi ab 
59025.710066 3522.4432100172307 113.6831690619642 8.9 sdssi ab 
59027.344293 3240.2222506731273 92.0404919676339 8.9 sdssi ab 
59028.344458 2984.0878198128803 88.53020866648316 8.9 sdssi ab 
59029.380504 2954.595282033902 80.35403913543837 8.9 sdssi ab 
