MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58979.514428,-22.124,3.370,-5,17,o,0,3.83,256.72750,30.27150,2068.89,766.45,2.38,1.86,-53.5,-0.464,19.12,19.66,02a58979o0495o
58979.546017,-21.197,1.363,-12,16,o,0,3.41,256.72750,30.27150,2129.26,844.50,2.29,1.82,-52.6,-0.477,19.10,19.66,02a58979o0560o
58979.548805,21.363,1.935,10,20,o,0,3.41,256.72750,30.27150,2149.49,726.64,2.50,1.81,-53.9,-0.455,19.09,19.66,02a58979o0566o
58981.468613,-20.444,0.602,-24,14,o,0,3.04,256.72750,30.27150,5180.48,2729.12,1.95,1.87,2.1,-0.413,19.37,20.13,01a58981o0408o
58981.489781,20.773,1.138,18,20,o,0,1.90,256.72750,30.27150,5155.27,2688.63,1.97,1.88,0.3,-0.408,18.88,19.28,01a58981o0450o
58981.491621,-22.172,3.708,-5,18,o,0,2.31,256.72750,30.27150,5214.21,2766.40,1.99,1.96,38.6,-0.409,19.02,19.59,01a58981o0454o
58981.503031,20.515,0.777,23,18,o,0,1.82,256.72750,30.27150,5230.96,2651.32,1.96,1.87,-12.1,-0.410,19.05,19.53,01a58981o0478o
58983.471791,-20.478,0.546,-23,13,o,0,2.51,256.72750,30.27150,8487.27,9767.84,2.72,1.95,-52.6,-0.421,19.63,20.78,02a58983o0472o
58983.474992,-20.308,0.460,-27,13,o,0,4.14,256.72750,30.27150,8508.30,9808.15,2.81,1.93,-52.9,-0.420,19.61,20.75,02a58983o0479o
58983.480514,-24.165,19.833,-1,16,o,0,1.64,256.72750,30.27150,8448.05,9729.79,2.75,1.98,-52.2,-0.420,19.60,20.72,02a58983o0491o
58983.485553,-20.043,0.347,-35,12,o,0,3.42,256.72750,30.27150,8429.19,9848.61,2.81,2.01,-51.5,-0.421,19.56,20.67,02a58983o0502o
58985.504039,21.078,0.677,14,9,o,0,6.97,256.72750,30.27150,7522.17,1105.77,2.22,2.10,-58.6,-0.405,19.71,21.22,01a58985o0562o
58985.508647,19.730,0.185,47,9,o,0,6.32,256.72750,30.27150,7542.64,1144.14,2.44,2.26,-68.3,-0.394,19.64,21.19,01a58985o0572o
58985.513950,-21.591,1.047,-8,9,o,0,33.81,256.72750,30.27150,7486.99,1066.12,2.17,2.05,-70.3,-0.403,19.72,21.16,01a58985o0583o
58985.546653,19.807,0.196,43,8,o,0,14.06,256.72750,30.27150,7476.14,1182.03,2.16,2.00,-58.2,-0.406,19.71,21.06,01a58985o0646o
58987.493953,22.254,1.861,5,8,c,0,5.91,256.72750,30.27150,1922.51,7413.96,2.45,2.36,-46.8,-0.410,19.77,21.85,02a58987o0562c
58987.497422,-20.132,0.245,-32,8,c,0,4.61,256.72750,30.27150,1903.35,7376.69,2.49,2.41,-38.7,-0.408,19.75,21.84,02a58987o0569c
58987.508365,-20.549,0.373,-22,8,c,0,3.02,256.72750,30.27150,1960.19,7453.33,2.47,2.39,-55.6,-0.409,19.75,21.83,02a58987o0591c
58987.513622,-20.915,0.581,-16,9,c,0,3.50,256.72750,30.27150,1980.39,7334.16,2.45,2.36,-50.0,-0.406,19.78,21.83,02a58987o0602c
58989.366394,-21.869,1.818,-6,12,o,0,2.53,256.72750,30.27150,2986.25,9433.25,2.53,2.31,-3.2,-0.322,19.47,21.12,01a58989o0285o
58989.369621,-21.588,0.951,-8,8,o,0,10.04,256.72750,30.27150,2962.44,9392.32,1.79,1.69,-44.5,-0.422,19.79,21.12,01a58989o0292o
58989.374733,19.820,0.225,43,10,o,0,9.22,256.72750,30.27150,3021.18,9470.76,1.87,1.79,-26.2,-0.415,19.70,21.12,01a58989o0303o
58989.410086,20.792,0.412,18,7,o,0,15.44,256.72750,30.27150,3042.19,9353.06,1.85,1.79,-41.3,-0.415,19.79,21.23,01a58989o0374o
58991.571872,20.397,0.328,25,8,c,0,3.63,256.72750,30.27150,1913.95,7411.69,2.50,2.26,-49.6,-0.425,19.77,21.81,02a58991o0220c
58991.575667,19.750,0.222,46,10,c,0,2.93,256.72750,30.27150,1895.33,7372.02,2.57,2.40,-43.2,-0.413,19.67,21.77,02a58991o0228c
