MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58945.592052,21.727,2.500,7,18,o,0,1.30,263.14051,15.73588,4676.02,3472.58,2.06,1.92,86.4,-0.401,18.80,19.27,01a58945o0408o
58945.609778,-17.842,0.974,-265,258,o,0,1.55,263.14051,15.73588,5850.11,7205.50,2.14,2.01,-78.8,-0.403,15.82,15.98,01a58945o0445o
58947.540854,20.041,0.657,35,23,o,0,1.38,263.14051,15.73588,1569.89,2848.05,2.19,1.84,-55.0,-0.464,18.56,18.76,02a58947o0557o
58947.544059,-20.160,0.816,-31,26,o,0,1.11,263.14051,15.73588,1589.08,2888.10,2.20,1.86,-53.7,-0.458,18.52,18.77,02a58947o0564o
58947.558249,-20.187,0.913,-31,28,o,0,0.98,263.14051,15.73588,1537.12,2806.94,2.24,1.91,-53.0,-0.452,18.58,18.82,02a58947o0593o
58947.564091,-21.022,1.645,-14,23,o,0,1.42,263.14051,15.73588,1512.25,2925.56,2.34,1.99,-50.9,-0.441,18.57,18.84,02a58947o0605o
58948.516233,20.272,0.743,28,21,o,0,1.43,263.14051,15.73588,4638.96,3435.06,2.02,1.88,-9.0,-0.408,18.82,19.08,01a58948o0579o
58948.519464,20.137,0.612,32,20,o,0,1.11,263.14051,15.73588,4622.85,3398.86,2.14,1.93,-7.2,-0.400,18.75,19.10,01a58948o0586o
58948.524694,-21.707,2.066,-8,16,o,0,1.76,263.14051,15.73588,4678.44,3475.06,2.00,1.89,-7.8,-0.401,18.83,19.11,01a58948o0596o
58948.541282,-21.175,1.500,-12,18,o,0,1.41,263.14051,15.73588,4699.89,3360.69,2.31,1.92,-3.9,-0.406,18.76,19.18,01a58948o0630o
58951.478738,-19.458,0.642,-60,38,o,0,1.41,263.14051,15.73588,1575.77,2847.12,2.13,1.92,-54.1,-0.464,18.13,18.30,02a58951o0439o
58951.484086,-19.263,0.912,-72,65,o,0,1.70,263.14051,15.73588,1594.82,2885.55,2.00,1.94,-67.8,-0.474,17.62,17.99,02a58951o0450o
58951.487847,19.392,0.875,64,56,o,0,0.96,263.14051,15.73588,1535.23,2806.66,2.01,1.93,-63.4,-0.449,17.72,17.71,02a58951o0458o
58951.500958,20.193,1.060,30,32,o,0,1.14,263.14051,15.73588,1521.60,2914.75,2.02,1.88,-55.2,-0.457,18.11,18.44,02a58951o0484o
58953.556317,-18.147,0.866,-200,173,o,0,1.43,263.14051,15.73588,7070.87,7783.42,2.11,2.05,-77.5,-0.418,16.41,16.71,01a58953o0537o
58953.560262,-17.346,0.594,-418,248,o,0,1.02,263.14051,15.73588,7051.64,7744.88,2.04,1.97,-66.4,-0.416,16.10,16.27,01a58953o0545o
58953.572693,18.924,2.044,98,200,o,0,1.28,263.14051,15.73588,7110.41,7821.97,2.00,1.94,-63.4,-0.417,16.02,16.28,01a58953o0569o
58953.581664,-17.031,0.658,-559,368,o,0,0.60,263.14051,15.73588,7129.58,7704.36,1.83,1.78,-84.0,-0.417,15.89,15.85,01a58953o0587o
58957.453868,21.517,1.800,9,16,o,0,0.95,263.14051,15.73588,7059.82,7787.51,2.27,2.13,-2.6,-0.379,18.93,20.15,01a58957o0461o
58957.463772,20.755,0.707,18,13,o,0,1.97,263.14051,15.73588,7043.73,7749.13,2.04,1.91,-15.0,-0.406,19.07,20.21,01a58957o0480o
58957.467825,23.064,6.333,2,14,o,0,0.88,263.14051,15.73588,7099.30,7821.79,1.96,1.90,-47.9,-0.412,19.33,20.54,01a58957o0488o
58957.479684,21.017,0.697,14,10,o,0,1.07,263.14051,15.73588,7120.57,7703.76,2.02,1.98,-6.8,-0.409,19.59,20.91,01a58957o0512o
58959.469168,21.190,0.707,12,9,c,0,1.02,263.14051,15.73588,5429.00,2668.43,2.44,2.24,50.3,-0.399,19.61,21.31,02a58959o0491c
58959.479357,22.019,1.630,6,9,c,0,0.99,263.14051,15.73588,5445.79,2707.42,2.49,2.23,42.9,-0.398,19.65,21.35,02a58959o0511c
58959.482848,-22.261,2.118,-4,10,c,0,1.26,263.14051,15.73588,5386.39,2629.45,2.66,2.28,42.9,-0.391,19.61,21.31,02a58959o0518c
58959.490637,-20.098,0.238,-33,8,c,0,1.49,263.14051,15.73588,5368.58,2746.30,2.44,2.22,49.3,-0.400,19.67,21.34,02a58959o0533c
58961.543942,-19.994,0.563,-36,20,o,0,0.92,263.14051,15.73588,10444.71,1187.95,4.71,2.55,-2.7,-0.370,19.21,21.03,01a58961o0647o
58961.549376,-19.153,0.125,-79,10,o,0,3.40,263.14051,15.73588,10424.73,1148.21,2.37,2.20,-49.7,-0.399,19.74,21.07,01a58961o0657o
58961.567260,-19.259,0.154,-72,11,o,0,2.18,263.14051,15.73588,10482.86,1229.65,2.45,2.27,-57.8,-0.403,19.66,21.04,01a58961o0692o
58961.568647,0.000,21.346,0,10,o,0,1.86,263.14051,15.73588,201.16,1226.63,1.86,1.79,19.6,-0.480,19.77,21.06,01a58961o0695o
58961.572390,-18.961,0.111,-94,10,o,0,2.76,263.14051,15.73588,10376.93,9347.23,2.16,2.00,62.3,-0.400,19.70,21.02,01a58961o0702o
58961.577609,-18.266,0.089,-179,16,o,0,1.98,263.14051,15.73588,10502.94,1111.04,2.22,2.01,-40.1,-0.420,19.79,21.00,01a58961o0712o
58961.578547,-22.403,2.500,-4,10,o,0,2.55,263.14051,15.73588,239.66,1265.82,1.85,1.78,45.9,-0.484,19.76,21.02,01a58961o0714o
58961.598556,-19.958,0.270,-38,10,o,0,1.33,263.14051,15.73588,10306.21,9384.58,2.18,1.95,29.8,-0.397,19.65,21.01,01a58961o0754o
58963.513273,-20.546,9.000,-22,198,c,0,1.54,263.14051,15.73588,3994.13,7220.10,2.56,2.41,34.8,-0.379,16.14,17.73,02a58963o0611c
58965.495524,-20.616,0.701,-21,14,o,0,1.42,263.14051,15.73588,210.34,1218.35,2.17,2.01,11.9,-0.454,19.41,20.61,01a58965o0528o
58965.497365,-19.987,0.458,-37,17,o,0,1.39,263.14051,15.73588,189.01,1179.18,2.13,2.02,17.9,-0.471,19.34,20.53,01a58965o0532o
58965.499286,-20.352,0.543,-26,14,o,0,1.16,263.14051,15.73588,10452.69,1193.96,2.41,2.22,-54.0,-0.393,19.23,20.43,01a58965o0536o
58965.500206,-20.247,0.470,-29,14,o,0,1.28,263.14051,15.73588,251.16,1259.19,2.13,2.02,7.6,-0.444,19.33,20.49,01a58965o0538o
58965.501128,21.585,1.485,8,12,o,0,1.17,263.14051,15.73588,10432.21,1154.19,2.33,2.13,-45.2,-0.398,19.35,20.47,01a58965o0540o
