MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59179.309304,15.940,1.941,1527,2964,o,0,1.07,345.29006,23.48722,9431.75,8010.72,2.33,2.20,-57.1,-0.567,15.51,15.30,02a59179o0280o
59179.316708,19.058,1.292,86,112,o,0,1.30,345.29006,23.48722,9489.20,8089.50,2.31,2.10,-49.9,-0.489,18.40,18.78,02a59179o0296o
59179.334442,-17.106,4.506,-522,2352,o,0,1.04,345.29006,23.48722,9511.44,7970.56,2.27,2.25,-40.1,-0.549,14.99,14.87,02a59179o0334o
59181.264066,17.193,4.973,482,2395,o,0,0.69,345.29006,23.48722,947.95,553.03,2.15,1.99,57.8,-0.473,13.92,13.69,01a59181o0098o
59183.303284,19.731,1.018,46,47,o,0,3.84,345.29006,23.48722,9453.21,8050.13,2.42,2.29,-61.3,-0.437,18.63,18.92,02a59183o0020o
59183.308443,-20.871,2.600,-16,42,o,0,1.67,345.29006,23.48722,9432.49,8010.98,2.43,2.26,-59.8,-0.433,18.58,18.90,02a59183o0031o
59183.312755,22.824,20.789,3,56,o,0,1.06,345.29006,23.48722,9490.41,8089.55,2.48,2.31,-55.9,-0.433,18.57,18.87,02a59183o0040o
59185.284970,21.119,1.236,13,16,o,0,1.22,345.29006,23.48722,9329.11,4042.32,2.21,1.94,-76.2,-0.424,19.27,19.79,01a59185o0227o
59185.290967,-22.699,5.000,-3,15,o,0,2.59,345.29006,23.48722,9349.35,4081.11,2.28,2.12,-60.9,-0.415,19.22,19.75,01a59185o0240o
59185.294648,-22.074,2.768,-5,15,o,0,1.40,345.29006,23.48722,9290.74,4005.94,2.21,1.99,-75.0,-0.428,19.25,19.75,01a59185o0248o
59185.305269,20.230,0.589,29,17,o,0,1.48,345.29006,23.48722,9272.38,4124.47,2.26,2.00,-79.2,-0.428,19.21,19.65,01a59185o0271o
59187.321997,-20.784,0.714,-18,13,o,0,1.81,345.29006,23.48722,3063.58,4417.81,2.19,1.89,39.1,-0.452,19.19,19.88,02a59187o0251o
59187.325679,20.638,0.821,20,17,o,0,1.22,345.29006,23.48722,3044.93,4378.10,2.15,1.94,41.7,-0.447,19.15,19.85,02a59187o0259o
59187.333010,-20.871,0.901,-16,15,o,0,1.50,345.29006,23.48722,3103.42,4455.64,2.23,1.91,42.0,-0.445,19.13,19.79,02a59187o0275o
59187.344480,19.914,0.343,39,14,o,0,2.07,345.29006,23.48722,3125.75,4336.85,2.07,2.00,38.5,-0.447,19.08,19.71,02a59187o0300o
59189.226977,22.304,2.356,4,10,o,0,2.86,345.29006,23.48722,9316.90,4039.55,2.10,1.73,-31.8,-0.422,19.55,21.00,01a59189o0099o
59189.230209,-24.594,21.833,0,12,o,0,1.42,345.29006,23.48722,9337.68,4077.51,2.02,1.77,-37.7,-0.428,19.65,21.04,01a59189o0106o
59189.235920,-23.522,7.063,-1,10,o,0,2.09,345.29006,23.48722,9278.69,4002.65,2.01,1.79,-56.4,-0.426,19.70,20.95,01a59189o0118o
59189.245866,22.029,2.163,6,12,o,0,2.43,345.29006,23.48722,9261.64,4121.35,2.45,2.20,-55.8,-0.423,19.51,21.19,01a59189o0139o
59191.220605,-22.742,2.875,-3,8,c,0,0.92,345.29006,23.48722,3074.17,4420.49,2.36,2.32,-77.8,-0.412,19.79,21.76,02a59191o0066c
59191.223825,21.167,0.515,12,6,c,0,2.91,345.29006,23.48722,3054.92,4383.41,2.35,2.32,-73.5,-0.410,19.78,21.76,02a59191o0073c
59191.229343,-22.229,1.488,-5,7,c,0,1.67,345.29006,23.48722,3111.95,4460.66,2.27,2.24,50.8,-0.418,19.79,21.74,02a59191o0085c
59191.239161,-20.607,0.428,-21,9,c,0,1.48,345.29006,23.48722,3132.91,4341.00,2.29,2.26,61.2,-0.419,19.82,21.71,02a59191o0106c
59193.277216,23.520,7.667,1,11,o,0,2.06,345.29006,23.48722,8759.45,2119.97,2.19,1.98,-74.0,-0.425,19.57,20.56,01a59193o0207o
59193.281368,-22.730,4.129,-3,12,o,0,1.14,345.29006,23.48722,8779.70,2159.04,2.23,1.96,-67.7,-0.421,19.56,20.55,01a59193o0216o
59193.288741,18.613,0.191,130,25,o,0,2.17,345.29006,23.48722,8721.96,2083.76,2.20,2.05,-63.5,-0.422,19.52,20.50,01a59193o0232o
59193.305164,-20.611,0.590,-21,12,o,0,2.13,345.29006,23.48722,8700.94,2202.69,2.33,2.11,-42.4,-0.407,19.49,20.55,01a59193o0267o
59195.280668,21.618,1.412,8,12,c,0,1.24,345.29006,23.48722,3758.29,10239.66,2.78,2.55,-43.9,-0.404,19.60,21.47,02a59195o0212c
59195.281125,-21.164,0.115,-12,1,c,0,1985.20,345.29006,23.48722,2912.54,31.99,2.72,2.37,-57.2,-0.404,19.66,21.51,02a59195o0213c
59195.284783,21.734,1.524,7,11,c,0,1.78,345.29006,23.48722,3741.87,10198.21,2.94,2.66,-47.2,-0.395,19.57,21.47,02a59195o0221c
59195.290291,20.288,0.439,28,12,c,0,1.09,345.29006,23.48722,2953.78,68.43,2.58,2.28,-60.5,-0.404,19.70,21.51,02a59195o0233c
59195.290749,22.284,2.533,4,11,c,0,1.29,345.29006,23.48722,3797.42,10276.04,2.65,2.44,-48.1,-0.402,19.65,21.46,02a59195o0234c
59195.302201,-21.050,0.989,-14,14,c,0,1.04,345.29006,23.48722,3819.70,10157.38,2.65,2.47,-46.6,-0.396,19.65,21.42,02a59195o0259c
59199.201964,17.789,0.868,278,242,c,0,0.19,345.29006,23.48722,2918.22,39.47,2.82,2.27,-54.2,-0.406,19.39,20.92,02a59199o0039c
59199.202422,20.832,0.710,17,12,c,0,1.24,345.29006,23.48722,3768.36,10243.77,2.77,2.35,-51.1,-0.410,19.47,20.95,02a59199o0040c
59199.207519,21.130,1.147,13,15,c,0,1.69,345.29006,23.48722,3749.47,10204.62,2.75,2.38,-50.0,-0.426,19.30,20.89,02a59199o0051c
59199.211255,23.545,11.857,1,16,c,0,1.23,345.29006,23.48722,3806.01,10282.59,2.77,2.38,-46.8,-0.417,19.22,20.81,02a59199o0059c
59199.211713,20.677,0.758,20,15,c,0,1.61,345.29006,23.48722,2958.56,77.50,2.92,2.28,-53.1,-0.399,19.24,20.86,02a59199o0060c
59199.221330,-23.170,11.000,-2,22,c,0,1.19,345.29006,23.48722,3826.37,10164.78,2.91,2.50,-51.3,-0.411,19.03,20.70,02a59199o0081c
