MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58930.371651,-22.935,4.625,-2,11,c,0,1.04,142.24344,-14.80552,6306.77,6995.33,2.62,2.56,73.0,-0.408,19.70,21.76,02a58930o0313c
58930.378267,21.222,0.904,12,11,c,0,1.11,142.24344,-14.80552,6364.94,7073.86,2.71,2.61,88.1,-0.406,19.67,21.75,02a58930o0325c
58930.389374,-24.788,20.333,0,9,c,0,1.58,142.24344,-14.80552,6385.94,6958.90,2.51,2.42,-81.4,-0.416,19.65,21.65,02a58930o0348c
58932.347970,-20.607,0.830,-21,17,o,0,1.19,142.24344,-14.80552,10338.93,9341.07,2.23,2.18,52.9,-0.409,19.61,21.08,01a58932o0236o
58932.348431,-19.957,0.366,-38,14,o,0,1.41,142.24344,-14.80552,377.91,9279.31,2.40,2.18,-38.4,-0.411,19.57,21.07,01a58932o0237o
58932.360446,21.302,1.471,11,16,o,0,2.01,142.24344,-14.80552,360.48,9396.96,2.48,2.14,-69.2,-0.437,19.62,21.21,01a58932o0263o
58934.335064,19.960,0.347,38,13,c,0,1.22,142.24344,-14.80552,6334.31,7033.68,3.29,3.17,-51.7,-0.383,19.30,21.62,02a58934o0252c
58934.338385,-21.002,1.383,-14,20,c,0,0.81,142.24344,-14.80552,6316.05,6995.63,3.14,3.06,-50.1,-0.381,19.02,21.24,02a58934o0259c
58934.343997,21.308,2.000,11,22,c,0,0.96,142.24344,-14.80552,6374.23,7072.78,3.03,2.96,-57.3,-0.384,18.84,20.97,02a58934o0271c
58934.354445,23.264,11.200,2,20,c,0,1.00,142.24344,-14.80552,6395.33,6958.75,3.24,3.13,-62.3,-0.384,18.88,21.08,02a58934o0293c
58936.384354,21.526,1.286,9,11,o,0,1.56,142.24344,-14.80552,8461.83,9339.46,2.09,1.70,-81.9,-0.395,19.70,20.92,01a58936o0233o
58936.387596,-21.634,1.643,-8,13,o,0,1.07,142.24344,-14.80552,8481.70,9378.93,2.10,1.74,-81.5,-0.393,19.68,20.92,01a58936o0240o
58936.394104,-23.439,7.167,-2,11,o,0,1.30,142.24344,-14.80552,8422.22,9301.05,2.13,1.77,-82.1,-0.392,19.63,20.91,01a58936o0254o
