MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58978.529419,19.493,0.902,58,52,o,0,1.12,218.70164,8.16956,9767.81,8907.44,2.65,1.99,-51.6,-0.422,18.58,18.78,02a58978o0213o
58978.564680,19.270,1.072,71,76,o,0,0.92,218.70164,8.16956,9783.43,8788.84,2.70,2.10,-51.2,-0.421,18.42,18.52,02a58978o0288o
58980.422325,18.855,0.126,104,13,o,0,1.14,218.70164,8.16956,646.84,10017.24,1.96,1.70,-71.2,-0.483,19.45,20.30,01a58980o0421o
58980.456449,17.367,0.805,410,330,o,0,0.98,218.70164,8.16956,672.41,10053.09,2.14,1.89,-74.0,-0.477,16.11,16.15,01a58980o0493o
58980.460146,-22.825,49.500,-3,133,o,0,1.36,218.70164,8.16956,612.63,9974.00,2.12,1.88,-73.2,-0.495,17.01,17.48,01a58980o0501o
58980.470346,17.012,0.818,569,466,o,0,1.43,218.70164,8.16956,593.85,10091.87,2.25,2.00,-72.7,-0.414,15.18,15.09,01a58980o0523o
58981.417067,19.058,0.150,86,13,o,0,1.19,218.70164,8.16956,645.64,10020.20,1.99,1.78,-66.9,-0.460,19.53,20.49,01a58981o0301o
58981.425321,18.936,0.163,97,16,o,0,1.26,218.70164,8.16956,667.78,10058.23,2.05,1.78,-68.3,-0.468,19.37,20.18,01a58981o0318o
58981.428616,19.528,0.265,56,15,o,0,1.17,218.70164,8.16956,609.04,9980.57,2.02,1.76,-67.5,-0.470,19.37,20.21,01a58981o0325o
58981.438603,19.087,0.170,84,14,o,0,1.01,218.70164,8.16956,590.09,10098.10,2.01,1.75,-73.9,-0.466,19.51,20.44,01a58981o0344o
58982.432427,18.811,0.116,108,13,o,0,1.21,218.70164,8.16956,9736.02,8861.62,2.50,2.13,-57.7,-0.423,19.68,20.94,02a58982o0406o
58982.435639,19.170,0.154,78,12,o,0,1.43,218.70164,8.16956,9716.69,8822.58,2.45,2.10,-61.1,-0.423,19.66,20.89,02a58982o0413o
58982.441167,19.287,0.212,70,15,o,0,1.05,218.70164,8.16956,9777.76,8903.31,2.60,2.10,-56.8,-0.414,19.61,20.78,02a58982o0425o
58982.476504,18.883,0.164,102,17,o,0,0.79,218.70164,8.16956,9787.33,8788.90,2.70,2.04,-54.8,-0.420,19.55,20.50,02a58982o0501o
58983.378316,18.990,0.105,92,10,c,0,1.21,218.70164,8.16956,830.24,1706.82,2.82,2.23,-56.4,-0.407,19.76,21.55,02a58983o0289c
58983.381982,19.065,0.122,86,10,c,0,0.94,218.70164,8.16956,851.13,1746.13,2.86,2.27,-53.0,-0.408,19.76,21.56,02a58983o0297c
58983.391151,19.085,0.108,84,9,c,0,1.70,218.70164,8.16956,793.80,1667.55,2.93,2.37,-53.2,-0.403,19.74,21.62,02a58983o0317c
58983.426568,18.982,0.135,93,12,c,0,0.98,218.70164,8.16956,9790.76,8781.39,3.15,2.62,-70.3,-0.368,19.75,21.70,02a58983o0389c
58984.443030,18.940,0.104,96,10,o,0,1.48,218.70164,8.16956,8635.69,3243.17,2.16,1.92,-85.7,-0.407,19.65,20.84,01a58984o0360o
58984.446743,18.864,0.098,103,10,o,0,1.50,218.70164,8.16956,8655.70,3281.44,2.05,1.90,-82.5,-0.410,19.71,20.83,01a58984o0368o
58984.453204,18.865,0.105,103,11,o,0,1.58,218.70164,8.16956,8598.51,3206.14,2.11,1.82,-84.0,-0.431,19.68,20.84,01a58984o0382o
58984.464767,19.079,0.166,85,14,o,0,0.94,218.70164,8.16956,8580.92,3323.03,2.73,2.42,-83.9,-0.385,19.35,20.74,01a58984o0407o
58986.428762,18.903,0.089,100,9,c,0,1.17,218.70164,8.16956,3745.50,5253.02,2.41,2.39,-75.6,-0.402,19.74,21.80,02a58986o0426c
58986.432423,19.088,0.112,84,9,c,0,0.93,218.70164,8.16956,3724.22,5209.95,2.45,2.35,-85.7,-0.402,19.77,21.79,02a58986o0434c
58986.442736,19.540,0.179,55,10,c,0,1.11,218.70164,8.16956,3782.87,5288.58,2.53,2.48,80.4,-0.393,19.71,21.79,02a58986o0456c
58986.448864,19.155,0.123,79,10,c,0,0.83,218.70164,8.16956,3800.65,5169.74,2.43,2.39,65.7,-0.398,19.75,21.78,02a58986o0469c
58988.409954,18.986,0.109,92,10,o,0,1.23,218.70164,8.16956,8627.83,3241.63,2.10,1.93,-1.2,-0.406,19.76,21.02,01a58988o0340o
58988.412719,19.188,0.124,77,10,o,0,1.12,218.70164,8.16956,8648.13,3280.00,2.01,1.93,-84.7,-0.418,19.77,21.03,01a58988o0346o
58988.419180,19.158,0.112,79,9,o,0,1.42,218.70164,8.16956,8590.04,3203.73,2.00,1.98,-20.8,-0.401,19.76,21.05,01a58988o0360o
