MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59090.319411,-21.778,1.800,-7,13,o,0,0.69,277.63342,42.68772,2138.31,3812.90,2.49,2.02,-9.3,-0.364,19.26,20.27,01a59090o0217o
59090.322639,-20.917,0.699,-16,11,o,0,1.48,277.63342,42.68772,2159.99,3852.37,2.25,1.96,-8.6,-0.389,19.32,20.26,01a59090o0224o
59090.328167,-20.592,0.551,-21,12,o,0,1.00,277.63342,42.68772,2101.76,3773.40,2.28,1.99,-3.0,-0.392,19.33,20.26,01a59090o0236o
59090.338318,22.754,4.484,3,13,o,0,1.07,277.63342,42.68772,2087.78,3888.90,2.25,2.01,-11.5,-0.391,19.36,20.25,01a59090o0258o
59092.332949,24.220,19.625,1,15,o,0,1.24,277.63342,42.68772,1707.25,3011.47,2.05,1.84,34.7,-0.454,19.12,19.69,02a59092o0244o
59092.335711,-21.292,1.458,-11,16,o,0,0.89,277.63342,42.68772,1687.79,2973.78,2.00,1.86,36.2,-0.455,19.12,19.68,02a59092o0250o
59092.340889,21.025,1.122,14,16,o,0,1.44,277.63342,42.68772,1747.40,3048.87,2.26,1.83,37.1,-0.454,19.08,19.66,02a59092o0261o
59092.353789,-22.413,4.263,-4,17,o,0,1.02,277.63342,42.68772,1765.38,2929.30,2.32,1.79,37.4,-0.454,19.06,19.59,02a59092o0289o
59094.307324,20.909,1.026,16,16,o,0,1.68,277.63342,42.68772,2136.17,3813.50,1.99,1.89,-10.3,-0.412,18.88,19.28,01a59094o0198o
59094.310549,22.371,4.353,4,18,o,0,1.01,277.63342,42.68772,2156.72,3852.25,1.96,1.87,-11.5,-0.416,18.93,19.22,01a59094o0205o
59094.317485,-19.849,0.651,-42,27,o,0,0.73,277.63342,42.68772,2101.32,3773.86,1.95,1.88,-20.2,-0.414,18.70,18.98,01a59094o0220o
59094.329476,-21.742,1.946,-7,14,o,0,1.43,277.63342,42.68772,2084.37,3888.56,2.00,1.82,-13.9,-0.412,18.93,19.30,01a59094o0246o
59096.291128,25.643,56.500,0,11,o,0,1.41,277.63342,42.68772,1715.45,3016.62,2.08,1.95,29.4,-0.445,19.28,20.08,02a59096o0159o
59096.294328,20.826,0.687,17,12,o,0,1.79,277.63342,42.68772,1695.24,2977.81,2.11,1.99,26.5,-0.445,19.29,20.07,02a59096o0166o
59096.300340,-20.673,0.696,-20,14,o,0,1.07,277.63342,42.68772,1754.37,3053.22,2.10,1.92,30.5,-0.445,19.16,19.91,02a59096o0179o
59096.311403,-23.233,6.056,-2,11,o,0,1.85,277.63342,42.68772,1774.82,2934.61,2.21,1.89,35.3,-0.446,19.25,19.99,02a59096o0203o
59098.296487,-22.231,2.255,-5,10,o,0,1.20,277.63342,42.68772,9906.72,3761.30,2.16,2.07,-71.4,-0.412,19.66,20.70,01a59098o0177o
59098.299972,-22.207,2.333,-5,11,o,0,1.15,277.63342,42.68772,9925.30,3798.24,2.35,1.95,-83.1,-0.430,19.57,20.62,01a59098o0184o
59098.306433,-22.301,2.762,-4,12,o,0,1.25,277.63342,42.68772,9869.45,3724.70,2.20,2.07,-51.2,-0.406,19.46,20.29,01a59098o0198o
59098.310578,20.390,0.466,25,12,o,0,0.71,277.63342,42.68772,206.75,3861.22,1.94,1.79,82.0,-0.409,19.57,20.48,01a59098o0207o
59098.313802,20.350,0.391,26,10,o,0,0.92,277.63342,42.68772,227.61,3900.57,1.90,1.73,81.0,-0.416,19.55,20.51,01a59098o0214o
59098.316578,20.643,0.581,20,12,o,0,1.00,277.63342,42.68772,9853.56,3842.98,2.18,2.03,-62.7,-0.409,19.56,20.42,01a59098o0220o
59098.319809,-22.470,3.074,-4,12,o,0,0.98,277.63342,42.68772,170.39,3821.56,1.87,1.76,81.7,-0.408,19.54,20.46,01a59098o0227o
