MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58941.445766,-17.952,0.243,-239,58,o,0,1.35,198.72267,27.00864,4027.43,867.18,2.06,1.53,3.0,-0.454,17.41,19.46,01a58941o0435o
58941.449257,-18.054,0.467,-218,102,o,0,2.17,198.72267,27.00864,4006.84,828.63,2.30,1.61,-2.4,-0.446,16.86,18.99,01a58941o0442o
58941.469510,-18.984,0.341,-93,32,o,0,1.54,198.72267,27.00864,6491.17,9649.42,1.88,1.41,-67.9,-0.463,18.34,20.59,01a58941o0483o
58943.404645,21.067,1.366,14,19,o,0,1.14,198.72267,27.00864,5829.20,7595.08,2.43,2.04,47.4,-0.437,19.04,19.65,02a58943o0018o
58943.408250,22.420,4.647,4,18,o,0,1.57,198.72267,27.00864,5823.36,7599.14,2.21,2.10,35.6,-0.436,19.07,19.67,02a58943o0025o
58943.428072,-20.745,0.982,-18,18,o,0,0.82,198.72267,27.00864,5767.50,7520.11,2.18,2.00,-57.4,-0.457,19.05,19.59,02a58943o0064o
58943.439312,21.426,1.793,10,18,o,0,1.52,198.72267,27.00864,5750.66,7639.51,2.19,1.91,-54.5,-0.462,19.00,19.59,02a58943o0086o
58948.422675,20.093,0.680,33,23,o,0,1.39,198.72267,27.00864,4848.67,4937.03,2.19,2.12,-62.8,-0.391,18.56,18.83,01a58948o0393o
58948.426980,19.974,0.508,37,19,o,0,1.86,198.72267,27.00864,5699.25,5660.29,2.17,2.09,-89.2,-0.390,18.64,18.95,01a58948o0402o
58948.432676,23.293,12.611,2,22,o,0,1.49,198.72267,27.00864,5642.39,5582.21,2.13,2.10,-66.2,-0.388,18.66,18.96,01a58948o0414o
58948.442778,20.345,0.785,26,21,o,0,1.43,198.72267,27.00864,5628.09,5696.56,2.11,2.07,-46.9,-0.382,18.66,18.97,01a58948o0433o
58951.442623,-19.463,0.311,-60,18,o,0,1.58,198.72267,27.00864,992.36,9266.66,2.34,1.69,-49.1,-0.441,18.71,19.43,02a58951o0365o
58951.445845,-20.568,1.023,-22,22,o,0,0.81,198.72267,27.00864,974.59,9227.88,2.53,1.57,-53.2,-0.523,19.08,19.78,02a58951o0372o
58951.455633,-20.819,1.575,-17,27,o,0,1.28,198.72267,27.00864,1029.96,9303.99,2.03,1.64,-45.9,-0.493,18.68,19.17,02a58951o0391o
58951.466792,-20.339,0.719,-27,19,o,0,1.63,198.72267,27.00864,1054.15,9186.99,2.51,1.62,-51.4,-0.508,19.17,19.95,02a58951o0415o
58953.537996,-18.875,12.125,-102,1240,o,0,0.77,198.72267,27.00864,1526.67,1244.95,2.04,1.93,36.3,-0.427,14.54,14.77,01a58953o0501o
58953.541740,-18.380,3.017,-161,487,o,0,1.12,198.72267,27.00864,1547.35,1284.02,2.10,2.03,26.6,-0.410,15.07,15.37,01a58953o0508o
58953.554775,15.863,1.745,1639,2860,o,0,0.82,198.72267,27.00864,1493.92,1206.38,2.20,2.12,25.6,-0.415,14.32,14.63,01a58953o0534o
58953.562797,-14.835,0.359,-4228,1519,o,0,1.95,198.72267,27.00864,1474.51,1321.74,2.02,1.92,15.7,-0.409,14.97,15.41,01a58953o0550o
58957.420406,20.379,0.488,26,12,o,0,1.64,198.72267,27.00864,1502.73,1247.11,1.89,1.78,4.9,-0.437,19.53,20.65,01a58957o0394o
58957.423341,22.977,5.167,2,12,o,0,1.88,198.72267,27.00864,1523.91,1287.09,1.94,1.81,1.1,-0.430,19.42,20.59,01a58957o0400o
58957.433498,20.230,0.472,29,14,o,0,1.05,198.72267,27.00864,1468.09,1207.02,1.90,1.75,1.5,-0.436,19.54,20.67,01a58957o0420o
58957.442986,20.968,0.795,15,12,o,0,1.94,198.72267,27.00864,1452.48,1323.00,1.97,1.85,1.0,-0.433,19.53,20.80,01a58957o0438o
58959.399789,-25.306,34.000,0,9,c,0,1.68,198.72267,27.00864,7075.76,9418.16,2.56,2.45,40.9,-0.406,19.74,21.51,02a58959o0351c
58959.407260,21.479,1.000,9,9,c,0,2.64,198.72267,27.00864,7056.95,9379.61,2.66,2.54,53.0,-0.402,19.70,21.50,02a58959o0366c
58959.410246,-21.599,1.186,-8,10,c,0,1.34,198.72267,27.00864,7115.94,9461.86,2.60,2.49,44.0,-0.402,19.74,21.50,02a58959o0372c
58959.421220,-20.955,0.639,-15,10,c,0,1.65,198.72267,27.00864,7133.76,9341.27,2.64,2.47,43.9,-0.395,19.71,21.48,02a58959o0394c
58961.411747,21.444,1.167,10,11,o,0,1.36,198.72267,27.00864,9949.30,7768.27,2.18,1.97,18.6,-0.395,19.64,20.91,01a58961o0383o
58961.422459,20.418,0.426,25,10,o,0,2.36,198.72267,27.00864,9971.95,7805.99,2.25,2.08,16.8,-0.394,19.62,20.92,01a58961o0405o
58961.426462,21.405,1.227,10,12,o,0,1.70,198.72267,27.00864,9913.51,7729.12,2.27,2.08,14.4,-0.389,19.62,20.94,01a58961o0413o
58961.437310,20.375,0.420,26,11,o,0,2.11,198.72267,27.00864,9897.76,7846.17,2.60,2.32,15.0,-0.374,19.44,20.99,01a58961o0435o
58963.434459,18.279,1.237,177,219,c,0,0.76,198.72267,27.00864,6786.38,4856.91,2.60,2.39,44.7,-0.404,16.49,17.99,02a58963o0448c
58963.440728,-18.667,0.689,-124,85,c,0,0.83,198.72267,27.00864,6764.88,4815.31,2.60,2.39,41.9,-0.406,17.36,18.89,02a58963o0461c
58963.444008,19.316,2.067,68,141,c,0,1.87,198.72267,27.00864,6822.48,4892.44,2.70,2.42,37.2,-0.403,16.51,18.01,02a58963o0468c
58965.410619,19.697,0.239,48,12,o,0,1.71,198.72267,27.00864,9952.52,7769.02,2.34,2.23,19.4,-0.389,19.48,20.77,01a58965o0359o
58965.413413,20.074,0.307,34,10,o,0,2.06,198.72267,27.00864,9973.55,7805.58,2.59,2.34,21.2,-0.381,19.37,20.73,01a58965o0365o
58965.443238,21.235,1.093,12,13,o,0,1.83,198.72267,27.00864,9920.89,7727.79,2.54,2.44,32.1,-0.387,19.31,20.75,01a58965o0424o
58965.455066,20.388,0.492,25,12,o,0,2.28,198.72267,27.00864,9904.03,7846.44,2.47,2.38,45.0,-0.386,19.47,20.89,01a58965o0447o
58967.395538,20.311,0.277,27,8,c,0,1.76,198.72267,27.00864,6785.93,4857.05,2.62,2.39,43.6,-0.393,19.77,21.73,02a58967o0351c
