MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59297.430911,20.031,0.493,35,17,o,0,0.95,185.46033,4.48168,8874.54,3727.82,2.50,2.28,-74.3,-0.438,19.24,19.92,01a59297o0311o
59304.388432,19.237,0.275,73,20,o,0,1.35,185.46033,4.48168,415.50,1780.65,2.00,1.77,70.9,-0.459,19.11,19.38,01a59304o0354o
59304.391704,19.532,0.387,56,22,o,0,1.08,185.46033,4.48168,393.22,1740.70,2.00,1.73,71.1,-0.460,19.09,19.38,01a59304o0361o
59304.394470,20.252,1.161,29,33,o,0,0.89,185.46033,4.48168,452.51,1818.75,1.99,1.73,71.9,-0.471,18.65,18.73,01a59304o0367o
59304.400465,20.262,0.916,28,26,o,0,1.69,185.46033,4.48168,471.66,1703.43,2.02,1.73,71.9,-0.469,18.80,18.93,01a59304o0380o
59306.393328,19.954,0.311,38,12,o,0,1.49,185.46033,4.48168,1038.77,2161.23,2.00,1.96,-37.6,-0.463,19.49,20.47,02a59306o0378o
59306.395157,20.422,0.667,25,16,o,0,0.71,185.46033,4.48168,1059.46,2200.87,2.03,1.94,-46.9,-0.459,19.49,20.46,02a59306o0382o
59306.397902,20.691,0.770,19,15,o,0,1.06,185.46033,4.48168,1001.10,2123.82,2.14,1.99,-52.4,-0.446,19.46,20.43,02a59306o0388o
59306.403390,19.485,0.276,58,16,o,0,0.86,185.46033,4.48168,981.90,2238.90,2.03,1.91,-46.2,-0.462,19.46,20.37,02a59306o0400o
59308.425359,20.667,0.459,20,9,c,0,1.57,185.46033,4.48168,10151.26,8773.47,2.59,2.38,69.7,-0.351,19.93,21.61,01a59308o0239c
59308.428638,20.114,0.333,33,11,c,0,1.09,185.46033,4.48168,10171.55,8812.01,2.51,2.26,70.4,-0.356,19.97,21.60,01a59308o0246c
59308.434883,20.779,0.455,18,8,c,0,1.67,185.46033,4.48168,10111.57,8732.03,2.50,2.26,70.9,-0.363,19.95,21.60,01a59308o0259c
59308.468162,20.690,0.512,19,10,c,0,1.26,185.46033,4.48168,10096.15,8846.15,2.68,2.33,76.2,-0.352,19.84,21.55,01a59308o0328c
59312.435210,20.041,0.288,35,10,c,0,1.09,185.46033,4.48168,5369.29,4442.11,2.22,2.11,-79.6,-0.377,20.01,21.75,01a59312o0469c
59312.441283,20.918,0.521,16,8,c,0,1.40,185.46033,4.48168,5390.76,4478.83,2.35,2.22,-87.7,-0.366,19.96,21.74,01a59312o0482c
59312.445469,20.889,0.456,16,7,c,0,1.59,185.46033,4.48168,5332.65,4400.07,2.28,2.16,-85.7,-0.367,19.97,21.75,01a59312o0491c
