# ZTF DR2 lightcurve of ZTF20abapyxl
# --------------- #
# mjd_max_init:   58995.43690 (phot: fclump)
# baseline_range: 58895.43690 => 59421.28618
# baseline_corr (applied): 
# field rcid filter  flux_offset err_scale n_obs
#  586   03   ztfg     -247.17     1.00      98
#  586   03   ztfr     -519.93     1.08     257
#  586   03   ztfi    -1126.04     1.00      48
#  1582  38   ztfg        0.00     1.00       0
#  1582  38   ztfr     -779.57     1.35       2
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  mag_lim  field_id  rcid  flux_offset  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  chi2dof  filename  
 58246.27638        ztfi  2113.90647  2065.37859    30.00000           0    99.00000    99.00000    19.96508         586           3 -1126.04243     1.00000           1  1621.35212  1067.28012    25.27248     0.00000     0.02319     1.00341 ztf_20180508276366_000586_zi_c01_o_q4_sciimg.fits
 58246.43279        ztfr  1734.15172  1534.42216    30.00000          40    99.00000    99.00000    20.28771         586           3  -519.93452     1.07853           0  1638.93278  1099.47463    26.05379     0.00001     0.02856     1.00158 ztf_20180508432766_000586_zr_c01_o_q4_sciimg.fits
 58246.43324        ztfr  2078.77148  1502.76424    30.00000          40    99.00000    99.00000    20.31035         586           3  -519.93452     1.07853           0  1639.73913  1099.44467    26.04784     0.00001     0.02766     1.00139 ztf_20180508433241_000586_zr_c01_o_q4_sciimg.fits
 58247.35994        ztfg   133.08703   580.14892    30.00000           0    99.00000    99.00000    21.34373         586           3  -247.17384     1.00000           1  1625.56924  1149.63569    26.06813     0.00000     0.01937     1.00161 ztf_20180509359896_000586_zg_c01_o_q4_sciimg.fits
 58247.41694        ztfr   306.49729  1143.47160    30.00000          32    99.00000    99.00000    20.60701         586           3  -519.93452     1.07853           1  1639.14680  1155.83304    26.04458     0.00000     0.02158     1.00133 ztf_20180509416933_000586_zr_c01_o_q4_sciimg.fits
 58252.39775        ztfr  1405.64130   783.31878    30.00000           0    99.00000    99.00000    21.01773         586           3  -519.93452     1.07853           1  1634.30323  1190.34749    26.00449     0.00000     0.01646     1.00151 ztf_20180514397743_000586_zr_c01_o_q4_sciimg.fits
 58252.42115        ztfg -1067.87189   526.80042    30.00000           0    99.00000    99.00000    21.44846         586           3  -247.17384     1.00000           1  1641.15457  1192.83424    26.08996     0.00000     0.01788     1.00198 ztf_20180514421134_000586_zg_c01_o_q4_sciimg.fits
 58255.37721        ztfg   335.26547   764.37437    30.00000          32    99.00000    99.00000    21.04431         586           3  -247.17384     1.00000           1  1631.71092  1232.53494    26.07042     0.00000     0.02039     1.00143 ztf_20180517377199_000586_zg_c01_o_q4_sciimg.fits
 58256.29059        ztfr  1710.92150   934.91862    30.00000           0    99.00000    99.00000    20.82564         586           3  -519.93452     1.07853           1  1623.16472  1216.22085    25.96410     0.00000     0.01847     1.00140 ztf_20180518290579_000586_zr_c01_o_q4_sciimg.fits
 58258.33676        ztfg  -121.09535   717.65003    30.00000          32    99.00000    99.00000    21.11279         586           3  -247.17384     1.00000           1  1626.91397  1223.08688    26.00930     0.00000     0.02324     1.00161 ztf_20180520336748_000586_zg_c01_o_q4_sciimg.fits
 58261.27605        ztfi  3760.04760  2186.04882    30.00000         160    99.00000    99.00000    19.90343         586           3 -1126.04243     1.00000           0  1623.36501  1249.36359    25.23764     0.00000     0.02206     1.00142 ztf_20180523275972_000586_zi_c01_o_q4_sciimg.fits
 58261.42226        ztfg  1035.61736   958.27439    30.00000         168    99.00000    99.00000    20.79885         586           3  -247.17384     1.00000           0  1639.92867  1218.56661    26.07711     0.00001     0.03460     1.00180 ztf_20180523422245_000586_zg_c01_o_q4_sciimg.fits
 58266.31407        ztfr -3200.40513  2453.90068    30.00000         128    99.00000    99.00000    19.77793         586           3  -519.93452     1.07853           0  1629.77089  1269.88742    25.97571     0.00000     0.02172     1.00115 ztf_20180528314028_000586_zr_c01_o_q4_sciimg.fits
 58267.27056        ztfi   463.47559  4542.34080    30.00000         144    99.00000    99.00000    19.10938         586           3 -1126.04243     1.00000           1  1623.33707  1255.30221    25.19559     0.00000     0.03401     1.00129 ztf_20180529270544_000586_zi_c01_o_q4_sciimg.fits
 58269.29457        ztfg   414.44347  2763.50000    30.00000          32    99.00000    99.00000    19.64893         586           3  -247.17384     1.00000           1  1627.61521  1281.38162    26.07118     0.00001     0.03835     1.00127 ztf_20180531294537_000586_zg_c01_o_q4_sciimg.fits
 58269.35698        ztfr  4552.97039  4868.93608    30.00000          16    99.00000    99.00000    19.03399         586           3  -519.93452     1.07853           0  1639.64529  1291.60871    25.63188     0.00001     0.03560     1.00098 ztf_20180531356979_000586_zr_c01_o_q4_sciimg.fits
 58272.35612        ztfi  3573.80152  1941.47422    30.00000          32    99.00000    99.00000    20.03225         586           3 -1126.04243     1.00000           0  1640.23591  1326.85855    25.30432     0.00000     0.02710     1.00152 ztf_20180603356111_000586_zi_c01_o_q4_sciimg.fits
 58272.37839        ztfg  -575.37871  1068.26015    30.00000           0    99.00000    99.00000    20.68088         586           3  -247.17384     1.00000           1  1642.49564  1328.29234    26.05356     0.00000     0.02366     1.00136 ztf_20180603378380_000586_zg_c01_o_q4_sciimg.fits
 58275.33726        ztfr   -55.59021  1034.57251    30.00000          32    99.00000    99.00000    20.71567         586           3  -519.93452     1.07853           1  1636.73194  1367.52122    26.02417     0.00001     0.02347     1.00149 ztf_20180606337245_000586_zr_c01_o_q4_sciimg.fits
 58278.29368        ztfr -1572.99227   800.78896    30.00000           0    99.00000    99.00000    20.99378         586           3  -519.93452     1.07853           1  1631.28611  1149.39275    25.99764     0.00000     0.01696     1.00305 ztf_20180609293634_000586_zr_c01_o_q4_sciimg.fits
 58278.35649        ztfg   -89.66254   533.65743    30.00000           0    99.00000    99.00000    21.43442         586           3  -247.17384     1.00000           1  1644.85570  1153.97797    26.08328     0.00000     0.01783     1.00158 ztf_20180609356470_000586_zg_c01_o_q4_sciimg.fits
 58280.38685        ztfi -2344.79550  1621.06861    30.00000          36    99.00000    99.00000    20.22807         586           3 -1126.04243     1.00000           0  1646.05715  1182.36805    25.31338     0.00003     0.06166     1.00131 ztf_20180611386794_000586_zi_c01_o_q4_sciimg.fits
