mjd,f,ef,band
58901.52,-6.0,7.42,o
58903.64,5.75,4.12,c
58905.62,-11.0,6.01,o
58911.54,0.0,6.72,c
58913.51,-10.5,7.78,o
58921.6,26.0,109.6,o
58925.55,-21.0,5.5,o
58931.59,-12.0,8.0,c
58933.57,-9.75,5.12,o
58937.49,-2.33,5.58,o
58943.42,2.5,9.12,o
58948.43,24.5,10.62,o
58951.45,-31.5,10.75,o
58953.54,-102.0,1240.0,o
58957.43,18.0,6.25,o
58959.41,-3.5,4.75,c
58961.42,17.75,5.5,o
58965.43,29.75,5.88,o
58967.41,3.0,4.43,c
58968.4,-17.75,5.0,o
58969.4,18.25,5.0,o
58971.39,4.0,7.89,o
58975.39,58.5,12.25,o
58977.44,191.5,8.5,o
58979.43,490.5,8.75,o
58981.39,911.25,7.0,o
58983.35,1414.67,8.28,c
58985.4,1800.0,8.5,o
58987.43,1911.57,6.86,c
58989.33,2198.75,8.5,o
58993.39,2212.5,9.25,o
58995.4,2520.67,10.39,c
58997.34,1969.75,9.25,o
58999.32,1763.5,9.5,o
59001.38,1477.25,10.25,o
59003.39,1327.25,11.62,o
59005.32,1172.75,9.88,o
59007.32,1201.5,9.62,o
59009.35,1176.75,14.38,o
59013.34,1157.0,7.12,o
59017.33,1059.0,7.5,o
59019.32,527.0,37.48,c
59021.29,841.25,7.0,o
59023.28,456.75,6.0,c
59025.29,636.25,6.38,o
59027.3,556.67,7.89,o
59029.31,540.0,16.17,o
59031.28,496.75,8.75,o
59033.33,445.5,8.62,o
59035.32,432.0,12.38,o
59037.26,375.75,5.38,o
59039.27,347.0,9.0,o
59041.3,344.67,6.74,o
59043.33,219.67,8.08,c
59045.31,242.5,132.23,o
59047.31,197.5,8.84,c
59051.29,202.0,5.5,c
59057.29,197.0,7.38,o
59059.29,194.5,10.38,o
59065.27,130.33,14.24,o
59073.26,144.33,6.93,o
59077.25,126.67,7.7,o
59089.24,118.67,15.4,o
58211.34478,-13.7691972544023,14.303667140006151,ztfg
58211.34582,-16.990931124667068,14.768652345645684,ztfg
58214.23682,2.4738185655178024,17.38268562881999,ztfr
58214.24479,12.63340294065903,16.54153224268612,ztfr
58214.26736,-6.593813642995115,18.5372233751393,ztfg
58214.26831,-20.732979592722167,29.11989792379721,ztfg
58214.38564,85.99351902510442,196.375288785737,ztfi
58216.24058,6.072106459325709,4.872741716667878,ztfr
58217.27792,-9.877477373983961,4.250538230834267,ztfr
58217.28396,-29.524654834016346,8.173973233491413,ztfr
58217.31644,1.2423666908462478,3.459362466323891,ztfr
58217.31913,1.612914786130799,4.214766982106595,ztfr
58218.25642,3.875017055433529,3.888868446915203,ztfr
58218.2781,1.8203530062421265,4.179867810558677,ztfr
58218.30473,7.161034439912422,3.8021762997777464,ztfr
58219.30297,-8.212119521006557,12.837437848623969,ztfr
58219.31352,13.183568581647178,14.079983319104384,ztfr
58221.2588,14.991446044388377,13.3740905594931,ztfr
58221.25971,23.91560657986228,9.095204936917046,ztfr
58221.28633,27.934679028923476,9.48502067687311,ztfr
58222.26134,-5.118722378759909,5.491215737338502,ztfr
58222.27978,11.967538411044178,6.073238899778537,ztfr
58224.23598,11.189142848830487,4.560537832161915,ztfr
58224.26056,15.454507226800066,7.056855219191851,ztfr
58224.26713,17.252745112418342,5.965238355147121,ztfr
58224.34127,3.004376394004923,28.534722590301275,ztfr
58224.34222,15.90310501336097,28.138601092228996,ztfr
58226.24175,6.809090972463567,3.776152062969406,ztfr
58227.27272,8.313318851208212,9.320768521831772,ztfr
58227.27363,18.42683435783238,9.15860330314145,ztfr
58227.29553,-4.67964282863603,3.6107367510718085,ztfg
58227.29653,8.048386059274264,4.344005378165928,ztfg
58229.29141,-1.6354956995911158,3.654749000255429,ztfg
58230.23385,69.37525274078122,30.79623674577089,ztfr
58230.33414,-3.2485017998526895,3.10435298624153,ztfg
58230.33506,-0.7994687577437682,3.313925633313435,ztfg
58231.27345,22.73200697680501,5.226152818229725,ztfr
58231.31336,11.612522831250494,5.454626764215877,ztfr
58232.16976,-26.501529706495784,13.64561398058504,ztfg
58232.23054,-5.8359912452144735,24.25822834502516,ztfr
58232.31897,16.442968713930874,8.104270416231786,ztfi
58233.19286,-4.457560290879217,5.022024272434459,ztfr
58233.20559,5.173945788426526,5.506800790223897,ztfr
58233.24338,6.974244940777341,5.397968179614366,ztfg
58234.19008,-10.592136144918394,19.280521815649603,ztfg
58234.25118,7.255938396030225,15.296127968218057,ztfg
58235.23655,-14.349194114526469,10.006406391232824,ztfg
58235.23792,-1.4660455012708582,10.932054067807403,ztfg
58235.23838,-7.719548225690481,9.830719710089195,ztfg
58235.24295,-5.437752893159464,6.148734845248852,ztfg
58235.24341,-0.03500145063594721,5.921504078522233,ztfg
58236.23119,6.5221230823090375,14.962017333583873,ztfg
58236.23259,-14.500895750448567,15.064210335805823,ztfg
58236.32499,22.033871670296328,17.28294253208041,ztfg
58237.17053,-1.321022141549174,13.691765558282976,ztfg
58238.19078,-20.473746617938833,19.476355915899255,ztfg
58242.22417,-5.773929006231623,2.6170567067519874,ztfg
58242.22508,-2.0949928715093806,2.4867970447401984,ztfg
58242.25285,-4.115201612074821,3.6717193048431893,ztfr
58242.25383,2.4892901565110823,3.6175427944396956,ztfr
58243.17083,1.6061205791074973,4.336472270993363,ztfr
58243.2284,-8.898345177470473,2.5609434290809343,ztfg
58243.34005,-7.916242603083107,8.175422786317277,ztfi
58244.17139,-2.0327230244948127,3.8880199698090103,ztfr
58244.22642,-10.747830550208798,2.6234957508221135,ztfg
58245.19146,-31.401763947625497,12.881702545979072,ztfr
58245.20797,-17.4229318145727,17.07889233852936,ztfr
58245.29139,-65.13480935064275,17.220243308958267,ztfg
58246.23212,39.845111761049495,6.0794777789170675,ztfr
58246.29612,1.6807208110166962,3.4556936715038558,ztfg
58247.15475,-27.21780355754125,9.257711267439825,ztfi
58247.23289,-6.8360127745311035,4.377188570211391,ztfr
58247.29823,-2.5716102266364143,2.642919083363511,ztfg
58248.18858,-2.1527065972458606,2.659666022331977,ztfg
58248.2536,10.91781149602952,4.6280072110754285,ztfr
58248.25454,17.796338604921484,4.435985103630613,ztfr
58249.19167,-1.5211394009953387,4.193491406868788,ztfg
58249.23347,24.279552354875474,11.486646065976863,ztfr
58250.20875,8.596873190415211,6.599665553542872,ztfg
58250.23421,25.614594138276903,12.792885411910461,ztfr
58254.15594,0.0,10.031214207634266,ztfi
58255.2334,-0.6146956488936589,3.710910966693627,ztfr
58255.23439,-4.076571051050225,4.002372528700824,ztfr
58256.24339,13.99329865137486,4.174956707866441,ztfr
58257.27647,8.062393283857046,4.166182345748033,ztfr
58258.20962,2.535849107786471,3.5923319977052626,ztfr
58258.21052,13.622297579909175,3.854261952587234,ztfr
58258.27766,6.420357132495108,3.539470156630287,ztfg
58259.25384,2.6204729081693197,45.04691108244771,ztfr
58260.18874,22.724678464116305,5.512750877077664,ztfr
58261.29132,23.560751335337585,13.064874988916921,ztfi
58262.22825,7.484158695687316,6.461659948002811,ztfg
58263.27016,6.030302341947784,6.035825921010612,ztfg
58266.21451,10.093933545280642,11.719301472996387,ztfi
58266.27124,5.921989622804877,7.252929858652789,ztfr
58267.29676,13.196387342833278,8.063708715649478,ztfr
58269.18889,22.44254622903423,5.822481473874533,ztfr
58269.1898,21.0546921284045,6.584775468362112,ztfr
58269.25265,12.181634865447295,9.381515692100248,ztfg
58269.2541,10.86802619685164,8.851945109151853,ztfg
58270.16858,-2.978231978360454,4.428712650193567,ztfr
