mjd,f,ef,band
58218.431863400154,-8.030613102239782,5.913146068591669,ztfr
58219.38327550003,1.9897403711415524,5.73995189870491,ztfr
58219.40748840012,10.066928044700157,7.581085532120708,ztfr
58219.42768519977,4.507680027655834,8.827523805824754,ztfr
58219.44896990014,11.42382038725317,8.414020906564225,ztfr
58219.4499189998,-8.4092398879852,8.272041929183503,ztfr
58219.464548599906,2.209611408404181,9.81193507695701,ztfr
58219.49157410022,-7.978004149556109,11.014377779233845,ztfr
58219.5166782001,-6.866268856069859,9.945394576888495,ztfr
58222.38306709984,-1.7156849310366997,5.224423990502924,ztfr
58222.40709490003,-2.742778696198011,6.72928299906861,ztfr
58222.42793980008,-2.0587653429138117,6.035502241400491,ztfr
58222.428888900205,-0.6576766723478942,5.970893480962767,ztfr
58222.447384300176,8.50068318000539,6.285859445956259,ztfr
58222.48501159996,-10.065306666236134,6.749023780942475,ztfr
58222.507638900075,4.476587437303817,7.540060189640877,ztfr
58224.4079167,383.7442861808111,300.0402756325997,ztfr
58224.43112270022,-1.4213500897767137,7.830054303233896,ztfr
58226.413935199846,-3.6316604458893122,5.815352428514608,ztfr
58226.422627300024,-3.6352614602128455,5.939190643142407,ztfr
58226.44260419998,3.419812392696735,5.5591722123536345,ztfr
58226.49822920002,4.244748884309073,6.153601444705444,ztfr
58226.49916670006,0.2514321867104638,6.229465798899742,ztfr
58226.509398099966,-10.655875237411667,8.647483561705416,ztfr
58227.33733800007,-3.787545638461112,5.3484826204959575,ztfg
58227.3595718001,0.5213960082496956,4.7362660880988505,ztfg
58227.3943403,-5.04461203162521,11.26431466597271,ztfi
58227.39984950004,6.571441497946156,10.066802807468981,ztfr
58228.46277779993,-0.2783638098781086,5.120847871941841,ztfg
58228.49815970007,0.17797925043642704,5.345425189288057,ztfg
58229.40109949978,-3.099724696238406,5.765890920125359,ztfr
58229.4229629999,-6.265560283117388,5.404832852723869,ztfr
58229.42390049994,0.4037567148394285,4.731953013989862,ztfr
58229.44342589984,15.125744383927138,4.873156934723021,ztfr
58229.46734949993,2.3204558075997324,3.839280091598586,ztfg
58229.48400459997,-5.897926735857954,3.755602033214877,ztfg
58229.4849537001,-3.5482094065499172,3.723669900659529,ztfg
58230.37930560019,-12.819014877162388,9.063469918361374,ztfg
58230.402349499986,4.387453587541948,3.0227245372620057,ztfg
58230.42357640015,-2.047675233132923,5.5954614892496295,ztfr
58230.461087999865,27.84859795491409,14.89444930998016,ztfr
58230.4838657002,-1.7154527295119868,3.3153097278022448,ztfg
58231.294733799994,4.083137612618607,6.137717230853545,ztfr
58231.3353587999,5.0866232762086865,7.297249460992271,ztfr
58231.380312500056,7.247763865555503,3.618032673644305,ztfg
58231.39978010021,4.520885788342348,3.5125898159295956,ztfg
58231.42163190013,-0.3704776550169374,3.942071634105177,ztfg
58231.476736099925,-3.6700299297751267,3.407246546365639,ztfg
58231.49873840017,1.3456661515573083,5.050285823179052,ztfg
58232.35189810023,2.0344068660613344,10.249910765468384,ztfi
58232.383043999784,0.1191304966797039,11.92132435130409,ztfr
58232.40291670011,-19.712473216885943,12.032972562037722,ztfr
58232.43247690005,40.045506555866794,25.742158934131965,ztfr
58232.43379630009,-45.33855270129089,38.47929390463158,ztfr
58232.4403241002,-5.194263357678189,5.352367219845147,ztfg
58232.46432870021,0.20780174470520596,3.783305614370797,ztfg
58232.46527779987,-7.427996097759908,4.513620778821978,ztfg
58234.33767359983,-12.676040570341826,14.055063832169045,ztfg
58234.35887729982,-9.479347709291549,11.471518361122406,ztfg
58234.47829859983,-4.494556441572036,5.987219955102916,ztfg
58234.498472199775,0.8815409927335427,5.941258512232972,ztfg
58235.35891199997,-1.6834483719712416,8.6634245060911,ztfg
58235.38247689977,-13.463096843352293,8.790024046547307,ztfg
58235.40252309991,-13.023362444524762,10.029531335072821,ztfg
58235.40346059995,12.48172398402805,9.720279751727809,ztfg
58235.44335650001,-5.733552199522697,8.931119116730759,ztfg
58235.475844900124,4.933177562532552,8.9763052649928,ztfg
58235.48409719998,1.0902825596335393,8.005123043162468,ztfg
58235.48503470002,3.7157895510571426,7.6225471555695,ztfg
58236.306898099836,0.15561365271156832,12.404423998498366,ztfg
58236.35831019981,40.69109856366197,12.901507934654036,ztfg
58236.40180560015,4.295793926849062,11.735346334082992,ztfg
58236.44069440011,-4.236264977672093,11.046079846880593,ztfg
58236.463981499895,-10.531558658975909,12.31762247665837,ztfg
58236.484375,6.663761233384627,10.910202363408187,ztfg
58237.32084489986,-15.719695192163144,16.874540401649682,ztfg
58237.35100689996,-0.8399640529625081,14.858897163907658,ztfg
58237.35861109989,-5.470998798154251,18.811078320727805,ztfg
58237.37917819992,5.511294990723644,13.528952897849786,ztfg
58237.4613541998,5.988715971489716,13.151503749466164,ztfg
58237.49859949993,2.048866952353295,13.164710661780981,ztfg
58244.27569440007,-8.569361550008036,7.874591983507031,ztfg
58244.36099540023,-1.5514847545182362,13.250213894006551,ztfr
58244.369606500026,2.7061362036222896,9.05859363535468,ztfr
58244.40995369991,-29.818680136817598,44.18285514000811,ztfi
58244.422592599876,5.879704660108006,4.955355502553309,ztfg
58244.4235417,5.299790776860356,5.22707752459651,ztfg
58244.43989579985,0.7527563850146607,4.700325289626403,ztfg
58244.463159699924,-3.3378639707464814,10.687776068303691,ztfr
58245.31837960007,-10.428260639743332,51.34510274548532,ztfg
58245.37380790012,10.16700372801571,44.898718564152475,ztfr
58245.477881900035,-10.558978731822796,12.10621530321203,ztfg
58245.48708330002,-6.84836236947804,9.41008038625973,ztfg
58245.48753469996,-2.6120181084503584,8.778176221934842,ztfg
58246.339560199995,-7.3823834640236905,4.443948211173256,ztfg
58246.362222199794,4.696646761048215,4.424320723490605,ztfg
58246.3837731001,17.579798566849384,9.962808616669525,ztfr
58246.420578700025,9.114774727123361,10.07810535840733,ztfr
58247.3388772998,-4.900115255707659,3.4337139422385405,ztfg
58247.364166699816,5.4403199412154395,3.288182061302999,ztfg
58247.36509260023,-7.486240147783481,3.0416859556026226,ztfg
58247.38267360022,-1.3307038486595284,3.081123553209003,ztfg
58247.41950230021,-5.540107626756934,6.842793655656876,ztfr
58247.44223379996,-2.620146298258045,7.7774064722068434,ztfr
58248.352245400194,-4.909370092104144,3.913402446023858,ztfg
58248.37358799996,-1.996436933718077,3.9720623451474935,ztfg
58249.31663190015,64.74946613696909,19.969672585060252,ztfi
58249.35149310017,2.6205840533868363,7.938196914731294,ztfg
58249.39321759995,9.963278561325131,7.934283462240819,ztfg
58252.38048609998,14.60362467618006,5.578242720474393,ztfr
58252.399155099876,8.93339870406142,5.401380180826307,ztfr
58252.42586810002,-3.991913499748858,2.8080055388357756,ztfg
58252.45355319977,-2.9331015496514845,2.807984303495116,ztfg
58252.454490699805,2.7588470267975307,3.2083292925054754,ztfg
58252.4775231001,2.5872479849467966,3.6461339918073956,ztfg
58254.40442130016,-2.633394680463534,3.383920813045791,ztfg
58254.42281250004,0.47273656435506833,3.1868943362783817,ztfg
58254.45686340006,0.6153349788299811,3.3442863789989077,ztfg
58255.29689810006,-8.614548448049907,5.68783933058691,ztfr
58255.36035879981,-3.2974708531622055,3.123754623138616,ztfg
58255.37908559991,-1.8154736743093074,3.3426601785491097,ztfg
58255.41634259978,5.780370404824484,4.235461722801157,ztfg
58255.45800929982,3.6527398128571535,3.989311328003261,ztfr
58256.289212999865,-9.924961883829997,4.892224480288058,ztfr
58256.44273150014,-8.02992797910955,4.479636971125237,ztfr
58256.47741900012,-3.007169488036346,4.757572834411207,ztfr
58257.31797449989,2.4615992870464405,5.510101096832542,ztfr
58258.31722219987,1.4068193595484075,3.543824786118965,ztfg
58258.33861109987,-4.066940964140872,4.020793278486158,ztfg
58258.339548599906,-5.683904640460647,4.323482067461058,ztfg
58258.36150459992,-2.740469730220094,3.9658176285910156,ztfg
58258.39177080011,-2.2487972946675137,9.910306858980025,ztfr
