mjd,f,ef,band
58886.46068290016,5.141890218792434,25.081927515559123,ztfg
58886.53723380016,-3.499196040063002,20.923461003269797,ztfr
58886.538263900205,4.839833351950931,19.808108347385858,ztfr
58887.48415509984,10.353343344525578,23.04462292941105,ztfr
58888.29516200023,-20.540635541665555,64.90811236904813,ztfg
58888.4618286998,-14.632591717382303,46.16071970755333,ztfr
58894.373981500044,-9.513863745959382,16.80417153906903,ztfg
58894.46226850012,-2.890696516988137,15.371287109697926,ztfr
58894.46416669991,-2.9477296847852683,15.714928961313099,ztfr
58895.38271989999,-6.50319614541799,12.966527085489517,ztfg
58895.435023100115,-12.264228990133718,14.380597211154676,ztfr
58898.358055599965,-1.122038128247302,12.26597211253892,ztfr
58898.396620399784,-3.4416666776371154,10.615084937016057,ztfg
58898.39751160005,-5.111292772746617,10.250482842261533,ztfg
58899.39693289995,-0.5366500331811402,12.282543601561239,ztfg
58899.44010420004,0.8920624181039811,14.627352102125691,ztfr
58900.357164400164,-0.9970650347679458,12.209539824802617,ztfg
58901.38152780011,-4.44713718793099,14.620433332262749,ztfr
58901.382418999914,-4.0111583693376796,16.570248805627344,ztfr
58904.473286999855,1.394506393919981,19.005512470237843,ztfr
58904.47418980021,-6.601803981137727,18.87303711421673,ztfr
58905.29408559995,0.8365261345063305,19.804056681020267,ztfg
58906.35317130014,-4.903309318001177,14.678838079193758,ztfg
58906.441365700215,0.24800308357842882,16.71186396063791,ztfr
58908.33642360009,-0.8828579967767579,13.176213230921885,ztfg
58908.337314799894,-1.2349586886704425,14.522007828912987,ztfg
58908.451481500175,0.4258238726356407,13.157551550865081,ztfr
58908.45283559989,-0.16316343670765932,13.828195984027344,ztfr
58909.27603009995,1.0128894767724288,30.76349869322096,ztfg
58911.39759259997,-3.9338254623240205,16.981950758799982,ztfg
58911.39849539986,-3.6226289199517727,16.217406560626934,ztfg
58911.4499884001,-0.5886089624304881,20.617715764656065,ztfr
58911.45089119999,-1.109621828068343,21.98700213949622,ztfr
58912.27390050003,-4.073236771855003,22.722613533669154,ztfg
58913.332245400175,0.626493732761482,18.212830959737683,ztfg
58913.443935200106,3.072611066172151,18.698604918769792,ztfr
58914.37690970022,2.038864115175274,22.44477279518542,ztfr
58914.37925929995,-3.7634293805729198,20.677445974297267,ztfr
58914.422002300154,-8.212261108896868,25.036797129749413,ztfg
58914.422905100044,0.07312223600064173,22.521428768486775,ztfg
58915.40184029983,-16.180199677318353,32.25883140575373,ztfr
58915.442592599895,1.8653974745272044,36.78963808028504,ztfg
58936.3129166998,-5.350493147840419,10.97052403956787,ztfg
58936.39976850012,-7.125340867526244,15.974626630349647,ztfr
58936.40067130001,-5.101762893037412,15.05868166966828,ztfr
58939.31342589995,-11.519537943254987,26.260246172429937,ztfg
58939.37199069979,6.317588130953499,37.33097591351945,ztfr
58939.37288190005,-7.028021213807856,37.908137107477344,ztfr
58940.235682900064,1.647520873500937,114.17358158883202,ztfr
58940.236585599836,40.571913742736214,168.89759019829606,ztfr
58940.358009300195,11.302146120193203,169.33501985139242,ztfg
58940.35891199997,1.5977025697772178,157.36559114130142,ztfg
58941.267222200055,2.1842630411283075,19.404731493681904,ztfg
58941.37366899988,6.951067347025037,16.95306378759763,ztfr
58944.24766199989,-6.291436431799701,43.069670042458945,ztfg
58944.34056709986,6.503022336220537,33.664189956903,ztfr
58954.255347200204,-1.6359492049941848,12.541328765976319,ztfr
58955.25254630018,2.6629343362827216,14.042970227830438,ztfr
58955.26865739981,-9.102976835208068,14.551964683600914,ztfr
58955.29603009997,-7.411763094243762,13.589438729668961,ztfg
58955.29925929988,-9.06039382709328,12.237735284995605,ztfg
58956.24640050018,-2.738820250980797,10.018982991799524,ztfg
58956.29827550007,-0.46866750785814876,17.25628315984687,ztfr
58962.230682900175,-5.664134594158557,11.620864406127664,ztfg
58962.23158559995,1.6399321296467917,11.572062236360543,ztfg
58962.27893520007,-3.957945319554798,14.073423999707872,ztfr
58962.27983799996,-4.041241057478537,14.350871325898733,ztfr
58963.22314810008,0.9000163168963762,11.269871906650302,ztfg
58964.18918980006,-3.4351912530074404,11.797918327693997,ztfg
58964.25288189994,-6.348901192696708,13.651566801422462,ztfr
58965.230474499986,-2.1598605196587712,10.627971013196708,ztfg
58965.23138889996,-0.895563735577679,10.8937954175368,ztfg
58965.2875926001,-4.547649610566366,10.931246092793735,ztfr
58965.28849539999,2.0998901264440826,12.058236555383834,ztfr
58966.207870400045,-0.6706352061368567,49.66152982454172,ztfr
58966.25350689981,-4.095126566139519,38.996784175674904,ztfg
58966.31259260001,-62.12196895736932,73.03436694624482,ztfi
58967.16981479991,2.0726421371406625,15.287964144973484,ztfr
58967.24939810019,0.7718061059074439,13.6759652997361,ztfg
58967.25190970022,-1.5206404791469865,13.343544654706761,ztfg
58968.20225689979,-7.648651175855796,13.200561473266728,ztfr
58968.20413189987,-4.873604897124444,13.101124522654198,ztfr
58968.27237269981,0.7623081460750089,13.072020104365281,ztfg
58968.273310199846,-1.7985189544411957,12.899810770876512,ztfg
58969.233124999795,-6.312441666665554,17.38463990299839,ztfg
58969.29668979999,31.543447149284773,108.21386264143307,ztfr
58970.19143520016,-1.3283871851555207,19.96525144536368,ztfr
58971.2105556,2.1139057040332565,21.478533632647483,ztfr
58971.21157409996,8.161119495847903,21.697821228724106,ztfr
58971.274189800024,12.595490515212225,23.08027496210908,ztfg
58971.27512730006,-0.3137277309607604,22.828475424190234,ztfg
58975.20255789999,1457.020478557872,44.6918346119646,ztfr
58975.2501968001,2502.570698349609,53.31743020628938,ztfg
58978.19204859994,5892.811756671421,54.628319593041304,ztfg
58978.19298609998,5996.264069279689,54.759678044085355,ztfg
58978.24788190005,5550.605618254326,52.356848876934066,ztfr
58978.24881940009,5819.170975521177,54.26233495642883,ztfr
58979.25216440018,5937.437811532106,57.324874572426936,ztfg
58980.1895486,5949.65231355302,52.96236328564009,ztfg
58981.19927080022,5916.83309428878,53.81134934257976,ztfg
58981.20021989988,5913.8306731143075,52.82841653321087,ztfg
58981.24912039982,5911.187144477266,53.88461811478842,ztfr
58981.25005789986,6041.1112006640105,53.99293333267753,ztfr
58986.190555599984,5361.872430478116,50.487040176312775,ztfg
58986.192013899796,5383.488871038977,50.52590376948231,ztfg
58986.25555559993,5937.862966228371,53.7959437691155,ztfr
58987.23158559995,5096.3160856028,48.20988952800131,ztfg
58987.297627300024,5714.724959643047,52.05750669939043,ztfr
58991.17012730008,5077.829085619327,49.30560230978853,ztfg
58991.227661999874,6013.2426715359925,54.091673959435134,ztfr
58992.19228010019,4748.368516018981,48.126104347883484,ztfg
58992.19321760023,4732.93346457363,47.58453992542693,ztfg
58992.233344899956,5878.526088034831,53.169975777148615,ztfr
58992.234270799905,5932.137475336381,53.83465685039329,ztfr
58993.249004600104,4584.749489541387,49.10960188258576,ztfg
58994.2215741002,4598.838180584715,47.613407263303266,ztfg
58995.20054400014,4392.662939799689,45.99582871674612,ztfg
58995.20146990009,4408.544775969632,46.49255218355519,ztfg
58995.21146989986,5836.825705093863,52.323024198875366,ztfr
58995.22942129988,5695.104425144672,53.68043281240735,ztfr
58996.255243100226,5767.204041352681,53.84056848224897,ztfr
58997.18631940009,4029.0269744843795,44.331345931283835,ztfg
58998.19271990005,3992.6518349970443,45.15764813379226,ztfg
58998.19365740009,3957.076101603169,44.55763547282295,ztfg
58998.22516199993,6009.439535682022,55.397895364549754,ztfr
58999.22799770022,3561.6738553441683,131.53244201024285,ztfg
58999.28615739988,5136.9143521557025,65.4168922082899,ztfr
59005.186759300064,3420.972022324109,52.172718562435456,ztfg
59009.23148149997,2890.2195438587205,45.28911356598558,ztfg
59014.19987270003,2885.4713294367184,37.6888869205855,ztfg
59017.23525460018,5015.482461002735,49.92691423585317,ztfr
59020.197789399885,2632.991506607947,37.485332888054295,ztfg
59020.23638889985,4867.28519063405,50.52705501930442,ztfr
59023.21440970013,2478.5663475642455,37.490363398628695,ztfg
59033.1761690001,3583.2713689799657,54.84332656894332,ztfr
59033.19792820001,1586.9126752682987,46.93174814038366,ztfg
59037.21212959988,1002.5211308089443,66.44537553629829,ztfg
59157.53278939985,295.8770230734885,40.02670870681825,ztfr
59157.537476900034,298.08535219220425,42.163506501881265,ztfr
59157.54215280013,307.20000541737164,39.299966019029156,ztfr
59157.54682870023,328.7326617297407,46.524562271704134,ztfr
59163.53208329994,303.9652923091047,26.102620143785586,ztfr
59163.53675930016,295.0132129927035,27.006185403964555,ztfr
59163.54143519979,289.5328911014725,30.223972819724118,ztfr
59163.546122699976,278.6484694714934,30.780516337034076,ztfr
59163.550798600074,303.200142337612,34.11714753522825,ztfr
59165.53436340019,281.0338018597243,22.30479379171525,ztfr
59165.53903939994,299.653527969035,24.872093119751884,ztfr
59165.54371530004,294.7167753375806,22.62895551895888,ztfr
59165.54839120014,284.9706060253312,25.767741918204617,ztfr
59165.55306709977,291.39670767779035,29.55820489915666,ztfr
59167.53423610004,251.87801367564364,27.970690547964846,ztfr
59167.53898150008,287.0455614837251,24.96995737415983,ztfr
59167.54372690013,259.09357898820457,28.559572793422767,ztfr
59167.548472200055,247.75939310644054,33.28978673910671,ztfr
59167.5532176001,262.1901024523042,38.0593673055273,ztfr
59175.50212959992,209.634190026618,190.18701370314548,ztfr
