# Template No.          11: sn04fc (IIP; +33) ; z= 0.042 +/- 0.002
#redshifted_wavelength[A] flux[arbitraty]
   4861.01904       1.20592248    
   4867.60449       1.17735255    
   4874.19824       1.14700449    
   4880.80225       1.11758900    
   4887.41406       1.09151387    
   4894.03467       1.07011771    
   4900.66504       1.05311251    
   4907.30371       1.03845906    
   4913.95166       1.02279699    
   4920.60889       1.00239813    
   4927.27539      0.974430978    
   4933.95020      0.938196063    
   4940.63428      0.895946860    
   4947.32715      0.852979779    
   4954.02979      0.816849411    
   4960.74072      0.795809090    
   4967.46143      0.796810329    
   4974.19092      0.823566020    
   4980.92920      0.875218332    
   4987.67773      0.946037233    
   4994.43408       1.02632904    
   5001.20020       1.10441756    
   5007.97559       1.16925132    
   5014.76025       1.21299243    
   5021.55371       1.23290420    
   5028.35596       1.23200810    
   5035.16846       1.21828127    
   5041.98975       1.20255518    
   5048.81982       1.19562507    
   5055.65967       1.20531380    
   5062.50830       1.23426604    
   5069.36719       1.27907622    
   5076.23486       1.33100724    
   5083.11133       1.37814105    
   5089.99756       1.40841985    
   5096.89307       1.41278827    
   5103.79785       1.38762724    
   5110.71191       1.33584273    
   5117.63574       1.26633739    
   5124.56836       1.19201219    
   5131.51074       1.12682188    
   5138.46289       1.08264935    
   5145.42432       1.06677961    
   5152.39502       1.08057356    
   5159.37500       1.11960459    
   5166.36426       1.17512906    
   5173.36377       1.23641872    
   5180.37158       1.29329193    
   5187.38965       1.33818018    
   5194.41699       1.36723804    
   5201.45410       1.38031769    
   5208.50049       1.37996244    
   5215.55664       1.36983073    
   5222.62256       1.35310721    
   5229.69775       1.33139825    
   5236.78223       1.30443597    
   5243.87695       1.27062392    
   5250.98096       1.22819638    
   5258.09375       1.17656589    
   5265.21729       1.11738348    
   5272.35059       1.05492973    
   5279.49268      0.995666742    
   5286.64551      0.947038770    
   5293.80762      0.915841937    
   5300.97900      0.906613827    
   5308.16064      0.920492053    
   5315.35107      0.954861641    
   5322.55225       1.00389040    
   5329.76270       1.05980158    
   5336.98340       1.11454976    
   5344.21289       1.16145420    
   5351.45264       1.19638944    
   5358.70215       1.21826005    
   5365.96191       1.22870135    
   5373.23145       1.23115373    
   5380.51074       1.22961962    
   5387.79980       1.22747278    
   5395.09863       1.22664285    
   5402.40723       1.22736716    
   5409.72607       1.22852302    
   5417.05469       1.22838283    
   5424.39355       1.22552395    
   5431.74170       1.21959233    
   5439.10107       1.21168327    
   5446.46924       1.20422351    
   5453.84766       1.20039773    
   5461.23584       1.20328736    
   5468.63477       1.21497893    
   5476.04248       1.23589408    
   5483.46094       1.26453328    
   5490.88965       1.29770386    
   5498.32861       1.33117461    
   5505.77734       1.36058319    
   5513.23584       1.38236928    
   5520.70508       1.39449966    
   5528.18359       1.39682055    
   5535.67285       1.39096475    
   5543.17236       1.37985837    
   5550.68164       1.36696470    
   5558.20117       1.35545433    
   5565.73145       1.34750187    
   5573.27100       1.34386241    
   5580.82129       1.34380984    
   5588.38184       1.34542882    
   5595.95264       1.34617364    
   5603.53369       1.34355044    
   5611.12500       1.33576536    
   5618.72656       1.32218969    
   5626.33838       1.30355048    
   5633.96045       1.28181100    
   5641.59277       1.25977576    
   5649.23535       1.24051774    
   5656.88867       1.22674847    
   5664.55225       1.22026944    
   5672.22607       1.22161877    
   5679.91016       1.22998357    
   5687.60498       1.24338818    
   5695.30957       1.25911570    
   5703.02588       1.27426219    
   5710.75146       1.28630197    
   5718.48828       1.29353988    
   5726.23535       1.29535317    
   5733.99219       1.29218221    
   5741.76025       1.28528214    
   5749.53857       1.27631748    
   5757.32812       1.26690602    
   5765.12744       1.25823879    
   5772.93750       1.25087404    
   5780.75830       1.24474883    
   5788.58984       1.23939133    
   5796.43213       1.23425210    
   5804.28467       1.22904038    
   5812.14746       1.22394431    
   5820.02148       1.21965230    
   5827.90576       1.21715403    
   5835.80029       1.21737516    
   5843.70654       1.22076333    
   5851.62305       1.22696769    
   5859.55078       1.23474121    
   5867.48828       1.24213243    
   5875.43701       1.24694633    
   5883.39697       1.24736524    
   5891.36719       1.24254894    
   5899.34814       1.23302817    
   5907.34033       1.22073734    
   5915.34277       1.20863533    
   5923.35645       1.19997692    
   5931.38086       1.19741297    
   5939.41650       1.20216584    
   5947.46289       1.21352887    
   5955.52051       1.22886729    
   5963.58838       1.24416399    
   5971.66699       1.25500739    
   5979.75732       1.25777256    
   5987.85791       1.25068426    
   5995.96924       1.23445153    
   6004.09277       1.21227276    
   6012.22656       1.18916655    
   6020.37109       1.17077601    
   6028.52734       1.16194165    
   6036.69385       1.16542006    
   6044.87256       1.18109930    
   6053.06152       1.20593882    
   6061.26172       1.23467052    
   6069.47266       1.26109397    
   6077.69531       1.27963078    
   6085.92920       1.28672945    
   6094.17383       1.28174698    
   6102.42920       1.26707244    
   6110.69678       1.24746454    
   6118.97559       1.22878432    
   6127.26416       1.21646798    
   6135.56543       1.21415150    
   6143.87695       1.22281182    
   6152.20068       1.24063480    
   6160.53467       1.26362479    
   6168.88086       1.28675938    
   6177.23730       1.30535614    
   6185.60596       1.31626546    
   6193.98535       1.31857395    
   6202.37695       1.31365001    
   6210.77930       1.30455899    
   6219.19336       1.29505336    
   6227.61914       1.28844905    
   6236.05518       1.28672731    
   6244.50342       1.29010057    
   6252.96289       1.29714370    
   6261.43359       1.30540812    
   6269.91602       1.31229806    
   6278.41064       1.31592178    
   6286.91602       1.31564510    
   6295.43262       1.31219125    
   6303.96191       1.30727482    
   6312.50195       1.30291033    
   6321.05322       1.30064106    
   6329.61670       1.30094838    
   6338.19141       1.30304813    
   6346.77783       1.30514169    
   6355.37646       1.30504739    
   6363.98584       1.30100667    
   6372.60742       1.29239893    
   6381.24023       1.28012061    
   6389.88525       1.26648903    
   6398.54199       1.25467086    
   6407.20947       1.24779427    
   6415.89014       1.24799871    
   6424.58105       1.25570905    
   6433.28516       1.26936257    
   6442.00000       1.28569055    
   6450.72754       1.30048823    
   6459.46582       1.30967116    
   6468.21777       1.31032896    
   6476.97949       1.30148304    
   6485.75439       1.28434300    
   6494.54053       1.26198542    
   6503.33887       1.23855174    
   6512.14990       1.21818149    
   6520.97119       1.20397198    
   6529.80566       1.19723117    
   6538.65137       1.19720745    
   6547.50977       1.20133555    
   6556.37939       1.20590472    
   6565.26172       1.20694125    
   6574.15576       1.20106351    
   6583.06201       1.18609953    
   6591.97998       1.16134608    
   6600.91016       1.12747204    
   6609.85303       1.08617222    
   6618.80762       1.03974235    
   6627.77393      0.990747690    
   6636.75293      0.941897392    
   6645.74316      0.896136880    
   6654.74658      0.856873751    
   6663.76221      0.828175843    
   6672.78955      0.814771712    
   6681.82910      0.821728706    
   6690.88184      0.853785038    
   6699.94580      0.914433479    
   6709.02246       1.00495255    
   6718.11133       1.12364042    
   6727.21240       1.26548243    
   6736.32520       1.42240679    
   6745.45117       1.58413649    
   6754.58984       1.73951387    
   6763.74023       1.87804079    
   6772.90332       1.99132824    
   6782.07812       2.07416177    
   6791.26611       2.12497306    
   6800.46680       2.14565253    
   6809.67920       2.14078546    
   6818.90479       2.11650705    
   6828.14209       2.07926154    
   6837.39258       2.03472209    
   6846.65527       1.98708427    
   6855.93115       1.93882442    
   6865.21826       1.89088714    
   6874.51904       1.84318459    
   6883.83203       1.79521072    
   6893.15771       1.74659193    
   6902.49609       1.69743443    
   6911.84668       1.64840996    
   6921.21094       1.60060608    
   6930.58691       1.55523539    
   6939.97559       1.51331758    
   6949.37744       1.47545135    
   6958.79199       1.44173765    
   6968.21924       1.41186666    
   6977.65918       1.38531804    
   6987.11182       1.36159790    
   6996.57715       1.34042525    
   7006.05518       1.32180464    
   7015.54688       1.30596769    
   7025.05078       1.29320776    
   7034.56787       1.28366840    
   7044.09766       1.27716482    
   7053.64111       1.27309728    
   7063.19678       1.27049565    
   7072.76562       1.26818454    
   7082.34717       1.26502824    
   7091.94141       1.26018679    
   7101.54883       1.25331247    
   7111.16943       1.24463415    
   7120.80322       1.23490584    
   7130.44971       1.22523367    
   7140.10986       1.21682656    
   7149.78223       1.21072841    
   7159.46875       1.20759320    
   7169.16797       1.20755994    
   7178.87988       1.21024060    
   7188.60596       1.21482372    
   7198.34375       1.22025776    
   7208.09570       1.22547185    
   7217.86035       1.22958028    
   7227.63867       1.23202944    
   7237.42969       1.23265862    
   7247.23486       1.23166537    
   7257.05273       1.22949111    
   7266.88379       1.22665560    
   7276.72852       1.22358418    
   7286.58643       1.22046888    
   7296.45752       1.21720421    
   7306.34229       1.21341431    
   7316.23975       1.20857370    
   7326.15234       1.20219398    
   7336.07666       1.19403255    
   7346.01514       1.18426168    
   7355.96631       1.17354786    
   7365.93213       1.16299999    
   7375.91113       1.15397990    
   7385.90381       1.14780903    
   7395.90918       1.14543438    
   7405.92871       1.14714038    
   7415.96191       1.15239680    
   7426.00830       1.15989876    
   7436.06836       1.16781867    
   7446.14209       1.17422462    
   7456.22949       1.17757368    
   7466.33008       1.17715061    
   7476.44580       1.17333043    
   7486.57324       1.16757131    
   7496.71631       1.16211498    
   7506.87158       1.15944993    
   7517.04150       1.16166031    
   7527.22510       1.16982937    
   7537.42285       1.18366253    
   7547.63330       1.20144701    
   7557.85840       1.22037995    
   7568.09668       1.23720300    
   7578.35010       1.24898398    
   7588.61670       1.25385010    
   7598.89648       1.25147128    
   7609.19141       1.24315846    
   7619.50000       1.23153865    
   7629.82227       1.21988487    
   7640.15820       1.21127713    
   7650.50879       1.20781577    
   7660.87256       1.21010518    
   7671.25098       1.21714878    
   7681.64307       1.22668493    
   7692.04980       1.23587120    
   7702.47021       1.24212313    
   7712.90527       1.24386847    
   7723.35352       1.24100137    
   7733.81689       1.23490012    
   7744.29443       1.22800100    
   7754.78564       1.22304320    
   7765.29053       1.22220004    
   7775.81055       1.22634494    
   7786.34473       1.23466885    
   7796.89307       1.24477077    
   7807.45654       1.25320613    
   7818.03320       1.25635719    
   7828.62402       1.25139177    
   7839.22949       1.23705208    
   7849.84961       1.21405852    
   7860.48389       1.18502057    
   7871.13281       1.15387285    
   7881.79541       1.12499070    
   7892.47363       1.10221374    
   7903.16504       1.08803403    
   7913.87207       1.08314919    
   7924.59277       1.08648038    
   7935.32861       1.09562600    
   7946.07861       1.10760868    
   7956.84375       1.11969733    
   7967.62256       1.13007855    
   7978.41699       1.13820255    
   7989.22510       1.14473045    
   8000.04834       1.15112484    
   8010.88574       1.15902472    
   8021.73877       1.16959941    
   8032.60645       1.18307757    
   8043.48779       1.19858408    
   8054.38525       1.21432567    
   8065.29590       1.22806358    
   8076.22266       1.23772693    
   8087.16357       1.24198306    
   8098.11963       1.24060249    
   8109.08984       1.23451114    
   8120.07520       1.22552335    
   8131.07520       1.21583450    
   8142.09131       1.20742345    
   8153.12158       1.20153725    
   8164.16699       1.19840169    
   8175.22656       1.19723558    
   8186.30225       1.19655788    
   8197.39160       1.19469094    
   8208.49707       1.19031167    
   8219.61719       1.18288958    
   8230.75293       1.17288315    
   8241.90234       1.16163802    
   8253.06836       1.15101707    
   8264.24902       1.14286709    
   8275.44531       1.13847029    
   8286.65625       1.13813984    
   8297.88184       1.14107215    
   8309.12402       1.14550149    
   8320.37988       1.14911902    
   8331.65234       1.14964545    
   8342.93848       1.14540815    
   8354.24121       1.13576794    
   8365.55859       1.12128770    
   8376.89160       1.10359955    
   8388.24023       1.08500803    
   8399.60352       1.06794035    
   8410.98242       1.05438578    
   8422.37793       1.04547000    
   8433.78711       1.04127395    
   8445.21289       1.04093087    
   8456.65332       1.04296541    
   8468.11035       1.04577172    
   8479.58105       1.04808426    
   8491.06934       1.04930532    
   8502.57227       1.04958832    
   8514.09082       1.04964519    
   8525.62500       1.05032718    
   8537.17480       1.05209792    
   8548.74023       1.05455375    
   8560.32129       1.05615079    
   8571.91797       1.05424762    
   8583.53027       1.04550648    
   8595.15918       1.02659225    
   8606.80273      0.995033503    
   8618.46289      0.950048447    
   8630.13867      0.893125474    
   8641.83008      0.828189909    
   8653.53711      0.761263251    
   8665.26074      0.699636161    
   8677.00000      0.650681674    
   8688.75488      0.620532453    
   8700.52441      0.612885118    
   8712.31152      0.628193259    
   8724.11426      0.663436115    
   8735.93359      0.712544382    
   8747.76855      0.767427087    
   8759.61914      0.819418430    
   8771.48633      0.860866010    
   8783.36816      0.886548400    
   8795.26855      0.894634128    
   8807.18262      0.886984944    
   8819.11426      0.868737817    
   8831.06152      0.847248673    
   8843.02637      0.830611408    
   8855.00488      0.826054513    
   8867.00098      0.838539064    
   8879.01367      0.869837105    
   8891.04199      0.918261468    
   8903.08691      0.979083300    
   8915.14844       1.04552162    
   8927.22559       1.11008143    
   8939.32031       1.16594529    
   8951.42871       1.20813179    
   8963.55664       1.23419702    
   8975.69922       1.24436903    
   8987.85840       1.24113441    
   9000.03516       1.22841704    
   9012.22656       1.21056783    
   9024.43750       1.19140923    
   9036.66211       1.17354226    
   9048.90527       1.15804625    
   9061.16309       1.14459407    
   9073.43945       1.13189995    
   9085.72949       1.11835301    
   9098.04004       1.10264206    
   9110.36426       1.08421648    
   9122.70703       1.06347024    
   9135.06543       1.04162896    
   9147.44043       1.02039599    
   9159.83301       1.00147831    
   9172.24219      0.986129344    
   9184.66699      0.974839568    
   9197.11035      0.967245519    
   9209.56934      0.962273240    
   9222.04590      0.958459556    
   9234.53809      0.954352796    
   9247.04980      0.948881149    
   9259.57617      0.941591144    
   9272.12109      0.932703376    
   9284.68262      0.922985256    
   9297.25977      0.913489580    
   9309.85645      0.905243635    
   9322.46777      0.898973525    
   9335.09668      0.894937396    
   9347.74414      0.892902136    
   9360.40723      0.892252743    
   9373.08789      0.892193377    
   9385.78613      0.891972661    
   9398.50000      0.891069472    
   9411.23242      0.889290512    
   9423.98242      0.886764824    
   9436.74902      0.883847296    
   9449.53320      0.880971074    
   9462.33496      0.878499210    
   9475.15332      0.876617312    
   9487.99023      0.875295401    
   9500.84375      0.874322653    
   9513.71484      0.873394310    
   9526.60254      0.872218192    
   9539.50977      0.870607376    
   9552.43164      0.868528247    
   9565.37305      0.866096854    
   9578.33203      0.863528252    
   9591.30762      0.861058891    
   9604.30176      0.858870924    
   9617.31250      0.857040346    
   9630.34180      0.855523467    
   9643.38770      0.854182720    
   9656.45215      0.852839172    
   9669.53320      0.851332843    
   9682.63281      0.849571705    
   9695.74902      0.847554028    
   9708.88477      0.845360100    
   9722.03809      0.843119919    
   9735.20898      0.840966642    
   9748.39648      0.838995457    
   9761.60449      0.837237120    
   9774.82715      0.835654855    
   9788.06934      0.834162891    
   9801.32910      0.832657933    
   9814.60742      0.831053376    
   9827.90332      0.829304278    
   9841.21777      0.827416420    
   9854.55078      0.825439632    
   9867.90039      0.823446453    
   9881.26855      0.821507812    
   9894.65430      0.819670975    
   9908.05957      0.817948043    
   9921.48145      0.816316605    
   9934.92285      0.814731240    
   9948.38184      0.813140094    
   9961.85938      0.811502099    
   9975.35547      0.809797585    
   9988.86816      0.808031380    
   10002.4004      0.807878733    
   10015.9512      0.807716966    
   10029.5195      0.807576299    
   10043.1074      0.807476163    
   10056.7119      0.807421088    
   10070.3369      0.807402313    
   10083.9785      0.807403028    
   10097.6396      0.807405114    
   10111.3193      0.807394803    
   10125.0166      0.807365537    
   10138.7354      0.807317913    
   10152.4697      0.807257235    
   10166.2227      0.807190418    
   10179.9951      0.807123244    
   10193.7871      0.807059467    
   10207.5957      0.807001233    
   10221.4248      0.806949615    
   10235.2715      0.806906343    
   10249.1377      0.806873322    
   10263.0215      0.806852102    
   10276.9258      0.806842268    
   10290.8477      0.806840420    
   10304.7900      0.806840181    
   10318.7490      0.806833267    
   10332.7285      0.806812525    
   10346.7266      0.806774378    
   10360.7432      0.806720793    
   10374.7793      0.806659639    
