# Template No.           5: sn1992H (IIP; +12) ; z= 0.037 +/- 0.007
#redshifted_wavelength[A] flux[arbitraty]
   6456.27783       1.08056045    
   6465.02441       1.08441234    
   6473.78271       1.09192967    
   6482.55371       1.10207713    
   6491.33496       1.11310208    
   6500.12939       1.12298787    
   6508.93506       1.13005280    
   6517.75293       1.13353670    
   6526.58203       1.13400340    
   6535.42432       1.13342881    
   6544.27783       1.13492382    
   6553.14355       1.14213777    
   6562.02100       1.15847659    
   6570.91064       1.18632436    
   6579.81250       1.22646296    
   6588.72656       1.27783561    
   6597.65234       1.33771300    
   6606.59033       1.40221977    
   6615.54004       1.46708453    
   6624.50244       1.52843046    
   6633.47705       1.58341408    
   6642.46338       1.63057172    
   6651.46191       1.66981697    
   6660.47314       1.70212269    
   6669.49609       1.72900510    
   6678.53125       1.75196457    
   6687.57910       1.77203953    
   6696.63867       1.78957963    
   6705.71045       1.80427396    
   6714.79492       1.81539154    
   6723.89160       1.82213616    
   6733.00049       1.82399380    
   6742.12207       1.82095909    
   6751.25537       1.81358254    
   6760.40186       1.80283368    
   6769.56006       1.78983617    
   6778.73096       1.77556324    
   6787.91455       1.76059377    
   6797.10938       1.74499524    
   6806.31836       1.72836506    
   6815.53906       1.71000659    
   6824.77246       1.68918276    
   6834.01758       1.66536736    
   6843.27588       1.63842845    
   6852.54688       1.60869873    
   6861.83008       1.57693005    
   6871.12598       1.54415619    
   6880.43408       1.51151562    
   6889.75537       1.48007905    
   6899.08936       1.45072234    
   6908.43506       1.42405510    
   6917.79395       1.40040243    
   6927.16602       1.37981617    
   6936.55029       1.36209953    
   6945.94775       1.34683037    
   6955.35742       1.33339298    
   6964.77979       1.32102323    
   6974.21436       1.30889213    
   6983.66260       1.29622364    
   6993.12354       1.28243995    
   7002.59766       1.26729858    
   7012.08398       1.25097930    
   7021.58398       1.23408580    
   7031.09619       1.21753681    
   7040.62158       1.20236349    
   7050.15967       1.18945527    
   7059.70996       1.17931986    
   7069.27393       1.17193127    
   7078.85107       1.16671336    
   7088.44092       1.16267776    
   7098.04346       1.15868425    
   7107.65967       1.15375233    
   7117.28809       1.14733636    
   7126.93066       1.13947916    
   7136.58594       1.13079441    
   7146.25391       1.12228131    
   7155.93506       1.11502099    
   7165.62891       1.10984731    
   7175.33691       1.10709381    
   7185.05664       1.10649335    
   7194.79053       1.10726786    
   7204.53760       1.10837972    
   7214.29785       1.10886598    
   7224.07129       1.10815227    
   7233.85742       1.10624063    
   7243.65771       1.10371029    
   7253.47070       1.10152256    
   7263.29688       1.10068834    
   7273.13672       1.10189939    
   7282.98926       1.10524046    
   7292.85693       1.11007917    
   7302.73584       1.11517370    
   7312.62939       1.11897838    
   7322.53516       1.12006259    
   7332.45605       1.11752129    
   7342.38965       1.11125767    
   7352.33643       1.10205436    
   7362.29639       1.09140956    
   7372.27051       1.08118296    
   7382.25830       1.07315135    
   7392.25879       1.06859803    
   7402.27344       1.06804562    
   7412.30127       1.07120037    
   7422.34277       1.07711220    
   7432.39746       1.08449244    
   7442.46680       1.09208882    
   7452.54834       1.09901524    
   7462.64551       1.10493839    
   7472.75439       1.11008871    
   7482.87842       1.11510611    
   7493.01562       1.12078106    
   7503.16699       1.12777889    
   7513.33105       1.13642848    
   7523.50977       1.14663041    
   7533.70166       1.15789855    
   7543.90820       1.16950560    
   7554.12793       1.18067622    
   7564.36133       1.19076431    
   7574.60986       1.19936550    
   7584.87109       1.20634103    
   7595.14648       1.21176720    
   7605.43555       1.21584165    
   7615.73877       1.21878874    
   7626.05615       1.22079718    
   7636.38721       1.22200263    
   7646.73193       1.22250867    
   7657.09131       1.22241473    
   7667.46436       1.22183156    
   7677.85205       1.22086108    
   7688.25244       1.21954954    
   7698.66846       1.21783566    
   7709.09814       1.21553040    
   7719.54199       1.21235812    
   7729.99902       1.20807016    
   7740.47168       1.20261335    
   7750.95752       1.19630396    
   7761.45801       1.18994796    
   7771.97363       1.18484366    
   7782.50195       1.18263555    
   7793.04492       1.18502510    
   7803.60205       1.19339228    
   7814.17432       1.20841396    
   7824.75977       1.22978246    
   7835.36035       1.25611031    
   7845.97461       1.28506672    
   7856.60400       1.31373632    
   7867.24707       1.33913302    
   7877.90527       1.35875940    
   7888.57764       1.37108719    
   7899.26465       1.37585449    
   7909.96533       1.37410903    
   7920.68164       1.36799598    
   7931.41162       1.36033821    
   7942.15674       1.35410166    
   7952.91602       1.35186028    
   7963.68994       1.35536528    
   7974.47803       1.36529016    
   7985.28223       1.38118863    
   7996.10059       1.40164506    
   8006.93213       1.42457902    
   8017.77979       1.44762850    
   8028.64111       1.46854877    
   8039.51807       1.48555565    
   8050.40918       1.49757528    
   8061.31592       1.50436509    
   8072.23584       1.50650287    
   8083.17139       1.50524366    
   8094.12158       1.50226963    
   8105.08740       1.49936509    
   8116.06738       1.49806821    
   8127.06299       1.49935520    
   8138.07178       1.50342011    
   8149.09717       1.50960374    
   8160.13623       1.51649737    
   8171.19141       1.52222013    
   8182.26123       1.52482414    
   8193.34570       1.52274168    
   8204.44531       1.51518118    
   8215.55957       1.50236475    
   8226.69043       1.48554337    
   8237.83496       1.46676552    
   8248.99512       1.44844377    
   8260.16992       1.43281090    
   8271.36133       1.42139769    
   8282.56543       1.41466200    
   8293.78613       1.41186833    
   8305.02148       1.41125631    
   8316.27344       1.41046703    
   8327.53906       1.40712416    
   8338.82031       1.39943397    
   8350.11719       1.38665211    
   8361.42969       1.36930680    
   8372.75684       1.34912062    
   8384.09961       1.32865191    
   8395.45703       1.31074667    
   8406.83105       1.29792941    
   8418.21973       1.29187679    
   8429.62402       1.29309213    
   8441.04395       1.30084169    
   8452.47949       1.31335330    
   8463.92969       1.32821488    
   8475.39648       1.34287095    
   8486.87793       1.35510385    
   8498.37598       1.36339939    
   8509.88867       1.36713624    
   8521.41699       1.36658370    
   8532.96094       1.36273324    
   8544.52051       1.35702193    
   8556.09668       1.35101640    
   8567.68750       1.34611905    
   8579.29395       1.34334362    
   8590.91699       1.34318233    
   8602.55566       1.34557211    
   8614.20898       1.34994102    
   8625.87891       1.35532701    
   8637.56543       1.36053944    
   8649.26660       1.36434853    
   8660.98242       1.36567914    
   8672.71680       1.36378527    
   8684.46582       1.35838354    
   8696.23047       1.34971893    
   8708.01172       1.33854711    
   8719.80859       1.32602847    
   8731.62207       1.31354403    
   8743.45020       1.30246520    
   8755.29590       1.29392028    
   8767.15625       1.28860390    
   8779.03418       1.28667414    
   8790.92676       1.28775764    
   8802.83691       1.29106021    
   8814.76074       1.29555690    
   8826.70312       1.30021584    
   8838.66016       1.30419922    
   8850.63379       1.30700064    
   8862.62402       1.30848777    
   8874.63086       1.30885339    
   8886.65332       1.30849373    
   8898.69336       1.30785930    
   8910.74707       1.30731797    
   8922.81934       1.30706966    
   8934.90723       1.30712640    
   8947.01074       1.30735600    
   8959.13184       1.30756676    
   8971.26855       1.30759776    
   8983.42383       1.30738747    
   8995.59277       1.30699539    
   9007.78027       1.30657876    
   9019.98242       1.30632937    
   9032.20215       1.30640209    
   9044.43750       1.30685663    
   9056.69141       1.30763209    
   9068.95996       1.30856442    
   9081.24707       1.30943775    
   9093.54883       1.31005073    
   9105.86719       1.31027687    
   9118.20410       1.31009960    
   9130.55664       1.30960906    
   9142.92480       1.30896819    
   9155.31152       1.30835676    
   9167.71387       1.30791461    
   9180.13379       1.30770230    
   9192.56934       1.30768991    
   9205.02441       1.30777717    
   9217.49316       1.30783272    
   9229.98145       1.30774331    
   9242.48535       1.30745006    
   9255.00586       1.30696654    
   9267.54492       1.30636799    
   9280.09863       1.30576360    
   9292.67090       1.30525696    
   9305.26074       1.30491221    
   9317.86621       1.30473530    
   9330.48926       1.30467618    
   9343.12988       1.30464947    
   9355.78613       1.30456567    
   9368.46094       1.30436158    
   9381.15234       1.30401921    
   9393.86133       1.30356908    
   9406.58789       1.30307531    
   9419.33105       1.30261230    
   9432.09180       1.30223811    
   9444.86914       1.30197668    
   9457.66406       1.30181205    
   9470.47754       1.30169678    
   9483.30664       1.30157089    
   9496.15430       1.30138338    
   9509.01855       1.30110824    
   9521.90039       1.30075264    
   9534.80078       1.30035043    
   9547.71680       1.29994953    
   9560.65332       1.29959333    
   9573.60352       1.29930663    
   9586.57422       1.29908848    
   9599.56055       1.29891443    
   9612.56641       1.29874694    
   9625.58789       1.29854989    
   9638.62793       1.29830050    
   9651.68457       1.29799676    
   9664.76074       1.29765630    
   9677.85352       1.29730856    
   9690.96387       1.29698336    
   9704.09277       1.29670036    
   9717.24023       1.29646301    
   9730.40234       1.29625845    
   9743.58496       1.29606354    
   9756.78418       1.29585373    
   9770.00293       1.29561234    
   9783.23828       1.29533553    
   9796.49219       1.29503310    
   9809.76367       1.29472387    
   9823.05273       1.29442799    
   9836.36035       1.29415905    
   9849.68555       1.29392087    
   9863.02930       1.29370534    
   9876.39062       1.29349732    
   9889.77148       1.29327989    
   9903.16895       1.29304147    
   9916.58496       1.29277933    
   9930.01953       1.29250014    
   9943.47168       1.29221690    
   9956.94238       1.29194367    
   9970.43066       1.29169035    
   9983.93750       1.29145908    
   9997.46387       1.29148304    
   10011.0068       1.29151154    
   10024.5693       1.29153252    
   10038.1494       1.29153728    
   10051.7480       1.29152441    
   10065.3652       1.29149926    
   10079.0010       1.29147220    
   10092.6572       1.29145408    
   10106.3291       1.29145229    
   10120.0205       1.29146826    
   10133.7295       1.29149675    
   10147.4590       1.29152846    
   10161.2051       1.29155338    
   10174.9707       1.29156458    
   10188.7549       1.29156089    
   10202.5586       1.29154718    
   10216.3789       1.29153192    
   10230.2197       1.29152453    
   10244.0781       1.29153132    
   10257.9570       1.29155362    
   10271.8525       1.29158711    
   10285.7686       1.29162395    
   10299.7031       1.29165530    
   10313.6562       1.29167509    
   10327.6279       1.29168177    
   10341.6201       1.29167914    
   10355.6289       1.29167426    
