# Template No.           1: sn90e (IIP; +19) ; z= 0.033 +/- 0.004
#redshifted_wavelength[A] flux[arbitraty]
   4518.51953      0.740154743    
   4524.64062      0.724392653    
   4530.77051      0.711005390    
   4536.90820      0.700921774    
   4543.05469      0.694657266    
   4549.20898      0.692282796    
   4555.37207      0.693464279    
   4561.54346      0.697566092    
   4567.72314      0.703799605    
   4573.91064      0.711393058    
   4580.10693      0.719750285    
   4586.31201      0.728567302    
   4592.52490      0.737876594    
   4598.74658      0.748006821    
   4604.97705      0.759457827    
   4611.21484      0.772718787    
   4617.46191      0.788069546    
   4623.71729      0.805417776    
   4629.98145      0.824221313    
   4636.25391      0.843525469    
   4642.53467      0.862119555    
   4648.82373      0.878782451    
   4655.12158      0.892560482    
   4661.42773      0.903006732    
   4667.74268      0.910312235    
   4674.06641      0.915284455    
   4680.39844      0.919163764    
   4686.73926      0.923313141    
   4693.08838      0.928850949    
   4699.44580      0.936319053    
   4705.81250      0.945473850    
   4712.18750      0.955264986    
   4718.57129      0.964022100    
   4724.96338      0.969817758    
   4731.36475      0.970927536    
   4737.77393      0.966282487    
   4744.19238      0.955797970    
   4750.61914      0.940494120    
   4757.05518      0.922360837    
   4763.50000      0.903983593    
   4769.95312      0.888002694    
   4776.41504      0.876519918    
   4782.88574      0.870588303    
   4789.36523      0.869904816    
   4795.85352      0.872790635    
   4802.35010      0.876479685    
   4808.85645      0.877670348    
   4815.37109      0.873233855    
   4821.89453      0.860933423    
   4828.42676      0.839998722    
   4834.96777      0.811425209    
   4841.51855      0.777921438    
   4848.07715      0.743501186    
   4854.64453      0.712793231    
   4861.22168      0.690207422    
   4867.80713      0.679128110    
   4874.40137      0.681305230    
   4881.00488      0.696574688    
   4887.61768      0.722965539    
   4894.23877      0.757167578    
   4900.86914      0.795250893    
   4907.50830      0.833469808    
   4914.15674      0.868966281    
   4920.81396      0.900211275    
   4927.48047      0.927090228    
   4934.15576      0.950622797    
   4940.83984      0.972404361    
   4947.53369      0.993922591    
   4954.23633       1.01593542    
   4960.94775       1.03808236    
   4967.66797       1.05883574    
   4974.39844       1.07581019    
   4981.13721       1.08635497    
   4987.88477       1.08827257    
   4994.64258       1.08047616    
   5001.40869       1.06341028    
   5008.18408       1.03911984    
   5014.96875       1.01094687    
   5021.76221      0.982926369    
   5028.56592      0.959031582    
   5035.37793      0.942453206    
   5042.19971      0.935079157    
   5049.03027      0.937286317    
   5055.87061      0.948064804    
   5062.71973      0.965408385    
   5069.57812      0.986842215    
   5076.44580       1.00993156    
   5083.32275       1.03263927    
   5090.20947       1.05346084    
   5097.10547       1.07134151    
   5104.01074       1.08545554    
   5110.92529       1.09496427    
   5117.84912       1.09887874    
   5124.78223       1.09610391    
   5131.72510       1.08567894    
   5138.67676       1.06714976    
   5145.63818       1.04095554    
   5152.60889       1.00868738    
   5159.58936      0.973106563    
   5166.57959      0.937869966    
   5173.57861      0.906991005    
   5180.58789      0.884150445    
   5187.60596      0.872012734    
   5194.63330      0.871719003    
   5201.67090      0.882683039    
   5208.71777      0.902742505    
   5215.77344      0.928626537    
   5222.83984      0.956626773    
   5229.91553      0.983303249    
   5237.00049       1.00606453    
   5244.09521       1.02349436    
   5251.19971       1.03537929    
   5258.31348       1.04246461    
   5265.43701       1.04604065    
   5272.56982       1.04749227    
   5279.71289       1.04793739    
   5286.86523       1.04804420    
   5294.02783       1.04804826    
   5301.19971       1.04792535    
   5308.38086       1.04763794    
   5315.57227       1.04735029    
   5322.77344       1.04752862    
   5329.98486       1.04889226    
   5337.20508       1.05222523    
   5344.43555       1.05812144    
   5351.67578       1.06674504    
   5358.92578       1.07769310    
   5366.18555       1.09001267    
   5373.45508       1.10237634    
   5380.73486       1.11336935    
   5388.02393       1.12180996    
   5395.32373       1.12701237    
   5402.63281       1.12892091    
   5409.95166       1.12807834    
   5417.28076       1.12544620    
   5424.61963       1.12212622    
   5431.96826       1.11906850    
   5439.32715       1.11684096    
   5446.69580       1.11552191    
   5454.07471       1.11473143    
   5461.46338       1.11378622    
   5468.86230       1.11192226    
   5476.27100       1.10852098    
   5483.68945       1.10327840    
   5491.11816       1.09627759    
   5498.55762       1.08795726    
   5506.00684       1.07899642    
   5513.46533       1.07015693    
   5520.93506       1.06212914    
   5528.41406       1.05541682    
   5535.90381       1.05028296    
   5543.40332       1.04675341    
   5550.91309       1.04466236    
   5558.43311       1.04371846    
   5565.96338       1.04356587    
   5573.50342       1.04383230    
   5581.05420       1.04416108    
   5588.61475       1.04423308    
   5596.18555       1.04379117    
   5603.76709       1.04266751    
   5611.35840       1.04081285    
   5618.96045       1.03831959    
   5626.57275       1.03541887    
   5634.19482       1.03244936    
   5641.82764       1.02979255    
   5649.47070       1.02778912    
   5657.12451       1.02665734    
   5664.78809       1.02644300    
   5672.46240       1.02701521    
   5680.14697       1.02811909    
   5687.84131       1.02946937    
   5695.54688       1.03085947    
   5703.26318       1.03224576    
   5710.98975       1.03377795    
   5718.72656       1.03575504    
   5726.47314       1.03851402    
   5734.23096       1.04228282    
   5741.99951       1.04703891    
   5749.77881       1.05242801    
   5757.56787       1.05777299    
   5765.36768       1.06218684    
   5773.17822       1.06476581    
   5780.99951       1.06481481    
   5788.83057       1.06204283    
   5796.67334       1.05667150    
   5804.52588       1.04941773    
   5812.38965       1.04134881    
   5820.26318       1.03364730    
   5828.14795       1.02734339    
   5836.04395       1.02309346    
   5843.94971       1.02106106    
   5851.86670       1.02093589    
   5859.79492       1.02208161    
   5867.73291       1.02376854    
   5875.68213       1.02542293    
   5883.64160       1.02681816    
   5891.61230       1.02815390    
   5899.59424       1.03000164    
   5907.58691       1.03313661    
   5915.58984       1.03830540    
   5923.60352       1.04600465    
   5931.62891       1.05632782    
   5939.66406       1.06892657    
   5947.71045       1.08308983    
   5955.76855       1.09790587    
   5963.83691       1.11245739    
   5971.91553       1.12598443    
   5980.00586       1.13797009    
   5988.10693       1.14813459    
   5996.21973       1.15635419    
   6004.34277       1.16255200    
   6012.47705       1.16661263    
   6020.62207       1.16836739    
   6028.77832       1.16766679    
   6036.94580       1.16451681    
   6045.12402       1.15923190    
   6053.31348       1.15253830    
   6061.51416       1.14556754    
   6069.72656       1.13971853    
   6077.94824       1.13639843    
   6086.18262       1.13670456    
   6094.42773       1.14113355    
   6102.68408       1.14940763    
   6110.95117       1.16048253    
   6119.22998       1.17275143    
   6127.51953       1.18440640    
   6135.82080       1.19386566    
   6144.13281       1.20015073    
   6152.45654       1.20310855    
   6160.79150       1.20341086    
   6169.13770       1.20232725    
   6177.49561       1.20133162    
   6185.86377       1.20165789    
   6194.24414       1.20393145    
   6202.63525       1.20799112    
   6211.03760       1.21295285    
   6219.45215       1.21750593    
   6227.87793       1.22034860    
   6236.31543       1.22063577    
   6244.76318       1.21829391    
   6253.22363       1.21410131    
   6261.69482       1.20949161    
   6270.17773       1.20612729    
   6278.67188       1.20535862    
   6287.17773       1.20772481    
   6295.69482       1.21265161    
   6304.22461       1.21844661    
   6312.76465       1.22261846    
   6321.31689       1.22244608    
   6329.88037       1.21566319    
   6338.45557       1.20107222    
   6347.04248       1.17893004    
   6355.64062       1.15099549    
   6364.25098       1.12022328    
   6372.87256       1.09017932    
   6381.50635       1.06432867    
   6390.15137       1.04536796    
   6398.80811       1.03476572    
   6407.47656       1.03260386    
   6416.15771       1.03773117    
   6424.84912       1.04815328    
   6433.55273       1.06152844    
   6442.26855       1.07561731    
   6450.99609       1.08857405    
   6459.73584       1.09902346    
   6468.48633       1.10595274    
   6477.25000       1.10850918    
   6486.02441       1.10583341    
   6494.81152       1.09703958    
   6503.60938       1.08140635    
   6512.42041       1.05875742    
   6521.24316       1.02993548    
   6530.07764      0.997212768    
   6538.92383      0.964475453    
   6547.78223      0.937055230    
   6556.65283      0.921168745    
   6565.53516      0.923023164    
   6574.42969      0.947748601    
   6583.33643      0.998377383    
   6592.25439       1.07509887    
   6601.18506       1.17497182    
   6610.12842       1.29218185    
   6619.08301       1.41881251    
   6628.04980       1.54598689    
   6637.02930       1.66515803    
   6646.02051       1.76930237    
   6655.02393       1.85379112    
   6664.04004       1.91679668    
   6673.06787       1.95919228    
   6682.10742       1.98400509    
   6691.15967       1.99556196    
   6700.22461       1.99852073    
   6709.30127       1.99697602    
   6718.39111       1.99378788    
   6727.49219       1.99023736    
   6736.60596       1.98602343    
   6745.73242       1.97956789    
   6754.87061       1.96853971    
   6764.02246       1.95048606    
   6773.18506       1.92345154    
   6782.36133       1.88648176    
   6791.54932       1.83992553    
   6800.75049       1.78549063    
   6809.96289       1.72604144    
   6819.18848       1.66517293    
   6828.42676       1.60663140    
   6837.67725       1.55368531    
   6846.94092       1.50857186    
   6856.21582       1.47213173    
   6865.50488       1.44372153    
   6874.80566       1.42143559    
   6884.11865       1.40260279    
   6893.44482       1.38445222    
   6902.78320       1.36479521    
   6912.13477       1.34255457    
   6921.49902       1.31799972    
   6930.87549       1.29261315    
   6940.26465       1.26860929    
   6949.66650       1.24822462    
   6959.08154       1.23296130    
   6968.50879       1.22299922    
   6977.94922       1.21695328    
   6987.40283       1.21206868    
   6996.86914       1.20483005    
   7006.34814       1.19184387    
   7015.83936       1.17077088    
   7025.34424       1.14106095    
   7034.86084       1.10428405    
   7044.39160       1.06395125    
   7053.93457       1.02485323    
   7063.49072      0.992072105    
   7073.05957      0.969905019    
   7082.64160      0.960964918    
   7092.23633      0.965673089    
   7101.84473      0.982254624    
   7111.46631       1.00721538    
   7121.10010       1.03615904    
   7130.74756       1.06472588    
   7140.40723       1.08941829    
   7150.08105       1.10813248    
   7159.76660       1.12030482    
   7169.46631       1.12669349    
   7179.17871       1.12891114    
   7188.90479       1.12886882    
   7198.64355       1.12829208    
   7208.39551       1.12841880    
   7218.16113       1.12991333    
   7227.93994       1.13295758    
   7237.73096       1.13743150    
   7247.53662       1.14308643    
   7257.35449       1.14964199    
   7267.18701       1.15678692    
   7277.03125       1.16411662    
   7286.89014       1.17107129    
   7296.76123       1.17693770    
   7306.64697       1.18094814    
   7316.54541       1.18246210    
   7326.45752       1.18117297    
   7336.38232       1.17725611    
   7346.32129       1.17139137    
   7356.27393       1.16462862    
   7366.23926       1.15812838    
   7376.21875       1.15285504    
   7386.21094       1.14933527    
   7396.21729       1.14756525    
   7406.23682       1.14711344    
   7416.27051       1.14738619    
   7426.31689       1.14796007    
   7436.37842       1.14885211    
   7446.45166       1.15061164    
   7456.53955       1.15417826    
   7466.64111       1.16053474    
   7476.75684       1.17027223    
   7486.88525       1.18323040    
   7497.02832       1.19836819    
   7507.18408       1.21395445    
   7517.35498       1.22804999    
   7527.53857       1.23914790    
   7537.73633       1.24674869    
   7547.94824       1.25165260    
   7558.17334       1.25581050    
   7568.41260       1.26172698    
   7578.66553       1.27156126    
   7588.93262       1.28620708    
   7599.21338       1.30468071    
   7609.50830       1.32408655    
   7619.81689       1.34026659    
   7630.13965       1.34902489    
   7640.47607       1.34759378    
   7650.82715       1.33589005    
   7661.19141       1.31709540    
   7671.57031       1.29725611    
   7681.96338       1.28386164    
   7692.37012       1.28368247    
   7702.79102       1.30041528    
   7713.22656       1.33282423    
   7723.67578       1.37400460    
   7734.13867       1.41215336    
   7744.61719       1.43283880    
   7755.10889       1.42233837    
   7765.61475       1.37127328    
   7776.13477       1.27761340    
   7786.66943       1.14821136    
   7797.21826      0.998350859    
   7807.78125      0.849273741    
   7818.35840      0.724161744    
   7828.95020      0.643467963    
   7839.55566      0.620680928    
   7850.17676      0.659528375    
   7860.81104      0.753284931    
   7871.46045      0.886339009    
   7882.12354       1.03762496    
   7892.80225       1.18507802    
   7903.49414       1.31004870    
   7914.20166       1.40066028    
   7924.92285       1.45339632    
   7935.65918       1.47267842    
   7946.40918       1.46869802    
   7957.17529       1.45418251    
   7967.95557       1.44098639    
   7978.74902       1.43736255    
   7989.55859       1.44652605    
   8000.38184       1.46671879    
   8011.22021       1.49258089    
   8022.07324       1.51730180    
   8032.94141       1.53487670    
   8043.82275       1.54182935    
   8054.72021       1.53798866    
   8065.63135       1.52620339    
   8076.55908       1.51119816    
   8087.50000       1.49799597    
   8098.45703       1.49040544    
   8109.42725       1.49001217    
   8120.41406       1.49591446    
   8131.41406       1.50521111    
   8142.43018       1.51402533    
   8153.46094       1.51871932    
   8164.50684       1.51692927    
   8175.56641       1.50814569    
   8186.64258       1.49371445    
   8197.73340       1.47632372    
   8208.83887       1.45917380    
   8219.95996       1.44509888    
   8231.09570       1.43588722    
   8242.24707       1.43196452    
   8253.41211       1.43247390    
   8264.59375       1.43567085    
   8275.78906       1.43948019    
   8287.00098       1.44203317    
   8298.22754       1.44204795    
   8309.46973       1.43898439    
   8320.72656       1.43298423    
   8331.99805       1.42467272    
   8343.28613       1.41491079    
   8354.58887       1.40458798    
   8365.90625       1.39449251    
   8377.24023       1.38525927    
   8388.58887       1.37735462    
   8399.95312       1.37105572    
   8411.33301       1.36639333    
   8422.72754       1.36306477    
   8434.13867       1.36035800    
   8445.56445       1.35714674    
   8457.00586       1.35200405    
   8468.46289       1.34345293    
   8479.93555       1.33032262    
   8491.42285       1.31212759    
   8502.92676       1.28936231    
   8514.44531       1.26360881    
   8525.98047       1.23739612    
   8537.53027       1.21380591    
   8549.09668       1.19590020    
   8560.67773       1.18609583    
   8572.27539       1.18563604    
   8583.88867       1.19429493    
   8595.51758       1.21039248    
   8607.16211       1.23112786    
   8618.82227       1.25314915    
   8630.49805       1.27323103    
   8642.19043       1.28889883    
   8653.89746       1.29885733    
   8665.62109       1.30313969    
   8677.36133       1.30295491    
   8689.11621       1.30029631    
   8700.88770       1.29741549    
   8712.67480       1.29630136    
   8724.47852       1.29827607    
   8736.29785       1.30379415    
   8748.13281       1.31246138    
   8759.98438       1.32324159    
   8771.85156       1.33477628    
   8783.73438       1.34572423    
   8795.63477       1.35503817    
   8807.54980       1.36212420    
   8819.48145       1.36686432    
   8831.42871       1.36952746    
   8843.39355       1.37060857    
   8855.37402       1.37065530    
   8867.37109       1.37012780    
   8879.38281       1.36931944    
   8891.41309       1.36834729    
   8903.45703       1.36719608    
   8915.51953       1.36578834    
   8927.59668       1.36405337    
   8939.69141       1.36197162    
   8951.80371       1.35958612    
   8963.92969       1.35698485    
   8976.07422       1.35426760    
   8988.23340       1.35151303    
   9000.41016       1.34876215    
   9012.60254       1.34602189    
   9024.81348       1.34328651    
   9037.03906       1.34056807    
   9049.28223       1.33792150    
   9061.54102       1.33545089    
   9073.81641       1.33329415    
   9086.10938       1.33158720    
   9098.41797       1.33041835    
   9110.74316       1.32978582    
   9123.08691       1.32957613    
   9135.44531       1.32957101    
   9147.82129       1.32948363    
   9160.21289       1.32902038    
   9172.62402       1.32794964    
   9185.04883       1.32616353    
   9197.49316       1.32370985    
   9209.95410       1.32079101    
   9222.42969       1.31772304    
   9234.92480       1.31486738    
   9247.43457       1.31254983    
   9259.96289       1.31098759    
   9272.50781       1.31024396    
   9285.06934       1.31021953    
   9297.64746       1.31068385    
   9310.24414       1.31133568    
   9322.85547       1.31187952    
   9335.48535       1.31209314    
   9348.13281       1.31187367    
   9360.79688       1.31124806    
   9373.47754       1.31035066    
   9386.17676       1.30937159    
   9398.89160       1.30849934    
   9411.62500       1.30786526    
   9424.37500       1.30751348    
   9437.14258       1.30739701    
   9449.92676       1.30740225    
   9462.72949       1.30739057    
   9475.54785       1.30724370    
   9488.38477       1.30689824    
   9501.24023       1.30636108    
   9514.11035       1.30569994    
   9527.00098       1.30501735    
   9539.90625       1.30441368    
   9552.83105       1.30395520    
   9565.77148       1.30365467    
   9578.73145       1.30347288    
   9591.70703       1.30333412    
   9604.70117       1.30315554    
   9617.71191       1.30287397    
   9630.74219       1.30246663    
   9643.78906       1.30195522    
   9656.85352       1.30139577    
   9669.93555       1.30085754    
   9683.03711       1.30039787    
   9696.15332       1.30004466    
   9709.28906       1.29978752    
   9722.44238       1.29958510    
   9735.61426       1.29938006    
   9748.80273       1.29912055    
   9762.00977       1.29877675    
   9775.23535       1.29835057    
   9788.47754       1.29787219    
   9801.73828       1.29738867    
   9815.01660       1.29694653    
   9828.31348       1.29657602    
   9841.62793       1.29628193    
   9854.96094       1.29604363    
   9868.31152       1.29582369    
   9881.68066       1.29558182    
   9895.06738       1.29528844    
   9908.47266       1.29493415    
   9921.89551       1.29453075    
   9935.33594       1.29410601    
   9948.79590       1.29369342    
   9962.27441       1.29331970    
   9975.76953       1.29299772    
   9989.28516       1.29272282    
   10002.8164       1.29271615    
   10016.3682       1.29271364    
   10029.9375       1.29269302    
   10043.5244       1.29264116    
   10057.1328       1.29255724    
   10070.7559       1.29245067    
   10084.3994       1.29233670    
   10098.0605       1.29223025    
   10111.7422       1.29214156    
   10125.4395       1.29207444    
   10139.1572       1.29202652    
   10152.8916       1.29199231    
   10166.6465       1.29196584    
   10180.4189       1.29194272    
   10194.2109       1.29192019    
   10208.0205       1.29189634    
   10221.8506       1.29186845    
   10235.6973       1.29183245    
   10249.5645       1.29178441    
   10263.4492       1.29172242    
   10277.3535       1.29164875    
   10291.2764       1.29157186    
   10305.2188       1.29150450    
   10319.1787       1.29146063    
