# Template No.           4: sn2004dj (IIP; +8) ; z= 0.037 +/- 0.001
#redshifted_wavelength[A] flux[arbitraty]
   5378.84912       1.29355514    
   5386.13574       1.26748264    
   5393.43262       1.23880982    
   5400.73926       1.21549666    
   5408.05518       1.20124245    
   5415.38232       1.19541037    
   5422.71826       1.19426680    
   5430.06445       1.19302726    
   5437.42090       1.18800616    
   5444.78760       1.17819214    
   5452.16309       1.16578984    
   5459.54932       1.15561259    
   5466.94531       1.15355730    
   5474.35205       1.16466570    
   5481.76807       1.19137394    
   5489.19434       1.23248029    
   5496.63037       1.28313565    
   5504.07666       1.33585799    
   5511.53320       1.38228428    
   5519.00000       1.41517544    
   5526.47656       1.43013716    
   5533.96338       1.42660654    
   5541.46094       1.40787554    
   5548.96777       1.38017225    
   5556.48486       1.35106599    
   5564.01221       1.32762146    
   5571.54980       1.31476355    
   5579.09814       1.31423652    
   5586.65625       1.32437396    
   5594.22461       1.34068418    
   5601.80322       1.35706151    
   5609.39209       1.36730564    
   5616.99121       1.36658132    
   5624.60059       1.35249817    
   5632.22021       1.32560325    
   5639.85059       1.28922284    
   5647.49072       1.24874187    
   5655.14160       1.21051085    
   5662.80273       1.18062961    
   5670.47412       1.16385281    
   5678.15625       1.16280723    
   5685.84863       1.17762923    
   5693.55127       1.20604265    
   5701.26465       1.24381018    
   5708.98779       1.28544617    
   5716.72168       1.32504618    
   5724.46631       1.35709918    
   5732.22168       1.37717426    
   5739.98730       1.38240862    
   5747.76318       1.37177408    
   5755.54980       1.34611893    
   5763.34717       1.30802059    
   5771.15527       1.26148117    
   5778.97363       1.21150661    
   5786.80225       1.16359603    
   5794.64160       1.12316954    
   5802.49170       1.09496534    
   5810.35205       1.08244479    
   5818.22363       1.08726680    
   5826.10596       1.10891032    
   5833.99902       1.14453733    
   5841.90186       1.18917882    
   5849.81543       1.23629200    
   5857.74121       1.27867126    
   5865.67627       1.30961692    
   5873.62256       1.32417524    
   5881.58008       1.32021201    
   5889.54785       1.29905367    
   5897.52637       1.26549482    
   5905.51562       1.22706330    
   5913.51611       1.19260716    
   5921.52734       1.17043424    
   5929.55029       1.16637623    
   5937.58252       1.18222451    
   5945.62598       1.21494830    
   5953.68115       1.25696599    
   5961.74658       1.29751444    
   5969.82275       1.32489526    
   5977.91064       1.32914042    
   5986.00879       1.30449867    
   5994.11768       1.25113440    
   6002.23828       1.17558408    
   6010.36963       1.08978093    
   6018.51221       1.00880408    
   6026.66553      0.947818339    
   6034.83008      0.918891013    
   6043.00537      0.928421736    
   6051.19189      0.975790739    
   6059.38965       1.05354404    
   6067.59863       1.14906585    
   6075.81836       1.24732542    
   6084.04980       1.33403492    
   6092.29199       1.39846325    
   6100.54492       1.43526924    
   6108.80957       1.44498169    
   6117.08545       1.43311405    
   6125.37256       1.40824509    
   6133.66992       1.37964129    
   6141.97998       1.35506773    
   6150.30029       1.33932126    
   6158.63232       1.33378029    
   6166.97510       1.33693898    
   6175.33008       1.34562123    
   6183.69580       1.35639644    
   6192.07324       1.36671400    
   6200.46191       1.37541497    
   6208.86133       1.38253403    
   6217.27295       1.38856232    
   6225.69531       1.39353573    
   6234.12891       1.39637649    
   6242.57471       1.39481056    
   6251.03223       1.38597071    
   6259.50049       1.36752570    
   6267.97998       1.33895087    
   6276.47168       1.30246234    
   6284.97461       1.26318860    
   6293.48877       1.22838604    
   6302.01465       1.20580137    
   6310.55225       1.20158541    
   6319.10107       1.21836007    
   6327.66211       1.25404942    
   6336.23389       1.30191422    
   6344.81836       1.35189390    
   6353.41357       1.39297807    
   6362.02051       1.41599977    
   6370.63916       1.41608131    
   6379.26953       1.39402163    
   6387.91211       1.35618258    
   6396.56543       1.31285655    
   6405.23145       1.27552295    
   6413.90820       1.25374258    
   6422.59766       1.25255573    
   6431.29785       1.27112436    
   6440.01123       1.30301785    
   6448.73535       1.33805716    
   6457.47168       1.36519837    
   6466.21924       1.37562704    
   6474.97949       1.36516941    
   6483.75195       1.33533490    
   6492.53467       1.29269981    
   6501.33105       1.24683678    
   6510.13818       1.20741904    
   6518.95801       1.18136871    
   6527.78857       1.17089033    
   6536.63232       1.17295790    
   6545.48730       1.18037117    
   6554.35498       1.18402076    
   6563.23438       1.17563248    
   6572.12549       1.15012991    
   6581.02881       1.10688591    
   6589.94434       1.04949546    
   6598.87158      0.984196961    
   6607.81152      0.917503476    
   6616.76270      0.853886247    
   6625.72705      0.794353902    
   6634.70312      0.736494243    
   6643.69141      0.676077783    
   6652.69141      0.609790802    
   6661.70459      0.538245201    
   6670.72900      0.468234271    
   6679.76611      0.413342297    
   6688.81543      0.392433316    
   6697.87695      0.426139176    
   6706.94971      0.532071710    
   6716.03613      0.719913363    
   6725.13477      0.987673521    
   6734.24512       1.32017767    
   6743.36816       1.69034839    
   6752.50342       2.06314254    
   6761.65137       2.40135264    
   6770.81152       2.67200470    
   6779.98389       2.85194039    
   6789.16943       2.93135858    
   6798.36621       2.91462159    
   6807.57666       2.81826997    
   6816.79883       2.66685367    
   6826.03418       2.48765111    
   6835.28076       2.30551839    
   6844.54102       2.13898015    
   6853.81348       1.99826527    
   6863.09814       1.88544512    
   6872.39648       1.79632366    
   6881.70605       1.72333550    
   6891.02930       1.65857339    
   6900.36475       1.59616756    
   6909.71191       1.53352475    
   6919.07275       1.47132492    
   6928.44629       1.41251779    
   6937.83252       1.36080396    
   6947.23145       1.31914604    
   6956.64307       1.28875291    
   6966.06689       1.26876950    
   6975.50391       1.25665176    
   6984.95361       1.24900794    
   6994.41602       1.24257421    
   7003.89209       1.23500896    
   7013.38037       1.22529399    
   7022.88184       1.21368837    
   7032.39600       1.20132315    
   7041.92285       1.18963134    
   7051.46289       1.17981064    
   7061.01514       1.17248440    
   7070.58105       1.16761899    
   7080.15967       1.16466618    
   7089.75098       1.16283286    
   7099.35547       1.16135550    
   7108.97363       1.15969014    
   7118.60352       1.15757513    
   7128.24805       1.15499032    
   7137.90527       1.15206814    
   7147.57471       1.14901388    
   7157.25781       1.14606845    
   7166.95361       1.14351749    
   7176.66309       1.14170790    
   7186.38525       1.14102590    
   7196.12061       1.14181423    
   7205.86914       1.14423561    
   7215.63135       1.14813876    
   7225.40674       1.15299702    
   7235.19482       1.15798485    
   7244.99658       1.16220856    
   7254.81152       1.16504776    
   7264.63916       1.16650164    
   7274.48096       1.16740537    
   7284.33545       1.16939521    
   7294.20508       1.17457294    
   7304.08594       1.18490720    
   7313.98145       1.20151949    
   7323.88916       1.22406006    
   7333.81152       1.25039160    
   7343.74707       1.27673078    
   7353.69580       1.29828143    
   7363.65723       1.31024802    
   7373.63330       1.30899203    
   7383.62256       1.29303098    
   7393.62500       1.26359701    
   7403.64160       1.22457325    
   7413.67139       1.18179190    
   7423.71484       1.14184332    
   7433.77148       1.11069047    
   7443.84277       1.09243488    
   7453.92627       1.08854759    
   7464.02539       1.09775054    
   7474.13623       1.11655879    
   7484.26123       1.14031613    
   7494.40039       1.16443121    
   7504.55371       1.18547392    
   7514.71973       1.20184994    
   7524.90039       1.21390152    
   7535.09424       1.22344804    
   7545.30273       1.23294294    
   7555.52441       1.24451947    
   7565.75977       1.25921488    
   7576.00977       1.27659333    
   7586.27295       1.29485822    
   7596.55029       1.31139326    
   7606.84131       1.32354975    
   7617.14697       1.32943130    
   7627.46582       1.32843840    
   7637.79883       1.32142723    
   7648.14551       1.31044412    
   7658.50684       1.29813957    
   7668.88135       1.28704500    
   7679.27148       1.27892554    
   7689.67383       1.27439690    
   7700.09131       1.27289116    
   7710.52344       1.27296102    
   7720.96875       1.27280927    
   7731.42822       1.27086842    
   7741.90234       1.26626039    
   7752.39062       1.25901031    
   7762.89258       1.24997103    
   7773.41016       1.24050462    
   7783.94092       1.23203814    
   7794.48535       1.22563529    
   7805.04443       1.22170961    
   7815.61865       1.21995795    
   7826.20654       1.21951020    
   7836.80908       1.21923542    
   7847.42529       1.21809757    
   7858.05664       1.21545076    
   7868.70166       1.21118855    
   7879.36182       1.20571816    
   7890.03564       1.19978273    
   7900.72461       1.19419920    
   7911.42773       1.18960106    
   7922.14600       1.18626285    
   7932.87744       1.18405175    
   7943.62500       1.18250930    
   7954.38623       1.18102610    
   7965.16211       1.17904603    
   7975.95215       1.17623174    
   7986.75830       1.17254710    
   7997.57861       1.16823792    
   8008.41260       1.16372633    
   8019.26221       1.15946305    
   8030.12549       1.15578330    
   8041.00439       1.15281510    
   8051.89746       1.15046155    
   8062.80615       1.14845371    
   8073.72803       1.14645302    
   8084.66602       1.14416265    
   8095.61768       1.14141619    
   8106.58594       1.13821411    
   8117.56787       1.13470471    
   8128.56543       1.13112152    
   8139.57617       1.12770116    
   8150.60400       1.12460840    
   8161.64502       1.12189436    
   8172.70215       1.11949325    
   8183.77344       1.11725795    
   8194.86035       1.11501551    
   8205.96191       1.11262333    
   8217.07812       1.11001098    
   8228.21094       1.10719132    
   8239.35742       1.10424483    
   8250.51953       1.10128582    
   8261.69727       1.09842074    
   8272.88965       1.09571648    
   8284.09668       1.09318578    
   8295.31934       1.09079063    
   8306.55664       1.08846283    
   8317.81055       1.08613074    
   8329.07812       1.08374202    
   8340.36230       1.08127689    
   8351.66113       1.07874799    
   8362.97461       1.07619011    
   8374.30371       1.07364392    
   8385.64941       1.07114136    
   8397.00879       1.06869626    
   8408.38477       1.06630468    
   8419.77637       1.06394982    
   8431.18262       1.06161261    
   8442.60449       1.05927861    
   8454.04199       1.05694330    
   8465.49414       1.05461109    
   8476.96289       1.05229008    
   8488.44727       1.04998636    
   8499.94629       1.04770041    
   8511.46191       1.04542542    
   8522.99219       1.04315078    
   8534.53809       1.04086769    
   8546.10059       1.03857350    
   8557.67773       1.03627467    
   8569.27148       1.03398514    
   8580.87988       1.03172076    
   8592.50488       1.02949440    
   8604.14551       1.02730930    
   8615.80176       1.02515733    
   8627.47363       1.02302051    
   8639.16211       1.02087772    
   8650.86523       1.01871061    
   8662.58398       1.01651120    
   8674.31934       1.01428390    
   8686.07031       1.01204503    
   8697.83789       1.00981665    
   8709.62109       1.00762022    
   8721.41992       1.00546789    
   8733.23633       1.00335991    
   8745.06641       1.00128365    
   8756.91406      0.999217868    
   8768.77734      0.997140229    
   8780.65625      0.995034337    
   8792.55176      0.992894411    
   8804.46387      0.990727007    
   8816.38965      0.988548398    
   8828.33496      0.986378610    
   8840.29395      0.984235227    
   8852.27051      0.982127488    
   8864.26270      0.980054200    
   8876.27148      0.978004634    
   8888.29590      0.975962639    
   8900.33789      0.973912060    
   8912.39355      0.971842110    
   8924.46875      0.969749749    
   8936.55859      0.967640519    
   8948.66504      0.965525746    
   8960.78809      0.963417888    
   8972.92676      0.961327732    
   8985.08398      0.959260046    
   8997.25586      0.957213700    
   9009.44531      0.955182433    
   9021.65039      0.953157425    
   9033.87207      0.951130867    
   9046.10938      0.949097574    
   9058.36621      0.947056592    
   9070.63672      0.945010364    
   9082.92578      0.942963660    
   9095.22949      0.940921307    
   9107.55078      0.938886702    
   9119.88965      0.936861575    
   9132.24414      0.934845388    
   9144.61523      0.932836592    
   9157.00391      0.930833638    
   9169.40820      0.928835452    
   9181.83105      0.926841855    
   9194.26855      0.924852371    
   9206.72559      0.922867119    
   9219.19727      0.920885146    
   9231.68750      0.918905079    
   9244.19434      0.916925371    
   9256.71680      0.914945483    
   9269.25781      0.912965655    
   9281.81445      0.910988331    
   9294.38867      0.909016669    
   9306.98047      0.907054126    
   9319.58887      0.905103087    
   9332.21387      0.903163791    
   9344.85742      0.901233971    
   9357.51562      0.899309814    
   9370.19238      0.897386253    
   9382.88672      0.895459354    
   9395.59766      0.893527269    
   9408.32617      0.891591251    
   9421.07227      0.889655232    
   9433.83496      0.887724698    
   9446.61523      0.885804772    
   9459.41211      0.883898973    
   9472.22852      0.882007539    
   9485.05957      0.880127549    
   9497.91016      0.878254235    
   9510.77637      0.876381516    
   9523.66016      0.874505103    
   9536.56348      0.872623146    
   9549.48242      0.870736897    
   9562.41992      0.868850410    
   9575.37402      0.866968930    
   9588.34668      0.865097344    
   9601.33496      0.863238811    
   9614.34277      0.861393511    
   9627.36719      0.859558761    
   9640.41016      0.857730627    
   9653.46875      0.855904460    
   9666.54688      0.854076743    
   9679.64258      0.852246106    
   9692.75586      0.850413322    
   9705.88672      0.848581314    
   9719.03613      0.846753776    
   9732.20117      0.844933987    
   9745.38672      0.843123794    
   9758.58789      0.841323555    
   9771.80859      0.839531839    
   9785.04688      0.837746203    
   9798.30273      0.835964262    
   9811.57715      0.834184110    
   9824.86914      0.832404971    
   9838.17871      0.830627084    
   9851.50684      0.828851640    
   9864.85254      0.827079833    
   9878.21680      0.825312853    
   9891.59961      0.823551834    
   9904.99902      0.821796656    
   9918.41895      0.820047438    
   9931.85547      0.818303883    
   9945.30957      0.816565692    
   9958.78223      0.814832509    
   9972.27344      0.813104212    
   9985.78320      0.811380208    
   9999.31152      0.811318636    
   10012.8574      0.811256588    
   10026.4229      0.811193526    
   10040.0049      0.811129034    
   10053.6064      0.811063945    
   10067.2266      0.810998678    
   10080.8643      0.810935140    
   10094.5225      0.810874343    
   10108.1973      0.810817540    
   10121.8906      0.810764670    
   10135.6025      0.810714900    
   10149.3350      0.810666382    
   10163.0830      0.810617328    
   10176.8525      0.810565829    
   10190.6377      0.810511112    
   10204.4443      0.810453594    
   10218.2676      0.810395002    
   10232.1113      0.810337484    
   10245.9717      0.810283422    
   10259.8535      0.810234308    
   10273.7510      0.810190558    
   10287.6699      0.810150921    
   10301.6064      0.810113370    
   10315.5625      0.810075283    
   10329.5371      0.810034633    
   10343.5312      0.809990287    
   10357.5430      0.809942782    
