# Template No.           9: sn2007I (Ic-broad; +0) ; z= 0.052 +/- 0.018
#redshifted_wavelength[A] flux[arbitraty]
   4922.72656       1.11863852    
   4929.39600       1.12225378    
   4936.07373       1.12729704    
   4942.76074       1.13138008    
   4949.45703       1.13189983    
   4956.16162       1.12681532    
   4962.87598       1.11532354    
   4969.59912       1.09823179    
   4976.33203       1.07790649    
   4983.07324       1.05779064    
   4989.82373       1.04160762    
   4996.58350       1.03245211    
   5003.35303       1.03201091    
   5010.13086       1.04011559    
   5016.91846       1.05474997    
   5023.71484       1.07251012    
   5030.52002       1.08939731    
   5037.33545       1.10174060    
   5044.15967       1.10701251    
   5050.99316       1.10433602    
   5057.83545       1.09456491    
   5064.68799       1.07993591    
   5071.54883       1.06339872    
   5078.41943       1.04781377    
   5085.29932       1.03523231    
   5092.18848       1.02644157    
   5099.08691       1.02088678    
   5105.99463       1.01696885    
   5112.91162       1.01262474    
   5119.83838       1.00601828    
   5126.77441      0.996152818    
   5133.71973      0.983234584    
   5140.67432      0.968697548    
   5147.63867      0.954881191    
   5154.61230      0.944453776    
   5161.59521      0.939730823    
   5168.58789      0.942068934    
   5175.58936      0.951483905    
   5182.60107      0.966591358    
   5189.62256      0.984875619    
   5196.65283       1.00321567    
   5203.69287       1.01853621    
   5210.74268       1.02842689    
   5217.80127       1.03158534    
   5224.87061       1.02799511    
   5231.94824       1.01881421    
   5239.03564       1.00602543    
   5246.13330      0.991950512    
   5253.24023      0.978757620    
   5260.35742      0.968078554    
   5267.48340      0.960816205    
   5274.61963      0.957163095    
   5281.76562      0.956796288    
   5288.92041      0.959168673    
   5296.08545      0.963797033    
   5303.26074      0.970460773    
   5310.44434      0.979253709    
   5317.63867      0.990484357    
   5324.84277       1.00446260    
   5332.05615       1.02124929    
   5339.28027       1.04045081    
   5346.51367       1.06113231    
   5353.75635       1.08188581    
   5361.00928       1.10104573    
   5368.27148       1.11700296    
   5375.54395       1.12853861    
   5382.82666       1.13509512    
   5390.11914       1.13691247    
   5397.42090       1.13499773    
   5404.73242       1.13093090    
   5412.05420       1.12655675    
   5419.38672       1.12363195    
   5426.72852       1.12350965    
   5434.08008       1.12692451    
   5441.44141       1.13391840    
   5448.81299       1.14390719    
   5456.19482       1.15586042    
   5463.58643       1.16853774    
   5470.98779       1.18072581    
   5478.39941       1.19142795    
   5485.82129       1.19997072    
   5493.25342       1.20603490    
   5500.69482       1.20961809    
   5508.14697       1.21096671    
   5515.60889       1.21050763    
   5523.08105       1.20879614    
   5530.56299       1.20649242    
   5538.05518       1.20435154    
   5545.55811       1.20320499    
   5553.07080       1.20391548    
   5560.59375       1.20728731    
   5568.12646       1.21393847    
   5575.66992       1.22415268    
   5583.22314       1.23774660    
   5590.78662       1.25399137    
   5598.36084       1.27162266    
   5605.94531       1.28895402    
   5613.53955       1.30408823    
   5621.14502       1.31519604    
   5628.75928       1.32081223    
   5636.38477       1.32009196    
   5644.02051       1.31297588    
   5651.66650       1.30022359    
   5659.32373       1.28330982    
   5666.99023       1.26419282    
   5674.66748       1.24500394    
   5682.35498       1.22770703    
   5690.05273       1.21379745    
   5697.76123       1.20408845    
   5705.47998       1.19862437    
   5713.20947       1.19672811    
   5720.94922       1.19717109    
   5728.69971       1.19842529    
   5736.45996       1.19895029    
   5744.23145       1.19745779    
   5752.01318       1.19310868    
   5759.80615       1.18561029    
   5767.60889       1.17520249    
   5775.42236       1.16254616    
   5783.24658       1.14854133    
   5791.08057       1.13411951    
   5798.92578       1.12005305    
   5806.78223       1.10682142    
   5814.64893       1.09455884    
   5822.52588       1.08308768    
   5830.41357       1.07202542    
   5838.31250       1.06093347    
   5846.22168       1.04947162    
   5854.14209       1.03751767    
   5862.07275       1.02522492    
   5870.01416       1.01300514    
   5877.96631       1.00144207    
   5885.92920      0.991160095    
   5893.90234      0.982682824    
   5901.88770      0.976319313    
   5909.88281      0.972105861    
   5917.88965      0.969818473    
   5925.90576      0.969049513    
   5933.93359      0.969326615    
   5941.97314      0.970237017    
   5950.02246      0.971522212    
   5958.08301      0.973114073    
   5966.15479      0.975102961    
   5974.23682      0.977647007    
   5982.33057      0.980853200    
   5990.43457      0.984667778    
   5998.55029      0.988817573    
   6006.67676      0.992823482    
   6014.81494      0.996093810    
   6022.96289      0.998071313    
   6031.12207      0.998398840    
   6039.29297      0.997046292    
   6047.47412      0.994360507    
   6055.66602      0.991010129    
   6063.87061      0.987831652    
   6072.08545      0.985611141    
   6080.31104      0.984860778    
   6088.54834      0.985654950    
   6096.79639      0.987580180    
   6105.05615      0.989824831    
   6113.32666      0.991394341    
   6121.60889      0.991401970    
   6129.90137      0.989355505    
   6138.20557      0.985358119    
   6146.52148      0.980155230    
   6154.84814      0.975003541    
   6163.18604      0.971379459    
   6171.53613      0.970602214    
   6179.89697      0.973465145    
   6188.26855      0.979983449    
   6196.65186      0.989333272    
   6205.04639       1.00001347    
   6213.45264       1.01019609    
   6221.87012       1.01817846    
   6230.29932       1.02281618    
   6238.73926       1.02381229    
   6247.19092       1.02177668    
   6255.65381       1.01802623    
   6264.12891       1.01417220    
   6272.61475       1.01160395    
   6281.11279       1.01101363    
   6289.62207       1.01210606    
   6298.14258       1.01358747    
   6306.67480       1.01346016    
   6315.21826       1.00955701    
   6323.77344       1.00018394    
   6332.34033      0.984694421    
   6340.91943      0.963832855    
   6349.50977      0.939735115    
   6358.11133      0.915563881    
   6366.72510      0.894853055    
   6375.35010      0.880716205    
   6383.98633      0.875119746    
   6392.63525      0.878403902    
   6401.29541      0.889184117    
   6409.96729      0.904658556    
   6418.65137      0.921253681    
   6427.34668      0.935445547    
   6436.05420      0.944553256    
   6444.77295      0.947309732    
   6453.50391      0.944079816    
   6462.24658      0.936680257    
   6471.00098      0.927871406    
   6479.76758      0.920659363    
   6488.54541      0.917597950    
   6497.33594      0.920260847    
   6506.13770      0.929002345    
   6514.95215      0.943036616    
   6523.77734      0.960778177    
   6532.61621      0.980321527    
   6541.46533      0.999911427    
   6550.32715       1.01827466    
   6559.20117       1.03474224    
   6568.08740       1.04916036    
   6576.98584       1.06166041    
   6585.89502       1.07239270    
   6594.81738       1.08133495    
   6603.75146       1.08824563    
   6612.69824       1.09277868    
   6621.65576       1.09470606    
   6630.62646       1.09415603    
   6639.60889       1.09176040    
   6648.60400       1.08863389    
   6657.61084       1.08616257    
   6666.62988       1.08564794    
   6675.66162       1.08791137    
   6684.70557       1.09298158    
   6693.76074       1.09998310    
   6702.82959       1.10727990    
   6711.90918       1.11285841    
   6721.00244       1.11485469    
   6730.10791       1.11208272    
   6739.22510       1.10440648    
   6748.35449       1.09283912    
   6757.49707       1.07932603    
   6766.65137       1.06625700    
   6775.81836       1.05583537    
   6784.99805       1.04947889    
   6794.18945       1.04741979    
   6803.39307       1.04862463    
   6812.60986       1.05106235    
   6821.83936       1.05225122    
   6831.08105       1.04993999    
   6840.33545       1.04273307    
   6849.60156       1.03048813    
   6858.88135       1.01437497    
   6868.17334      0.996580899    
   6877.47754      0.979743183    
   6886.79492      0.966266274    
   6896.12402      0.957711220    
   6905.46680      0.954419732    
   6914.82178      0.955471933    
   6924.18994      0.958978534    
   6933.56934      0.962617517    
   6942.96289      0.964263022    
   6952.36865      0.962530136    
   6961.78711      0.957091153    
   6971.21875      0.948688149    
   6980.66211      0.938852847    
   6990.11963      0.929427326    
   6999.58887      0.922029853    
   7009.07129      0.917620361    
   7018.56641      0.916282117    
   7028.07471      0.917272151    
   7037.59570      0.919312298    
   7047.12988      0.921023905    
   7056.67676      0.921373606    
   7066.23633      0.919997931    
   7075.80859      0.917314410    
   7085.39453      0.914390564    
   7094.99316      0.912613928    
   7104.60498      0.913260758    
   7114.22998      0.917087495    
   7123.86816      0.924061477    
   7133.51904      0.933305204    
   7143.18311      0.943269551    
   7152.86035      0.952087879    
   7162.54980      0.958018541    
   7172.25293      0.959858537    
   7181.96924      0.957227170    
   7191.69873      0.950650752    
   7201.44141      0.941434145    
   7211.19775      0.931357980    
   7220.96631      0.922280729    
   7230.74951      0.915742934    
   7240.54541      0.912664175    
   7250.35400      0.913195968    
   7260.17676      0.916751385    
   7270.01172      0.922191203    
   7279.86084      0.928111076    
   7289.72266      0.933157265    
   7299.59814      0.936299384    
   7309.48682      0.937004328    
   7319.38965      0.935285866    
   7329.30518      0.931631207    
   7339.23389      0.926836967    
   7349.17676      0.921799421    
   7359.13281      0.917309582    
   7369.10205      0.913897395    
   7379.08545      0.911752939    
   7389.08154      0.910730720    
   7399.09277      0.910428405    
   7409.11572      0.910311580    
   7419.15332      0.909853756    
   7429.20361      0.908658147    
   7439.26855      0.906537175    
   7449.34717      0.903535783    
   7459.43896      0.899899364    
   7469.54395      0.895999610    
   7479.66357      0.892239034    
   7489.79639      0.888957083    
   7499.94238      0.886361361    
   7510.10303      0.884495556    
   7520.27734      0.883250594    
   7530.46484      0.882410288    
   7540.66602      0.881719232    
   7550.88232      0.880951941    
   7561.11084      0.879967749    
   7571.35498      0.878736377    
   7581.61133      0.877331614    
   7591.88232      0.875896752    
   7602.16699      0.874593914    
   7612.46631      0.873552263    
   7622.77881      0.872830272    
   7633.10547      0.872401476    
   7643.44580      0.872166395    
   7653.80127      0.871985316    
   7664.16992      0.871721029    
   7674.55273      0.871278107    
   7684.94971      0.870627642    
   7695.36084      0.869810581    
   7705.78564      0.868920147    
   7716.22510      0.868069708    
   7726.67822      0.867357135    
   7737.14551      0.866835535    
   7747.62744      0.866500795    
   7758.12305      0.866296232    
   7768.63330      0.866134048    
   7779.15723      0.865924716    
   7789.69629      0.865604997    
   7800.24854      0.865155935    
   7810.81592      0.864606202    
   7821.39746      0.864019811    
   7831.99316      0.863474369    
   7842.60303      0.863035202    
   7853.22803      0.862736642    
   7863.86670      0.862572372    
   7874.52002      0.862500966    
   7885.18848      0.862460375    
   7895.87061      0.862389505    
   7906.56689      0.862246931    
   7917.27783      0.862022758    
   7928.00391      0.861739397    
   7938.74414      0.861442387    
   7949.49902      0.861184061    
   7960.26807      0.861007035    
   7971.05225      0.860931218    
   7981.85059      0.860949636    
   7992.66406      0.861031890    
   8003.49121      0.861135960    
   8014.33398      0.861221969    
   8025.19092      0.861264110    
   8036.06348      0.861257493    
   8046.94922      0.861217856    
   8057.85107      0.861174464    
   8068.76709      0.861159503    
   8079.69824      0.861198068    
   8090.64307      0.861300468    
   8101.60449      0.861460567    
   8112.58057      0.861659348    
   8123.57031      0.861872017    
   8134.57568      0.862075984    
   8145.59521      0.862258017    
   8156.63086      0.862416446    
   8167.68066      0.862560630    
   8178.74609      0.862706363    
   8189.82520      0.862869680    
   8200.91992      0.863062203    
   8212.02930      0.863287568    
   8223.15527      0.863541842    
   8234.29492      0.863815367    
   8245.45117      0.864096761    
   8256.62012      0.864377022    
   8267.80664      0.864651024    
   8279.00586      0.864919126    
   8290.22266      0.865184903    
   8301.45312      0.865453660    
   8312.69922      0.865729928    
   8323.95996      0.866015911    
   8335.23730      0.866311371    
   8346.52930      0.866614342    
   8357.83691      0.866922259    
   8369.15918      0.867233455    
   8380.49707      0.867547154    
   8391.85059      0.867863894    
   8403.21875      0.868184149    
   8414.60352      0.868507564    
   8426.00195      0.868832588    
   8437.41699      0.869156420    
   8448.84766      0.869476795    
   8460.29297      0.869791687    
   8471.75488      0.870101333    
   8483.23145      0.870408118    
   8494.72363      0.870716214    
